date,hit_count,text_count
2009-01-05,1,1
2009-01-13,2,2
2009-01-15,1,1
2009-01-16,1,1
2009-01-17,2,2
2009-01-19,1,1
2009-01-21,1,1
2009-01-22,1,1
2009-01-23,1,1
2009-01-28,1,1
2009-01-29,2,2
2009-01-30,1,1
2009-02-02,1,1
2009-02-06,1,1
2009-02-07,1,1
2009-02-09,1,1
2009-02-14,1,1
2009-02-20,2,2
2009-02-21,1,1
2009-02-27,1,1
2009-03-03,1,1
2009-03-07,1,1
2009-03-11,1,1
2009-03-16,1,1
2009-03-18,1,1
2009-03-30,2,2
2009-03-31,1,1
2009-04-03,1,1
2009-04-04,1,1
2009-04-06,2,2
2009-04-17,1,1
2009-05-19,1,1
2009-05-20,1,1
2009-05-22,1,1
2009-06-02,2,2
2009-06-04,4,4
2009-06-05,2,2
2009-06-11,1,1
2009-06-18,1,1
2009-06-24,1,1
2009-06-25,1,1
2009-06-27,3,3
2009-07-01,1,1
2009-07-04,1,1
2009-07-08,3,3
2009-07-09,2,2
2009-07-10,1,1
2009-07-11,1,1
2009-07-14,1,1
2009-07-18,1,1
2009-07-20,2,2
2009-07-30,1,1
2009-08-06,1,1
2009-08-08,1,1
2009-08-18,1,1
2009-08-19,2,2
2009-08-20,1,1
2009-08-22,1,1
2009-08-26,1,1
2009-09-05,1,1
2009-09-07,3,3
2009-09-10,1,1
2009-09-11,1,1
2009-09-19,1,1
2009-09-22,1,1
2009-09-23,1,1
2009-09-24,1,1
2009-09-26,2,2
2009-09-28,2,2
2009-09-29,1,1
2009-10-01,1,1
2009-10-05,2,2
2009-10-06,1,1
2009-10-10,1,1
2009-10-12,2,2
2009-10-14,2,2
2009-10-15,1,1
2009-10-17,4,4
2009-10-19,1,1
2009-10-21,2,2
2009-10-26,1,1
2009-10-29,1,1
2009-10-31,1,1
2009-11-02,1,1
2009-11-04,4,4
2009-11-05,1,1
2009-11-07,1,1
2009-11-14,1,1
2009-11-16,2,2
2009-11-17,2,2
2009-11-18,2,2
2009-11-20,1,1
2009-11-21,1,1
2009-11-23,2,2
2009-11-24,1,1
2009-11-25,2,2
2009-11-28,2,2
2009-12-02,1,1
2009-12-04,1,1
2009-12-07,3,3
2009-12-08,2,2
2009-12-09,1,1
2009-12-10,1,1
2009-12-12,4,4
2009-12-14,3,3
2009-12-15,1,1
2009-12-16,1,1
2009-12-17,1,1
2009-12-18,2,2
2009-12-19,4,4
2009-12-21,3,3
2010-01-02,1,1
2010-01-05,1,1
2010-01-07,1,1
2010-01-13,1,1
2010-01-15,2,2
2010-01-16,1,1
2010-01-18,1,1
2010-01-21,1,1
2010-01-22,1,1
2010-01-23,2,2
2010-01-27,1,1
2010-01-30,1,1
2010-02-03,1,1
2010-02-05,1,1
2010-02-06,3,3
2010-02-09,1,1
2010-02-17,1,1
2010-02-23,1,1
2010-03-05,2,2
2010-03-06,3,3
2010-03-16,1,1
2010-03-18,1,1
2010-03-20,1,1
2010-03-27,1,1
2010-03-29,1,1
2010-04-01,1,1
2010-04-20,1,1
2010-04-26,1,1
2010-04-29,1,1
2010-04-30,5,5
2010-05-03,1,1
2010-05-14,1,1
2010-05-20,1,1
2010-05-22,1,1
2010-05-27,1,1
2010-05-28,1,1
2010-06-04,1,1
2010-06-10,2,2
2010-06-22,1,1
2010-06-26,2,2
2010-07-05,1,1
2010-07-06,2,2
2010-07-13,1,1
2010-07-17,1,1
2010-07-19,2,2
2010-07-20,1,1
2010-07-26,1,1
2010-07-28,1,1
2010-07-29,1,1
2010-07-30,1,1
2010-08-05,1,1
2010-08-18,1,1
2010-08-21,1,1
2010-08-24,1,1
2010-09-07,1,1
2010-09-11,1,1
2010-09-16,1,1
2010-09-18,1,1
2010-09-24,1,1
2010-09-25,1,1
2010-09-27,1,1
2010-09-29,1,1
2010-09-30,1,1
2010-10-06,1,1
2010-10-16,1,1
2010-10-18,1,1
2010-10-20,1,1
2010-10-22,1,1
2010-10-23,1,1
2010-10-25,1,1
2010-10-30,1,1
2010-11-04,2,2
2010-11-08,1,1
2010-11-09,1,1
2010-11-27,1,1
2010-11-30,1,1
2010-12-08,1,1
2010-12-09,1,1
2010-12-10,1,1
2010-12-11,1,1
2010-12-13,2,2
2010-12-16,1,1
2010-12-20,1,1
2010-12-24,1,1
2010-12-28,1,1
2010-12-30,2,2
2010-12-31,1,1
2011-01-05,1,1
2011-01-11,1,1
2011-01-19,1,1
2011-01-21,1,1
2011-02-03,1,1
2011-02-17,2,2
2011-03-03,1,1
2011-03-05,1,1
2011-03-11,1,1
2011-03-12,2,2
2011-03-14,1,1
2011-03-17,1,1
2011-03-19,1,1
2011-03-21,1,1
2011-03-25,1,1
2011-03-29,1,1
2011-03-31,1,1
2011-04-02,1,1
2011-04-14,2,2
2011-04-29,1,1
2011-04-30,1,1
2011-05-10,1,1
2011-05-19,1,1
2011-05-31,1,1
2011-06-01,2,2
2011-06-03,4,4
2011-06-04,1,1
2011-06-07,1,1
2011-06-18,1,1
2011-06-24,1,1
2011-07-04,2,2
2011-07-09,1,1
2011-07-15,1,1
2011-07-21,1,1
2011-07-25,1,1
2011-07-28,1,1
2011-07-29,1,1
2011-08-09,1,1
2011-08-17,1,1
2011-09-05,1,1
2011-09-06,1,1
2011-09-08,1,1
2011-09-12,1,1
2011-09-13,1,1
2011-09-15,1,1
2011-09-19,1,1
2011-09-22,2,2
2011-09-24,1,1
2011-10-01,1,1
2011-10-06,1,1
2011-10-10,1,1
2011-10-22,1,1
2011-11-02,1,1
2011-11-04,1,1
2011-11-14,1,1
2011-11-22,1,1
2011-11-28,1,1
2011-11-29,1,1
2011-12-05,1,1
2011-12-06,1,1
2011-12-08,2,2
2011-12-09,2,2
2011-12-12,1,1
2011-12-14,1,1
2011-12-21,1,1
2011-12-23,1,1
2011-12-28,1,1
2011-12-30,1,1
2011-12-31,1,1
2012-01-02,1,1
2012-01-06,1,1
2012-01-14,1,1
2012-01-20,1,1
2012-02-07,1,1
2012-02-20,1,1
2012-02-24,1,1
2012-02-25,1,1
2012-02-28,1,1
2012-03-03,1,1
2012-03-10,1,1
2012-03-13,1,1
2012-03-20,1,1
2012-03-28,1,1
2012-04-07,1,1
2012-04-16,1,1
2012-04-20,1,1
2012-04-23,1,1
2012-05-23,1,1
2012-06-01,1,1
2012-06-13,1,1
2012-06-15,1,1
2012-06-23,1,1
2012-06-29,1,1
2012-06-30,2,2
2012-07-16,1,1
2012-07-17,2,2
2012-07-25,1,1
2012-07-26,1,1
2012-08-02,1,1
2012-08-17,2,2
2012-08-24,1,1
2012-08-29,2,2
2012-08-30,1,1
2012-09-10,1,1
2012-09-19,1,1
2012-09-22,2,2
2012-09-24,1,1
2012-10-04,1,1
2012-10-08,1,1
2012-10-11,1,1
2012-10-31,1,1
2012-11-05,1,1
2012-11-12,1,1
2012-11-14,1,1
2012-11-20,1,1
2012-11-30,1,1
2012-12-01,1,1
2012-12-03,1,1
2012-12-04,1,1
2012-12-05,2,2
2012-12-10,1,1
2012-12-13,1,1
2012-12-19,1,1
2013-01-15,1,1
2013-01-17,1,1
2013-01-26,1,1
2013-02-11,1,1
2013-02-14,1,1
2013-02-16,1,1
2013-02-20,1,1
2013-03-15,1,1
2013-03-22,2,2
2013-03-23,1,1
2013-03-27,1,1
2013-04-03,1,1
2013-04-16,1,1
2013-04-17,1,1
2013-04-23,1,1
2013-04-29,1,1
2013-05-03,1,1
2013-05-06,1,1
2013-05-07,1,1
2013-05-11,1,1
2013-05-13,1,1
2013-05-31,2,2
2013-06-05,1,1
2013-06-14,1,1
2013-06-17,1,1
2013-06-26,1,1
2013-07-04,1,1
2013-07-05,1,1
2013-07-22,1,1
2013-07-25,1,1
2013-08-10,1,1
2013-09-07,2,2
2013-09-11,1,1
2013-09-13,1,1
2013-09-27,1,1
2013-09-28,3,3
2013-10-05,2,2
2013-10-12,1,1
2013-10-15,1,1
2013-10-17,1,1
2013-10-19,1,1
2013-10-21,1,1
2013-10-28,1,1
2013-10-29,3,3
2013-11-07,1,1
2013-11-08,1,1
2013-11-09,2,2
2013-11-11,2,2
2013-11-12,2,2
2013-11-18,2,2
2013-11-21,7,7
2013-11-22,3,3
2013-11-25,1,1
2013-12-02,1,1
2013-12-03,2,2
2013-12-14,1,1
2014-01-03,2,2
2014-01-08,1,1
2014-01-18,1,1
2014-01-23,2,2
2014-01-27,1,1
2014-01-28,1,1
2014-01-29,1,1
2014-02-07,1,1
2014-02-20,2,2
2014-02-27,1,1
2014-03-04,1,1
2014-03-15,1,1
