date,hit_count,text_count
2009-01-03,1,1
2009-01-07,1,1
2009-01-09,1,1
2009-01-14,1,1
2009-01-22,1,1
2009-01-27,1,1
2009-01-30,1,1
2009-02-07,1,1
2009-02-18,1,1
2009-02-20,1,1
2009-02-21,1,1
2009-03-12,1,1
2009-03-17,1,1
2009-03-30,1,1
2009-04-17,2,2
2009-05-04,1,1
2009-05-08,1,1
2009-05-09,1,1
2009-05-25,1,1
2009-06-02,1,1
2009-06-03,1,1
2009-06-05,2,2
2009-06-06,1,1
2009-06-17,1,1
2009-06-19,1,1
2009-06-20,1,1
2009-06-24,1,1
2009-06-27,2,2
2009-07-04,1,1
2009-07-09,1,1
2009-07-27,1,1
2009-08-19,2,2
2009-08-25,1,1
2009-09-01,1,1
2009-09-08,1,1
2009-09-09,1,1
2009-09-14,1,1
2009-09-22,1,1
2009-09-23,2,2
2009-09-29,1,1
2009-09-30,1,1
2009-10-05,1,1
2009-10-07,1,1
2009-10-08,1,1
2009-10-12,1,1
2009-10-14,1,1
2009-11-04,1,1
2009-11-05,1,1
2009-11-19,1,1
2009-12-01,1,1
2009-12-03,1,1
2009-12-04,1,1
2009-12-07,1,1
2009-12-08,1,1
2009-12-14,1,1
2009-12-16,1,1
2009-12-18,1,1
2009-12-19,1,1
2010-01-09,1,1
2010-01-18,1,1
2010-01-21,1,1
2010-02-10,1,1
2010-02-11,1,1
2010-03-04,1,1
2010-03-06,1,1
2010-03-15,1,1
2010-03-20,1,1
2010-04-10,1,1
2010-04-19,1,1
2010-05-05,1,1
2010-05-25,1,1
2010-06-04,1,1
2010-07-01,1,1
2010-07-06,1,1
2010-07-24,1,1
2010-07-29,1,1
2010-08-04,1,1
2010-08-21,2,2
2010-08-24,1,1
2010-08-26,1,1
2010-08-31,1,1
2010-09-07,1,1
2010-09-11,1,1
2010-09-16,1,1
2010-09-25,1,1
2010-10-02,1,1
2010-10-06,1,1
2010-10-12,1,1
2010-11-08,1,1
2010-11-09,1,1
2010-11-10,1,1
2010-11-11,1,1
2010-11-27,1,1
2010-12-09,1,1
2010-12-13,1,1
2011-01-15,1,1
2011-01-24,1,1
2011-02-03,1,1
2011-03-03,1,1
2011-03-14,1,1
2011-03-19,1,1
2011-03-24,1,1
2011-03-26,1,1
2011-03-31,1,1
2011-04-02,2,2
2011-04-08,1,1
2011-05-19,1,1
2011-05-28,1,1
2011-06-01,1,1
2011-06-03,1,1
2011-06-08,1,1
2011-07-01,1,1
2011-09-03,1,1
2011-09-24,1,1
2011-10-10,1,1
2011-11-05,1,1
2011-11-25,1,1
2011-11-28,1,1
2011-11-29,1,1
2011-12-08,1,1
2011-12-12,1,1
2011-12-24,1,1
2012-01-11,1,1
2012-04-14,1,1
2012-05-08,1,1
2012-05-18,1,1
2012-06-01,2,2
2012-06-07,1,1
2012-06-14,1,1
2012-06-29,1,1
2012-06-30,1,1
2012-09-10,1,1
2012-10-04,1,1
2012-12-04,2,2
2012-12-05,1,1
2013-01-23,1,1
2013-02-09,1,1
2013-04-16,1,1
2013-05-31,2,2
2013-06-26,1,1
2013-08-29,1,1
2013-09-27,2,2
2013-10-19,1,1
2013-11-02,1,1
2013-11-21,2,2
2014-01-18,1,1
2014-03-18,1,1
2014-04-01,1,1
2014-04-03,1,1
2014-04-12,1,1
2014-04-19,1,1
2014-05-08,1,1
2014-07-02,1,1
2014-08-06,1,1
2014-08-29,1,1
2014-08-30,1,1
2014-09-11,1,1
2014-09-18,1,1
2014-09-19,1,1
2014-09-24,1,1
2014-10-10,1,1
2014-10-21,1,1
2014-10-28,1,1
2014-11-11,1,1
2014-12-02,2,2
2014-12-03,1,1
2014-12-11,1,1
2015-02-24,1,1
2015-04-01,2,2
2015-05-12,1,1
2015-05-20,2,2
2015-05-26,1,1
2015-06-10,1,1
2015-08-04,2,2
2015-08-05,1,1
2015-08-18,1,1
2015-09-02,2,2
2015-10-21,1,1
2015-11-04,1,1
2015-11-12,1,1
2015-11-25,1,1
2015-11-27,1,1
2015-11-30,2,2
2015-12-05,1,1
2015-12-11,1,1
2015-12-14,1,1
2016-01-08,1,1
2016-02-08,1,1
2016-03-05,1,1
2016-04-16,1,1
2016-04-30,1,1
2016-05-03,1,1
2016-06-08,1,1
2016-09-28,1,1
2016-10-07,1,1
2016-11-04,1,1
2017-01-25,1,1
2017-02-17,1,1
2017-03-17,1,1
2017-03-25,1,1
2017-03-28,1,1
2017-03-30,1,1
2017-04-03,2,2
2017-04-13,1,1
2017-05-06,1,1
2017-05-19,1,1
2017-05-26,1,1
2017-05-27,1,1
2017-06-02,4,4
2017-06-06,1,1
2017-07-11,1,1
2017-08-26,1,1
2017-08-28,1,1
