date,hit_count,text_count
1995-06-06,1,1
1997-06-16,1,1
1998-10-17,1,1
1999-10-30,1,1
1999-11-04,1,1
1999-11-06,1,1
1999-11-11,1,1
2000-06-02,1,1
2000-07-11,1,1
2000-11-20,1,1
2002-03-14,1,1
2002-10-11,2,2
2003-06-17,1,1
2003-08-16,1,1
2004-01-19,1,1
2004-03-04,1,1
2004-03-05,1,1
2004-04-01,1,1
2004-04-17,1,1
2004-07-09,1,1
2004-10-01,1,1
2004-11-06,1,1
2005-10-11,1,1
2006-03-16,1,1
2006-06-21,1,1
2007-01-23,2,2
2007-01-25,1,1
2007-02-09,2,2
2007-02-10,1,1
2007-02-17,1,1
2007-02-21,1,1
2007-03-07,1,1
2007-03-08,2,2
2007-03-09,1,1
2007-03-10,3,3
2007-03-14,1,1
2007-03-21,1,1
2007-03-23,1,1
2007-03-28,1,1
2007-04-07,1,1
2007-05-18,1,1
2007-06-02,1,1
2007-06-11,1,1
2007-06-18,1,1
2007-06-30,1,1
2007-09-20,2,2
2007-09-27,1,1
2007-09-29,1,1
2007-10-09,2,2
2007-10-16,1,1
2007-10-20,1,1
2007-11-15,1,1
2007-11-28,1,1
2007-11-29,1,1
2007-12-05,1,1
2007-12-28,1,1
2007-12-31,1,1
2008-01-08,2,2
2008-01-16,1,1
2008-01-22,2,2
2008-01-23,1,1
2008-01-24,1,1
2008-01-26,2,2
2008-02-08,1,1
2008-02-27,1,1
2008-03-05,1,1
2008-03-13,2,2
2008-03-14,1,1
2008-03-15,1,1
2008-03-17,1,1
2008-03-26,1,1
2008-04-15,4,4
2008-04-16,1,1
2008-04-18,1,1
2008-04-26,1,1
2008-06-05,1,1
2008-09-25,1,1
2008-10-08,1,1
2008-10-11,1,1
2008-10-16,2,2
2008-10-30,2,2
2008-12-11,1,1
2008-12-13,2,2
2008-12-27,1,1
2009-06-24,1,1
2009-06-25,1,1
2009-07-09,2,2
2009-07-10,4,4
2009-07-25,1,1
2009-07-27,1,1
2009-08-06,1,1
2009-08-18,1,1
2009-09-21,1,1
2009-10-06,1,1
2009-10-12,1,1
2009-10-13,1,1
2009-10-22,1,1
2009-10-24,2,2
2009-11-19,1,1
2009-11-24,1,1
2009-12-04,2,2
2009-12-05,1,1
2009-12-07,1,1
2009-12-09,1,1
2009-12-11,1,1
2009-12-12,1,1
2009-12-13,1,1
2009-12-15,1,1
2009-12-18,1,1
2009-12-20,1,1
2009-12-24,1,1
2009-12-31,2,2
2010-01-08,1,1
2010-01-09,1,1
2010-01-14,1,1
2010-01-30,1,1
2010-02-01,2,2
2010-02-18,1,1
2010-02-20,1,1
2010-03-12,2,2
2010-04-02,1,1
2010-04-09,1,1
2010-04-14,2,2
2010-04-16,1,1
2010-05-04,1,1
2010-05-07,1,1
2010-05-26,1,1
2010-05-27,1,1
2010-05-29,1,1
2010-06-19,2,2
2010-08-19,1,1
2010-09-21,1,1
2010-10-27,1,1
2010-11-24,1,1
2010-11-25,1,1
2010-11-26,1,1
2010-11-30,2,2
2010-12-13,1,1
2011-01-29,1,1
2011-02-19,1,1
2011-03-09,1,1
2011-03-26,1,1
2011-03-31,1,1
2011-05-05,1,1
2011-06-11,1,1
2011-07-13,1,1
2011-08-02,1,1
2011-08-13,1,1
2011-09-14,1,1
2011-10-08,1,1
2011-10-14,1,1
2011-10-29,1,1
2011-11-26,1,1
2011-11-29,3,3
2011-12-07,1,1
2011-12-11,1,1
2011-12-12,1,1
2012-03-06,1,1
2012-06-03,1,1
2012-07-28,1,1
2012-08-18,1,1
2012-09-26,1,1
2012-10-14,1,1
2012-10-23,2,2
2012-11-13,1,1
2012-11-24,2,2
2012-12-02,1,1
2013-01-09,1,1
2013-01-26,1,1
2013-02-01,1,1
2013-02-02,1,1
2013-04-10,2,2
2013-04-20,1,1
2013-05-10,1,1
2013-05-12,1,1
2013-06-28,3,3
2013-08-06,1,1
2013-09-21,1,1
2013-09-25,1,1
2014-01-08,1,1
