date,hit_count,text_count
2000-01-26,1,1
2001-04-04,1,1
2001-07-25,1,1
2002-08-28,3,1
2002-10-30,1,1
2002-11-13,11,4
2003-03-05,1,1
2003-03-19,1,1
2004-02-11,1,1
2004-02-25,1,1
2004-03-24,1,1
2004-06-09,3,1
2004-06-30,1,1
2004-08-11,4,1
2004-09-15,1,1
2004-10-27,1,1
2005-04-06,1,1
2005-06-15,1,1
2005-09-07,1,1
2005-11-16,2,1
2005-12-14,1,1
2006-02-01,1,1
2006-03-08,1,1
2006-04-12,1,1
2006-06-07,1,1
2006-07-26,2,1
2006-08-02,1,1
2006-08-23,1,1
2006-11-08,1,1
2006-11-29,1,1
2006-12-20,2,2
2007-01-10,1,1
2007-01-24,1,1
2007-02-07,2,2
2007-02-14,14,5
2007-02-21,3,2
2007-02-28,9,4
2007-03-14,12,3
2007-03-21,5,3
2007-03-28,3,2
2007-04-04,3,3
2007-04-11,6,1
2007-04-18,1,1
2007-05-09,3,3
2007-05-16,3,1
2007-05-30,1,1
2007-06-27,5,2
2007-07-11,1,1
2007-08-08,2,2
2007-08-15,2,1
2007-09-19,1,1
2007-09-26,6,4
2007-10-03,2,2
2007-10-10,2,1
2007-10-17,1,1
2007-11-21,9,4
2007-11-28,2,1
2007-12-12,8,6
2007-12-19,4,3
2008-01-09,1,1
2008-01-16,1,1
2008-01-23,10,2
2008-03-12,2,1
2008-03-19,2,2
2008-04-02,2,1
2008-04-09,1,1
2008-04-16,1,1
2008-05-07,2,1
2008-05-14,2,1
2008-05-21,2,2
2008-07-02,2,1
2008-07-09,1,1
2008-07-23,1,1
2008-07-30,4,2
2008-09-10,1,1
2008-10-15,1,1
2008-10-22,2,1
2008-10-29,2,2
2008-11-05,12,4
2008-11-12,2,2
2008-11-19,3,3
2008-11-26,1,1
2008-12-03,3,2
2008-12-10,2,1
2008-12-17,2,2
2009-01-14,2,1
2009-01-21,1,1
2009-01-28,1,1
2009-02-04,1,1
2009-02-18,2,2
2009-02-25,8,2
2009-03-11,3,2
2009-04-08,1,1
2009-04-29,1,1
2009-05-20,3,1
2009-06-03,1,1
2009-06-24,1,1
2009-07-01,1,1
2009-07-15,3,1
2009-07-22,1,1
2009-07-29,1,1
2009-08-12,1,1
2009-08-26,2,2
2009-09-02,1,1
2009-10-21,1,1
2009-10-28,1,1
2009-11-18,2,2
2009-12-02,18,4
2009-12-09,6,4
2009-12-16,9,5
2009-12-23,2,2
2010-01-13,1,1
2010-02-03,1,1
2010-02-24,10,4
2010-03-17,1,1
2010-03-24,1,1
2010-03-31,1,1
2010-05-05,1,1
2010-05-26,1,1
2010-06-30,1,1
2010-09-22,1,1
2010-10-13,3,2
2010-10-20,7,3
2010-11-10,1,1
