date,hit_count,text_count
2002-08-28,2,2
2002-10-16,1,1
2002-11-13,1,1
2007-02-21,1,1
2007-05-09,2,2
2007-06-27,1,1
2007-10-10,1,1
2008-05-21,1,1
2008-11-05,1,1
2009-01-28,1,1
2009-12-02,1,1
2009-12-16,1,1
2011-05-04,1,1
2012-02-22,1,1
2012-05-02,1,1
2012-10-24,2,2
2013-08-07,2,2
2015-11-11,1,1
2015-12-09,2,2
2016-04-27,1,1
2016-05-11,1,1
2016-06-01,1,1
2016-09-21,1,1
2016-11-09,1,1
2016-11-23,1,1
2017-04-05,1,1
2017-08-30,1,1
2017-09-27,1,1
2017-12-13,1,1
2018-09-19,1,1
2018-10-24,1,1
2018-10-31,1,1
2019-04-10,1,1
2019-05-22,1,1
2019-08-07,1,1
2019-10-09,2,2
2019-10-16,1,1
2019-10-23,1,1
2019-11-13,1,1
2020-03-04,1,1
2020-05-06,1,1
2020-08-19,1,1
2020-09-30,4,4
2020-10-07,1,1
2020-10-28,1,1
2020-11-25,1,1
2021-02-03,1,1
2021-02-10,1,1
2021-03-03,1,1
2021-04-14,1,1
2021-04-28,1,1
2021-05-19,1,1
2021-06-09,1,1
2021-09-29,1,1
2021-11-10,2,2
2021-12-22,1,1
2022-01-19,1,1
2022-02-02,1,1
2022-03-16,1,1
2022-03-30,2,2
2022-04-06,1,1
2022-04-13,2,2
2022-07-06,1,1
2022-07-20,1,1
2022-09-28,2,2
2022-10-05,1,1
2022-11-23,2,2
