date,hit_count,text_count
2000-04-22,1,1
2000-07-31,1,1
2000-11-20,1,1
2000-12-16,1,1
2001-06-11,1,1
2001-07-09,1,1
2001-07-23,1,1
2002-09-02,1,1
2002-09-09,1,1
2003-01-20,1,1
2003-09-22,1,1
2004-03-29,1,1
2004-04-05,1,1
2004-05-29,1,1
2004-07-05,1,1
2005-11-14,1,1
2006-01-09,1,1
2006-08-07,1,1
2007-01-15,1,1
2007-02-26,1,1
2007-03-05,1,1
2007-03-19,2,2
2007-04-30,1,1
2007-06-04,1,1
2007-06-11,1,1
2007-08-06,1,1
2007-08-20,4,4
2007-09-03,1,1
2007-10-08,1,1
2007-10-15,1,1
2007-10-29,1,1
2007-11-05,2,2
2007-12-03,2,2
2008-01-14,1,1
2008-01-28,1,1
2008-02-25,1,1
2008-05-19,1,1
2008-06-02,1,1
2008-06-16,1,1
2008-06-23,1,1
2008-07-07,1,1
2008-07-14,1,1
2008-12-08,1,1
2009-07-20,1,1
2009-11-16,1,1
2010-02-13,1,1
2010-03-29,1,1
2010-04-26,1,1
2010-10-04,1,1
2010-11-15,2,2
2011-03-21,2,2
2011-05-23,1,1
2011-06-27,1,1
2011-10-01,1,1
2012-01-30,1,1
2012-03-19,1,1
2012-12-17,1,1
2014-03-31,1,1
2014-04-12,1,1
2015-01-03,1,1
2015-01-10,1,1
2015-07-04,1,1
2016-02-27,1,1
2016-08-13,1,1
2017-02-04,1,1
2017-05-27,1,1
2017-07-08,1,1
2018-03-24,1,1
2018-07-07,1,1
2018-10-13,1,1
2018-11-10,1,1
2019-03-23,1,1
2019-06-01,1,1
2019-06-15,1,1
2019-07-20,1,1
2019-09-21,1,1
2019-10-12,1,1
2019-12-14,1,1
2020-01-11,2,2
2020-01-25,1,1
2020-02-01,1,1
2020-02-15,2,2
2020-02-29,1,1
2020-04-04,1,1
2020-05-02,1,1
2020-08-01,1,1
2020-09-12,1,1
2020-09-19,1,1
2020-09-26,1,1
2020-12-29,1,1
2021-01-16,1,1
2021-03-13,2,2
2021-04-10,1,1
2021-04-17,1,1
2021-04-30,3,3
2021-05-22,1,1
2021-06-19,1,1
2021-07-31,2,2
2021-08-14,1,1
2021-08-28,1,1
2021-09-18,1,1
2021-10-23,1,1
2021-11-06,2,2
2021-11-13,1,1
2021-11-20,1,1
2021-12-18,1,1
2021-12-28,1,1
2022-01-08,1,1
2022-01-22,1,1
2022-01-29,1,1
2022-02-19,1,1
2022-03-26,1,1
2022-05-14,1,1
2022-05-28,1,1
2022-06-18,3,3
2022-07-02,3,3
2022-07-09,1,1
2022-07-23,2,2
2022-08-20,1,1
2022-09-17,1,1
2022-10-01,1,1
2022-10-29,1,1
2022-11-12,1,1
2022-12-10,1,1
2022-12-28,1,1
