date,hit_count,text_count
2007-08-23,1,1
2007-08-25,1,1
2007-08-30,1,1
2007-08-31,1,1
2007-09-01,1,1
2007-09-12,1,1
2007-09-13,2,2
2007-09-22,1,1
2007-10-22,1,1
2007-10-27,1,1
2007-11-13,1,1
2007-11-20,1,1
2007-11-21,1,1
2007-11-24,2,2
2007-11-28,1,1
2007-12-03,2,2
2007-12-10,1,1
2007-12-13,1,1
2007-12-17,2,2
2008-01-04,1,1
2008-01-08,1,1
2008-01-16,2,2
2008-01-22,1,1
2008-01-24,1,1
2008-02-01,1,1
2008-02-05,1,1
2008-02-06,1,1
2008-02-08,1,1
2008-02-09,1,1
2008-03-07,2,2
2008-03-13,1,1
2008-03-15,2,2
2008-04-18,1,1
2008-04-19,1,1
2008-05-17,1,1
2008-05-21,1,1
2008-05-24,1,1
2008-06-03,1,1
2008-06-05,1,1
2008-06-11,1,1
2008-06-19,4,4
2008-06-21,1,1
2008-07-02,1,1
2008-07-04,1,1
2008-07-05,1,1
2008-07-12,1,1
2008-07-19,1,1
2008-09-01,1,1
2008-09-13,1,1
2008-09-20,1,1
2008-10-07,1,1
2008-11-21,1,1
2008-11-25,1,1
2008-12-01,1,1
2008-12-03,1,1
2008-12-05,1,1
2008-12-12,1,1
2008-12-13,1,1
2009-01-28,1,1
2009-03-07,1,1
2009-04-03,1,1
2009-04-09,1,1
2009-04-23,1,1
2009-05-05,1,1
2009-06-02,1,1
2009-06-18,1,1
2009-06-27,1,1
2009-06-29,1,1
2009-07-09,1,1
2009-07-30,1,1
2009-09-08,1,1
2009-09-18,1,1
2009-09-22,1,1
2009-09-23,2,2
2009-09-24,2,2
2009-09-26,1,1
2009-10-22,2,2
2009-11-17,1,1
2009-11-24,1,1
2009-11-27,1,1
2009-11-28,1,1
2009-12-02,1,1
2009-12-03,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-08,1,1
2009-12-09,1,1
2009-12-15,2,2
2009-12-16,1,1
2009-12-17,1,1
2009-12-19,1,1
2009-12-21,1,1
2010-01-14,1,1
2010-01-18,1,1
2010-01-26,1,1
2010-02-22,1,1
2010-04-27,1,1
2010-05-29,1,1
2010-06-08,1,1
2010-10-06,1,1
2011-09-15,1,1
2011-10-31,1,1
2012-12-05,1,1
2012-12-08,1,1
2013-01-28,1,1
2013-02-06,1,1
2013-02-09,1,1
2013-09-13,1,1
2013-12-12,1,1
2015-04-30,1,1
2015-11-03,1,1
2015-12-09,1,1
2016-07-05,1,1
2016-07-11,1,1
2016-09-21,1,1
2016-09-23,1,1
2016-10-10,1,1
2016-11-02,2,2
2016-11-04,1,1
2016-11-08,1,1
2016-11-09,1,1
2016-11-10,1,1
2016-11-11,1,1
2016-11-17,1,1
2016-11-18,1,1
2016-12-01,1,1
2016-12-02,1,1
2017-01-07,1,1
2017-02-13,1,1
2017-02-21,1,1
2017-03-10,1,1
2017-03-23,1,1
2017-03-24,1,1
2017-03-27,1,1
2017-05-12,1,1
2017-05-15,1,1
2017-05-22,1,1
2017-06-01,2,2
2017-06-02,1,1
2017-06-03,4,4
2017-06-14,1,1
2017-06-20,1,1
2017-06-22,1,1
2017-07-03,1,1
2017-07-07,1,1
2017-07-08,1,1
2017-07-14,2,2
2017-08-15,1,1
2017-08-31,1,1
2017-09-15,1,1
2017-10-12,1,1
2017-10-26,1,1
2017-10-27,1,1
2017-11-02,1,1
2017-11-04,3,3
2017-11-06,2,2
2017-11-07,2,2
2017-11-09,1,1
2017-11-11,2,2
2017-11-13,2,2
2017-11-14,1,1
2017-11-16,2,2
2017-11-17,1,1
2017-11-18,1,1
2017-11-20,1,1
2017-12-02,1,1
2017-12-06,1,1
2017-12-13,1,1
2017-12-21,1,1
2017-12-22,1,1
2017-12-28,1,1
2017-12-30,1,1
2018-01-08,1,1
2018-01-10,1,1
2018-01-12,1,1
2018-01-13,1,1
2018-01-25,1,1
2018-01-26,1,1
2018-01-29,1,1
2018-02-05,1,1
2018-03-06,1,1
2018-03-28,1,1
2018-04-04,1,1
2018-04-28,1,1
2018-05-05,1,1
2018-05-08,1,1
2018-05-31,1,1
2018-06-15,1,1
2018-06-19,1,1
2018-06-21,1,1
2018-07-26,1,1
2018-08-08,1,1
2018-08-11,1,1
2018-08-21,3,3
2018-08-22,1,1
2018-08-23,1,1
2018-09-17,1,1
2018-09-29,1,1
2018-10-06,1,1
2018-10-08,1,1
2018-10-11,1,1
2018-10-12,1,1
2018-10-25,1,1
2018-11-10,2,2
2018-11-24,1,1
2018-12-01,1,1
2018-12-03,2,2
2018-12-04,1,1
2018-12-08,1,1
2018-12-11,1,1
2018-12-17,4,4
2019-01-11,2,2
2019-01-18,1,1
2019-01-21,1,1
2019-01-22,1,1
2019-01-24,1,1
2019-01-25,1,1
2019-01-26,1,1
2019-01-28,2,2
2019-01-29,1,1
2019-01-31,1,1
2019-02-02,1,1
2019-02-07,1,1
2019-02-08,2,2
2019-02-15,1,1
2019-02-16,1,1
2019-02-20,1,1
2019-02-23,1,1
2019-02-25,2,2
2019-02-27,1,1
2019-02-28,1,1
2019-03-05,1,1
2019-03-13,2,2
2019-03-16,1,1
2019-03-19,1,1
2019-03-21,1,1
2019-03-27,1,1
2019-04-03,1,1
2019-04-04,2,2
2019-04-09,1,1
2019-04-11,2,2
2019-04-12,1,1
2019-04-13,2,2
2019-04-15,1,1
2019-04-16,1,1
2019-04-18,2,2
2019-04-20,1,1
2019-04-25,4,4
2019-04-29,1,1
2019-04-30,1,1
2019-05-03,1,1
2019-05-04,2,2
2019-05-09,1,1
2019-05-10,2,2
2019-05-11,2,2
2019-05-14,1,1
2019-05-15,2,2
2019-05-18,1,1
2019-05-20,1,1
2019-05-24,2,2
2019-05-25,1,1
2019-05-27,1,1
2019-05-28,1,1
2019-05-29,2,2
2019-06-04,1,1
2019-06-07,1,1
2019-06-12,2,2
2019-06-17,1,1
2019-06-18,2,2
2019-06-21,1,1
2019-06-24,1,1
2019-06-25,2,2
2019-06-28,2,2
2019-06-29,1,1
2019-07-03,1,1
2019-07-04,1,1
2019-07-05,2,2
2019-07-06,2,2
2019-07-08,2,2
2019-07-09,1,1
2019-07-11,1,1
2019-07-13,3,3
2019-07-16,1,1
2019-07-17,1,1
2019-07-19,1,1
2019-07-23,1,1
2019-07-25,1,1
2019-07-26,1,1
2019-07-29,1,1
2019-07-30,2,2
2019-08-01,1,1
2019-08-03,1,1
2019-08-09,2,2
2019-08-12,1,1
2019-08-15,5,5
2019-08-16,1,1
2019-08-19,1,1
2019-08-20,1,1
2019-08-23,6,6
2019-08-24,4,4
2019-08-26,3,3
2019-08-27,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-08-30,1,1
2019-08-31,1,1
2019-09-04,2,2
2019-09-06,1,1
2019-09-07,3,3
2019-09-11,2,2
2019-09-12,1,1
2019-09-13,2,2
2019-09-14,1,1
2019-09-16,1,1
2019-09-17,5,5
2019-09-19,2,2
2019-09-21,2,2
2019-09-23,3,3
2019-09-24,2,2
2019-09-27,1,1
2019-09-30,2,2
2019-10-01,4,4
2019-10-02,1,1
2019-10-05,3,3
2019-10-07,1,1
2019-10-08,1,1
2019-10-09,2,2
2019-10-10,3,3
2019-10-12,1,1
2019-10-16,1,1
2019-10-17,1,1
2019-10-23,1,1
2019-10-24,1,1
2019-10-26,1,1
2019-11-01,2,2
2019-11-05,2,2
2019-11-06,2,2
2019-11-09,1,1
2019-11-12,1,1
2019-11-14,1,1
2019-11-15,2,2
2019-11-16,3,3
2019-11-20,1,1
2019-11-23,1,1
2019-11-26,1,1
2019-11-28,1,1
2019-11-30,2,2
2019-12-02,1,1
2019-12-03,2,2
2019-12-05,2,2
2019-12-06,2,2
2019-12-11,1,1
2019-12-12,2,2
2019-12-14,1,1
2019-12-19,1,1
2019-12-20,2,2
2019-12-27,2,2
2019-12-28,1,1
2019-12-30,1,1
2020-01-03,2,2
2020-01-08,4,4
2020-01-11,6,6
2020-01-15,1,1
2020-01-16,1,1
2020-01-17,3,3
2020-01-20,1,1
2020-01-21,2,2
2020-01-22,1,1
2020-01-23,2,2
2020-01-25,1,1
2020-01-27,2,2
2020-01-29,2,2
2020-01-30,1,1
2020-02-05,1,1
2020-02-06,1,1
2020-02-07,1,1
2020-02-10,1,1
2020-02-11,1,1
2020-02-13,1,1
2020-02-15,1,1
2020-02-21,1,1
2020-02-24,1,1
2020-02-26,2,2
2020-02-29,2,2
2020-03-06,1,1
2020-03-07,1,1
2020-03-09,1,1
2020-03-11,1,1
2020-03-14,1,1
2020-03-28,1,1
2020-03-30,1,1
2020-04-04,1,1
2020-04-09,1,1
2020-04-11,1,1
2020-04-14,1,1
2020-04-16,1,1
2020-04-20,1,1
2020-04-27,1,1
2020-04-28,1,1
2020-04-29,2,2
2020-05-12,1,1
2020-05-13,1,1
2020-05-15,1,1
2020-05-20,1,1
2020-05-22,1,1
2020-05-29,1,1
2020-06-06,1,1
2020-06-19,1,1
2020-06-26,1,1
2020-07-01,1,1
2020-07-02,1,1
2020-07-04,1,1
2020-07-09,1,1
2020-07-10,1,1
2020-07-20,1,1
2020-07-28,1,1
2020-08-01,1,1
2020-08-08,1,1
2020-08-13,1,1
2020-08-21,1,1
2020-08-22,1,1
2020-08-29,2,2
2020-09-04,1,1
2020-09-05,1,1
2020-09-10,1,1
2020-09-12,1,1
2020-09-14,1,1
2020-09-15,1,1
2020-09-17,1,1
2020-09-19,3,3
2020-09-21,1,1
2020-09-23,1,1
2020-09-24,1,1
2020-09-25,2,2
2020-09-30,1,1
2020-10-07,3,3
2020-10-17,3,3
2020-10-19,1,1
2020-10-20,2,2
2020-10-23,1,1
2020-10-24,2,2
2020-10-26,1,1
2020-10-27,2,2
2020-10-28,1,1
2020-10-30,2,2
2020-11-06,1,1
2020-11-07,1,1
2020-11-09,1,1
2020-11-10,3,3
2020-11-12,2,2
2020-11-13,2,2
2020-11-14,1,1
2020-11-24,2,2
2020-11-25,1,1
2020-11-28,1,1
2020-12-01,2,2
2020-12-03,1,1
2020-12-04,1,1
2020-12-05,1,1
2020-12-07,2,2
2020-12-08,1,1
2020-12-10,1,1
2020-12-11,1,1
2020-12-12,2,2
2020-12-14,2,2
2020-12-15,1,1
2020-12-19,2,2
2021-01-02,1,1
2021-01-06,1,1
2021-01-14,1,1
2021-01-16,1,1
2021-01-19,3,3
2021-01-21,2,2
2021-01-22,2,2
2021-01-23,2,2
2021-01-30,2,2
2021-02-01,1,1
2021-02-02,1,1
2021-02-04,1,1
2021-02-05,1,1
2021-02-06,2,2
2021-02-08,1,1
2021-02-09,1,1
2021-02-13,1,1
2021-02-18,1,1
2021-03-01,1,1
2021-03-02,1,1
2021-03-06,2,2
2021-03-11,1,1
2021-03-12,1,1
2021-03-13,1,1
2021-03-17,3,3
2021-03-19,1,1
2021-03-20,2,2
2021-03-25,2,2
2021-03-29,1,1
2021-03-30,1,1
2021-04-07,1,1
2021-04-10,2,2
2021-04-21,1,1
2021-04-22,3,3
2021-04-23,4,4
2021-04-27,2,2
2021-04-30,5,5
2021-05-04,2,2
2021-05-05,5,5
2021-05-06,1,1
2021-05-07,1,1
2021-05-08,2,2
2021-05-10,1,1
2021-05-11,1,1
2021-05-12,2,2
2021-05-14,7,7
2021-05-18,1,1
2021-05-19,1,1
2021-05-21,2,2
2021-05-22,1,1
2021-05-25,1,1
2021-05-26,1,1
2021-05-27,3,3
2021-05-28,1,1
2021-05-29,1,1
2021-06-02,1,1
2021-06-04,2,2
2021-06-05,1,1
2021-06-07,1,1
2021-06-08,2,2
2021-06-10,1,1
2021-06-11,2,2
2021-06-12,2,2
2021-06-14,1,1
2021-06-16,2,2
2021-06-19,1,1
2021-06-21,1,1
2021-06-22,2,2
2021-06-23,2,2
2021-06-25,1,1
2021-06-26,1,1
2021-07-05,2,2
2021-07-06,1,1
2021-07-07,2,2
2021-07-08,2,2
2021-07-09,1,1
2021-07-10,2,2
2021-07-13,1,1
2021-07-14,1,1
2021-07-15,3,3
2021-07-17,1,1
2021-07-20,1,1
2021-07-21,4,4
2021-07-22,1,1
2021-07-23,1,1
2021-07-24,5,5
2021-07-30,2,2
2021-07-31,1,1
2021-08-02,1,1
2021-08-04,3,3
2021-08-05,1,1
2021-08-07,2,2
2021-08-10,4,4
2021-08-11,2,2
2021-08-12,1,1
2021-08-13,1,1
2021-08-16,1,1
2021-08-17,1,1
2021-08-18,1,1
2021-08-19,1,1
2021-08-21,1,1
2021-08-23,2,2
2021-08-24,1,1
2021-08-25,1,1
2021-08-26,3,3
2021-08-28,3,3
2021-08-30,2,2
2021-09-03,1,1
2021-09-06,1,1
2021-09-08,1,1
2021-09-09,3,3
2021-09-10,1,1
2021-09-14,1,1
2021-09-15,1,1
2021-09-16,2,2
2021-09-17,1,1
2021-09-18,2,2
2021-09-20,1,1
2021-09-21,1,1
2021-09-22,3,3
2021-09-23,2,2
2021-09-24,2,2
2021-09-25,5,5
2021-09-27,2,2
2021-09-28,1,1
2021-09-29,2,2
2021-10-01,1,1
2021-10-02,2,2
2021-10-04,1,1
2021-10-05,1,1
2021-10-06,3,3
2021-10-08,1,1
2021-10-09,3,3
2021-10-11,3,3
2021-10-12,1,1
2021-10-14,2,2
2021-10-16,1,1
2021-10-18,1,1
2021-10-21,2,2
2021-10-22,1,1
2021-10-23,4,4
2021-10-25,3,3
2021-10-26,2,2
2021-10-27,1,1
2021-10-28,3,3
2021-10-29,2,2
2021-10-30,5,5
2021-11-01,3,3
2021-11-02,1,1
2021-11-03,2,2
2021-11-04,1,1
2021-11-05,1,1
2021-11-06,3,3
2021-11-08,2,2
2021-11-09,1,1
2021-11-10,2,2
2021-11-12,4,4
2021-11-13,3,3
2021-11-15,4,4
2021-11-16,2,2
2021-11-17,1,1
2021-11-20,2,2
2021-11-25,1,1
2021-11-26,1,1
2021-11-27,2,2
2021-12-01,2,2
2021-12-07,1,1
2021-12-08,1,1
2021-12-10,1,1
2021-12-13,1,1
2021-12-14,2,2
2021-12-15,1,1
2021-12-16,1,1
2021-12-17,1,1
2021-12-18,4,4
2021-12-20,1,1
2021-12-22,2,2
2021-12-24,1,1
2021-12-29,1,1
2021-12-30,1,1
2022-01-03,5,5
2022-01-04,2,2
2022-01-05,2,2
2022-01-06,1,1
2022-01-07,1,1
2022-01-08,2,2
2022-01-10,2,2
2022-01-11,1,1
2022-01-12,3,3
2022-01-13,1,1
2022-01-15,3,3
2022-01-17,1,1
2022-01-19,1,1
2022-01-20,1,1
2022-01-21,2,2
2022-01-22,4,4
2022-01-24,1,1
2022-01-25,1,1
2022-01-27,1,1
2022-01-29,2,2
2022-02-01,1,1
2022-02-02,2,2
2022-02-03,2,2
2022-02-04,1,1
2022-02-05,1,1
2022-02-07,1,1
2022-02-08,1,1
2022-02-09,1,1
2022-02-10,1,1
2022-02-11,1,1
2022-02-15,1,1
2022-02-16,1,1
2022-02-18,3,3
2022-02-21,1,1
2022-02-22,3,3
2022-02-26,1,1
2022-02-28,2,2
2022-03-01,1,1
2022-03-03,1,1
2022-03-04,1,1
2022-03-05,1,1
2022-03-08,3,3
2022-03-09,1,1
2022-03-12,1,1
2022-03-15,1,1
2022-03-16,1,1
2022-03-18,4,4
2022-03-19,1,1
2022-03-21,1,1
2022-03-22,2,2
2022-03-23,1,1
2022-03-25,1,1
2022-03-26,3,3
2022-03-29,3,3
2022-03-31,1,1
2022-04-01,1,1
2022-04-04,1,1
2022-04-05,2,2
2022-04-07,1,1
2022-04-08,1,1
2022-04-11,1,1
2022-04-16,1,1
2022-04-21,1,1
2022-04-22,1,1
2022-04-27,1,1
2022-04-29,1,1
2022-04-30,2,2
2022-05-03,1,1
2022-05-04,1,1
2022-05-06,1,1
2022-05-07,2,2
2022-05-09,1,1
