date,hit_count,text_count
2005-08-31,1,1
2006-11-30,1,1
2006-12-10,1,1
2007-03-04,1,1
2007-03-09,2,2
2007-03-12,1,1
2007-03-13,1,1
2007-03-15,1,1
2007-03-27,1,1
2007-04-03,1,1
2007-04-11,1,1
2007-05-02,1,1
2007-06-10,1,1
2007-06-27,1,1
2007-07-12,1,1
2007-07-28,1,1
2007-08-22,3,3
2007-08-23,1,1
2007-09-19,1,1
2007-10-08,1,1
2007-10-17,1,1
2007-10-19,1,1
2007-11-28,1,1
2007-12-07,1,1
2007-12-15,1,1
2008-01-16,1,1
2008-03-08,1,1
2008-06-07,1,1
2008-06-19,1,1
2008-09-18,1,1
2008-12-10,1,1
2008-12-11,1,1
2009-01-29,1,1
2009-02-25,2,2
2009-03-01,1,1
2009-06-27,1,1
2009-07-09,1,1
2009-07-10,1,1
2009-07-12,1,1
2009-09-18,1,1
2009-11-17,1,1
2009-11-19,1,1
2009-12-03,1,1
2009-12-06,1,1
2009-12-19,2,2
2009-12-23,1,1
2010-01-25,1,1
2010-06-12,1,1
2010-06-27,1,1
2010-08-24,1,1
2010-08-27,1,1
2010-10-21,1,1
2010-11-18,1,1
2010-12-12,1,1
2010-12-16,1,1
2011-03-01,1,1
2011-03-28,1,1
2011-05-11,1,1
2011-06-24,1,1
2011-11-16,1,1
2011-12-12,1,1
2011-12-21,1,1
2011-12-30,1,1
2012-01-21,1,1
2012-09-06,1,1
2012-10-05,1,1
2014-01-30,1,1
2014-03-07,2,2
2014-06-20,1,1
2014-08-02,1,1
2014-08-30,1,1
2014-09-23,1,1
2014-11-05,1,1
2015-02-26,1,1
2015-04-01,1,1
2015-04-25,1,1
2015-07-16,1,1
2015-07-23,1,1
2015-10-11,1,1
2015-11-04,1,1
2015-11-30,1,1
2015-12-01,2,2
2015-12-09,1,1
2015-12-11,1,1
2015-12-12,2,2
2015-12-13,2,2
2015-12-14,1,1
2016-12-14,1,1
2017-06-01,1,1
2017-06-02,1,1
2017-06-20,1,1
2017-07-05,1,1
2017-07-08,2,2
2017-10-27,1,1
2017-11-03,1,1
2017-11-15,2,2
2017-11-27,1,1
2018-01-10,2,2
2018-04-12,2,2
2018-06-09,1,1
2018-08-09,1,1
2018-09-13,1,1
2018-10-09,1,1
2018-11-06,1,1
2018-11-13,1,1
2018-12-17,2,2
2019-01-03,2,2
2019-01-22,1,1
2019-02-02,1,1
2019-02-20,1,1
2019-02-27,1,1
2019-03-01,1,1
2019-03-06,1,1
2019-03-27,2,2
2019-04-09,1,1
2019-04-13,1,1
2019-05-02,1,1
2019-05-15,1,1
