date,hit_count,text_count
1995-06-21,2,1
1995-09-20,1,1
1995-09-27,2,2
1995-10-13,1,1
1995-12-02,2,1
1995-12-15,2,1
1996-02-23,2,1
1996-03-09,1,1
1996-03-28,7,3
1996-05-14,2,2
1996-06-01,1,1
1996-06-07,1,1
1997-11-26,1,1
1997-12-09,1,1
1997-12-10,2,2
1997-12-11,1,1
1997-12-12,1,1
1997-12-16,6,2
1997-12-29,3,3
1998-01-06,2,1
1998-01-14,1,1
1998-01-21,1,1
1998-01-28,1,1
1998-02-11,4,1
1998-02-13,1,1
1998-02-14,4,2
1998-02-18,1,1
1998-02-26,1,1
1998-03-21,1,1
1998-03-24,2,2
1998-03-30,1,1
1998-04-04,1,1
1998-04-16,2,2
1998-04-21,2,1
1998-04-22,2,1
1998-04-23,3,2
1998-04-25,1,1
1998-05-05,1,1
1998-05-07,2,2
1998-05-08,3,1
1998-05-13,1,1
1998-05-30,1,1
1998-06-12,1,1
1998-06-17,4,4
1998-06-19,1,1
1998-06-29,1,1
1998-07-14,1,1
1998-07-17,1,1
1998-07-24,4,1
1998-08-11,1,1
1998-08-20,2,1
1998-08-24,1,1
1998-09-09,1,1
1998-09-17,1,1
1998-10-21,4,3
1998-10-22,1,1
1998-10-24,2,2
1998-10-27,2,1
1998-11-02,2,2
1998-11-12,1,1
1998-12-04,2,1
1998-12-14,3,2
1998-12-15,4,3
1998-12-16,1,1
1998-12-17,2,1
1998-12-30,1,1
1999-01-11,1,1
1999-01-12,4,2
1999-01-14,1,1
1999-01-28,6,2
1999-01-30,5,2
1999-02-17,1,1
1999-02-18,3,2
1999-02-19,2,1
1999-02-23,2,1
1999-02-25,5,2
1999-02-26,2,2
1999-02-27,1,1
1999-03-04,2,2
1999-03-06,2,2
1999-03-16,2,1
1999-03-20,1,1
1999-03-25,3,1
1999-03-30,1,1
1999-04-07,2,1
1999-04-10,1,1
1999-04-19,1,1
1999-04-27,1,1
1999-04-28,3,1
1999-05-04,1,1
1999-05-06,1,1
1999-05-19,2,2
1999-05-21,1,1
1999-05-26,3,2
1999-06-05,1,1
1999-06-07,2,1
1999-06-19,1,1
1999-06-25,3,1
1999-06-26,1,1
1999-06-30,1,1
1999-07-01,2,2
1999-07-09,1,1
1999-07-23,2,2
1999-08-02,2,2
1999-08-04,1,1
1999-08-10,4,1
1999-08-12,3,1
1999-08-16,3,3
1999-08-18,2,2
1999-08-21,1,1
1999-08-26,2,2
1999-08-30,1,1
1999-09-01,1,1
1999-09-03,1,1
1999-09-04,1,1
1999-09-10,1,1
1999-09-11,2,1
1999-09-14,3,1
1999-09-18,1,1
1999-09-23,1,1
1999-09-28,1,1
1999-10-01,1,1
1999-10-07,1,1
1999-10-08,2,1
1999-10-20,2,2
1999-10-21,2,1
1999-10-22,1,1
1999-11-02,1,1
1999-11-03,3,1
1999-11-11,3,3
1999-11-19,1,1
1999-11-30,1,1
2000-03-11,2,2
2000-03-13,1,1
2000-03-15,2,2
2000-03-16,1,1
2000-03-18,5,4
2000-03-22,5,3
2000-03-24,4,2
2000-03-27,1,1
2000-03-28,1,1
2000-04-03,1,1
2000-04-08,1,1
2000-04-10,2,2
2000-04-11,1,1
2000-04-12,3,2
2000-04-13,3,2
2000-04-14,3,3
2000-04-15,3,2
2000-04-26,2,1
2000-04-27,2,2
2000-05-03,1,1
2000-05-04,1,1
2000-05-06,1,1
2000-05-08,1,1
2000-05-10,7,2
2000-05-23,1,1
2000-05-29,1,1
2000-06-03,1,1
2000-06-16,2,2
2000-06-27,1,1
2000-07-11,1,1
2000-07-18,1,1
2000-07-27,3,2
2000-07-28,1,1
2000-07-29,1,1
2000-08-12,5,2
2000-08-16,1,1
2000-08-19,1,1
2000-08-23,2,2
2000-08-25,1,1
2000-08-28,1,1
2000-08-30,1,1
2000-09-01,2,1
2000-09-20,1,1
2000-09-26,3,2
2000-09-27,1,1
2000-10-02,3,3
2000-10-11,1,1
2000-10-13,1,1
2000-10-19,3,2
2000-10-24,2,1
2000-11-01,3,1
2000-11-03,4,1
2000-11-07,1,1
2000-11-10,3,1
2000-11-14,2,1
2000-11-16,2,1
2000-11-18,2,1
2000-11-27,4,2
2000-11-29,2,1
2000-11-30,1,1
2000-12-02,2,2
2000-12-06,1,1
2000-12-14,1,1
2000-12-16,2,1
2000-12-18,1,1
2000-12-20,1,1
2000-12-21,1,1
2000-12-23,1,1
2000-12-30,1,1
2001-01-04,2,1
2001-01-10,1,1
2001-01-11,1,1
2001-01-20,1,1
2001-01-23,1,1
2001-01-27,2,1
2001-02-05,1,1
2001-02-16,2,1
2001-02-24,3,2
2001-02-26,2,2
2001-02-28,1,1
2001-03-06,1,1
2001-03-10,1,1
2001-03-16,1,1
2001-03-21,1,1
2001-03-24,1,1
2001-03-29,1,1
2001-03-31,2,1
2001-04-18,1,1
2001-04-19,3,1
2001-04-20,1,1
2001-04-21,2,1
2001-04-23,1,1
2001-04-24,7,4
2001-04-26,3,1
2001-04-27,3,2
2001-05-04,3,2
2001-05-05,1,1
2001-05-07,3,3
