date,hit_count,text_count
1995-06-21,1,1
1999-01-30,1,1
1999-08-18,1,1
2000-03-11,1,1
2000-03-22,1,1
2000-03-24,1,1
2000-04-13,1,1
2000-04-14,1,1
2000-04-26,1,1
2000-04-27,1,1
2000-05-04,1,1
2000-08-12,1,1
2000-08-17,1,1
2000-10-02,1,1
2001-02-24,1,1
2001-05-07,1,1
2001-11-30,1,1
2002-01-25,1,1
2002-06-03,1,1
2002-09-03,1,1
2002-09-05,1,1
2002-10-01,1,1
2002-10-10,1,1
2002-11-21,1,1
2002-11-26,1,1
2003-01-30,1,1
2003-02-04,1,1
2003-06-17,1,1
2003-11-12,1,1
2004-01-19,1,1
2004-01-20,1,1
2004-03-05,1,1
2004-04-01,1,1
2004-04-03,1,1
2004-05-18,2,2
2004-06-02,1,1
2004-06-05,2,2
2004-08-11,1,1
2005-02-03,1,1
2005-02-16,1,1
2005-04-15,1,1
2005-05-10,1,1
2005-05-24,1,1
2005-05-25,1,1
2005-06-01,1,1
2005-06-06,1,1
2005-06-07,1,1
2005-07-28,1,1
2005-09-09,1,1
2005-09-14,1,1
2006-01-28,1,1
2006-02-02,1,1
2006-04-04,1,1
2006-06-28,1,1
2006-09-27,1,1
2006-11-14,1,1
2006-11-15,1,1
2006-12-04,3,3
2006-12-07,1,1
2006-12-21,1,1
2006-12-29,2,2
2007-01-04,1,1
2007-01-05,1,1
2007-01-06,1,1
2007-01-11,1,1
2007-01-25,1,1
2007-01-26,1,1
2007-01-30,1,1
2007-02-03,2,2
2007-02-05,2,2
2007-02-09,1,1
2007-02-16,1,1
2007-03-06,1,1
2007-03-09,1,1
2007-03-12,2,2
2007-03-13,2,2
2007-03-14,1,1
2007-03-15,1,1
2007-03-16,1,1
2007-03-17,1,1
2007-03-20,1,1
2007-03-22,1,1
2007-03-26,1,1
2007-03-27,1,1
2007-04-14,1,1
2007-04-18,1,1
2007-04-20,1,1
2007-04-26,1,1
2007-04-28,1,1
2007-05-02,1,1
2007-05-04,1,1
2007-05-05,2,2
2007-05-11,1,1
2007-05-16,1,1
2007-05-24,1,1
2007-06-27,1,1
2007-07-16,1,1
2007-07-19,1,1
2007-08-03,1,1
2007-08-16,1,1
2007-08-17,1,1
2007-08-22,2,2
2007-08-24,1,1
2007-09-10,1,1
2007-09-11,1,1
2007-09-12,1,1
2007-09-18,1,1
2007-09-26,1,1
2007-10-06,1,1
2007-10-11,1,1
2007-10-29,2,2
2007-10-30,1,1
2007-11-03,1,1
2007-11-08,2,2
2007-11-12,1,1
2007-11-17,2,2
2007-11-28,1,1
2007-12-01,1,1
2007-12-06,1,1
2007-12-07,1,1
2008-01-05,1,1
2008-01-24,4,4
2008-01-25,2,2
2008-01-31,1,1
2008-02-01,1,1
2008-02-06,1,1
2008-02-07,1,1
2008-02-12,1,1
2008-02-14,1,1
2008-02-15,2,2
2008-02-16,1,1
2008-03-25,1,1
2008-04-03,1,1
2008-04-17,1,1
2008-04-25,1,1
2008-04-29,1,1
2008-04-30,1,1
2008-05-15,1,1
2008-05-21,2,2
2008-05-23,1,1
2008-05-28,1,1
2008-05-30,1,1
2008-06-02,1,1
2008-06-20,1,1
2008-06-23,1,1
2008-06-24,2,2
2008-06-28,1,1
2008-06-30,1,1
2008-07-07,2,2
2008-07-10,1,1
2008-07-19,1,1
2008-07-22,1,1
2008-07-30,1,1
2008-08-02,1,1
2008-08-06,1,1
2008-08-09,1,1
2008-08-12,1,1
2008-08-30,1,1
2008-09-05,1,1
2008-09-10,1,1
2008-09-11,1,1
2008-09-20,1,1
2008-10-02,1,1
2008-10-30,1,1
2008-10-31,1,1
2008-11-04,1,1
2008-11-17,1,1
2008-12-02,1,1
2008-12-03,1,1
2008-12-30,1,1
2009-01-26,1,1
2009-01-28,1,1
2009-04-28,1,1
2009-04-30,1,1
2009-05-13,2,2
2009-06-19,1,1
2009-07-08,2,2
2009-07-14,1,1
2009-08-11,1,1
2009-08-15,1,1
2009-08-17,1,1
2009-09-03,1,1
2009-09-15,2,2
2009-09-21,2,2
2009-09-23,1,1
2009-11-12,1,1
2009-11-26,1,1
2009-12-07,1,1
2010-01-04,1,1
2010-03-05,1,1
2010-03-25,1,1
2010-03-30,1,1
2010-04-01,1,1
2010-05-22,1,1
2010-06-05,1,1
2010-06-10,1,1
2010-07-07,1,1
2010-09-07,1,1
2010-09-10,2,2
2010-10-13,1,1
2010-10-14,1,1
2010-11-10,1,1
2010-12-17,1,1
2011-01-27,1,1
2011-02-14,1,1
2011-02-15,1,1
2011-03-10,1,1
2011-03-12,1,1
2011-03-17,1,1
2011-03-18,1,1
