date,hit_count,text_count
2002-08-22,1,1
2005-03-03,2,2
2007-01-18,1,1
2007-03-08,2,2
2007-04-12,1,1
2008-04-17,3,3
2008-05-21,1,1
2008-07-24,1,1
2010-11-04,2,2
2010-12-02,1,1
2011-09-08,1,1
2012-01-26,3,3
2014-02-13,1,1
2014-10-23,1,1
2015-06-27,1,1
2015-07-25,1,1
2015-09-05,1,1
2015-09-12,1,1
2015-11-28,1,1
2015-12-05,1,1
2017-01-21,1,1
2017-04-21,1,1
2017-06-16,1,1
2017-08-11,1,1
2017-12-22,1,1
2018-01-12,1,1
2018-08-24,1,1
2019-03-29,3,3
2019-04-12,1,1
2019-05-03,1,1
2019-07-05,2,2
2019-07-12,2,2
2019-07-19,1,1
2019-08-02,1,1
2019-09-06,2,2
2019-09-13,2,2
2019-10-11,1,1
2019-10-18,1,1
2019-10-25,1,1
2019-12-06,1,1
2020-01-10,4,4
2020-02-21,1,1
2020-02-28,1,1
2020-03-13,1,1
2020-04-03,1,1
2020-04-10,1,1
2020-04-30,1,1
2020-05-15,1,1
2020-05-29,2,2
2020-06-26,1,1
2020-07-03,1,1
2020-07-17,3,3
2020-09-25,1,1
2020-10-23,1,1
2020-11-13,1,1
2020-12-04,1,1
2020-12-18,1,1
2021-01-29,1,1
2021-02-26,1,1
2021-03-19,1,1
2021-03-26,1,1
2021-04-02,1,1
2021-05-14,2,2
2021-05-28,1,1
2021-06-11,1,1
2021-07-09,2,2
2021-07-30,3,3
2021-11-05,1,1
2021-11-19,1,1
2021-12-03,1,1
2021-12-10,1,1
2022-01-21,1,1
2022-02-11,1,1
2022-03-25,1,1
2022-04-08,1,1
2022-04-15,1,1
2022-05-13,2,2
2022-05-20,1,1
2022-06-03,1,1
2022-06-10,1,1
2022-08-05,1,1
2022-08-26,1,1
2022-09-02,1,1
2022-09-09,2,2
2022-09-16,1,1
2022-09-30,1,1
2022-10-14,1,1
2022-11-11,2,2
2022-12-02,1,1
2022-12-16,3,3
2022-12-23,1,1
