date,hit_count,text_count
2007-01-17,1,1
2007-01-31,1,1
2007-02-07,2,2
2007-02-13,1,1
2007-02-14,1,1
2007-02-19,1,1
2007-02-20,1,1
2007-03-06,2,2
2007-03-13,1,1
2007-03-14,1,1
2007-03-20,1,1
2007-03-26,1,1
2007-03-27,1,1
2007-04-03,1,1
2007-04-23,1,1
2007-05-02,1,1
2007-05-16,1,1
2007-06-27,1,1
2007-07-09,1,1
2007-07-11,1,1
2007-07-16,1,1
2007-07-25,1,1
2007-08-14,1,1
2007-09-17,2,2
2007-09-19,1,1
2007-10-03,1,1
2007-10-08,1,1
2007-10-10,1,1
2007-10-16,1,1
2007-10-22,2,2
2007-10-29,1,1
2007-11-06,1,1
2007-11-14,1,1
2007-11-21,1,1
2007-12-05,1,1
2007-12-11,2,2
2007-12-12,1,1
2007-12-31,1,1
2008-01-02,1,1
2008-01-07,1,1
2008-01-08,1,1
2008-01-09,1,1
2008-01-16,1,1
2008-01-22,1,1
2008-02-05,2,2
2008-02-11,1,1
2008-02-12,1,1
2008-02-25,1,1
2008-03-03,1,1
2008-03-11,1,1
2008-03-12,1,1
2008-03-24,1,1
2008-03-25,1,1
2008-04-07,2,2
2008-04-21,1,1
2008-05-07,1,1
2008-05-14,1,1
2008-05-21,3,3
2008-05-28,1,1
2008-06-23,1,1
2008-07-08,1,1
2008-07-16,1,1
2008-09-02,3,3
2008-09-03,1,1
2008-09-15,1,1
2008-09-16,1,1
2008-09-17,1,1
2008-09-23,1,1
2008-10-01,1,1
2008-10-27,1,1
2008-10-29,1,1
2008-12-09,1,1
2009-01-26,1,1
2009-02-17,1,1
2009-02-24,1,1
2009-03-09,1,1
2009-03-16,1,1
2009-03-23,1,1
2009-03-24,1,1
2009-04-08,1,1
2009-05-05,2,2
2009-05-11,1,1
2009-06-15,1,1
2009-07-14,1,1
2009-11-17,1,1
2009-11-25,1,1
2009-12-09,2,2
2009-12-14,2,2
2009-12-15,2,2
2009-12-16,1,1
2009-12-21,1,1
2010-01-18,1,1
2010-03-02,1,1
2010-03-16,1,1
2010-03-25,1,1
2010-03-30,2,2
2010-06-09,1,1
2010-06-10,1,1
2010-06-23,1,1
2010-09-15,1,1
2010-09-16,1,1
2010-09-28,1,1
2010-09-29,1,1
2010-09-30,1,1
2010-10-05,1,1
2010-12-07,1,1
2011-01-27,1,1
2012-02-22,1,1
2012-03-22,2,2
2012-04-05,1,1
2012-04-26,1,1
2012-05-24,2,2
2012-05-31,1,1
2012-06-07,2,2
2012-06-14,2,2
2012-07-05,1,1
