date,hit_count,text_count
1993-02-17,1,1
1994-12-03,1,1
1995-01-21,1,1
1995-03-11,1,1
1995-04-29,1,1
1995-06-17,1,1
1997-07-16,1,1
1997-11-28,1,1
1997-12-02,2,2
1998-11-12,1,1
1998-11-16,1,1
2000-04-13,1,1
2000-10-18,1,1
2000-11-20,1,1
2001-03-30,1,1
2001-04-04,1,1
2001-07-20,1,1
2001-07-21,1,1
2002-04-12,1,1
2002-08-13,1,1
2002-10-05,1,1
2003-07-16,1,1
2003-12-13,1,1
2004-05-22,2,2
2004-10-05,1,1
2005-07-14,1,1
2005-08-31,1,1
2005-10-15,1,1
2005-12-08,1,1
2006-01-13,1,1
2006-04-01,1,1
2006-06-01,1,1
2006-06-21,1,1
2006-09-01,1,1
2006-12-20,1,1
2006-12-27,1,1
2007-01-30,1,1
2007-02-02,1,1
2007-02-03,1,1
2007-02-06,1,1
2007-02-13,1,1
2007-03-05,1,1
2007-03-08,1,1
2007-03-15,1,1
2007-03-17,1,1
2007-03-19,1,1
2007-03-28,1,1
2007-04-03,1,1
2007-04-10,1,1
2007-04-11,1,1
2007-04-17,1,1
2007-04-27,1,1
2007-04-30,1,1
2007-05-12,1,1
2007-06-02,1,1
2007-06-05,1,1
2007-06-09,1,1
2007-07-04,1,1
2007-07-16,1,1
2007-07-17,1,1
2007-08-18,1,1
2007-08-21,1,1
2007-08-23,1,1
2007-08-24,1,1
2007-08-25,2,2
2007-09-10,1,1
2007-09-24,1,1
2007-09-26,1,1
2007-10-03,1,1
2007-10-11,2,2
2007-10-24,1,1
2007-11-01,1,1
2007-11-07,1,1
2007-11-12,1,1
2007-11-15,2,2
2007-11-19,2,2
2007-11-20,1,1
2007-11-23,1,1
2007-12-06,1,1
2007-12-08,1,1
2007-12-10,1,1
2007-12-12,1,1
2007-12-17,2,2
2008-01-11,1,1
2008-01-16,1,1
2008-01-30,1,1
2008-02-09,1,1
2008-02-16,1,1
2008-03-10,1,1
2008-03-13,1,1
2008-03-15,1,1
2008-04-03,1,1
2008-04-19,1,1
2008-04-25,1,1
2008-04-30,1,1
2008-05-17,1,1
2008-05-31,1,1
2008-06-04,1,1
2008-06-19,1,1
2008-06-30,1,1
2008-07-04,1,1
2008-07-08,1,1
2008-07-09,1,1
2008-07-10,1,1
2008-07-18,1,1
2008-10-17,1,1
2008-11-18,1,1
2008-12-01,1,1
2008-12-05,1,1
2008-12-12,1,1
2008-12-13,2,2
2008-12-27,1,1
2009-02-11,1,1
2009-02-21,1,1
2009-03-07,1,1
2009-03-23,1,1
2009-03-30,1,1
2009-04-06,1,1
2009-04-27,1,1
2009-04-28,1,1
2009-04-29,1,1
2009-05-06,1,1
