date,hit_count,text_count
1990-11-07,1,1
1992-03-09,1,1
1992-05-15,1,1
1992-05-28,1,1
1992-06-13,2,2
1992-06-15,1,1
1993-04-23,1,1
1994-08-24,1,1
1995-01-12,1,1
1995-01-28,1,1
1995-03-04,1,1
1995-03-18,1,1
1995-03-23,1,1
1995-03-31,1,1
1995-04-07,1,1
1995-04-08,1,1
1995-04-29,1,1
1996-03-07,1,1
1996-07-20,1,1
1997-01-03,1,1
1997-02-28,1,1
1997-03-18,1,1
1997-03-19,1,1
1997-03-26,1,1
1997-04-01,1,1
1997-06-21,1,1
1997-06-24,1,1
1997-08-13,1,1
1997-11-18,1,1
1997-11-26,1,1
1997-12-10,2,2
1998-01-08,1,1
1998-01-12,1,1
1998-11-16,1,1
1999-02-12,1,1
1999-09-29,1,1
2000-01-25,2,2
2000-04-26,1,1
2000-04-27,1,1
2000-11-28,1,1
2000-12-07,1,1
2000-12-16,1,1
2001-01-02,2,2
2001-03-06,1,1
2001-03-12,1,1
2001-04-03,1,1
2001-04-06,1,1
2001-04-26,1,1
2001-05-26,1,1
2001-06-12,1,1
2001-07-12,1,1
2001-07-20,2,2
2001-07-21,1,1
2001-07-23,1,1
2001-07-24,2,2
2001-07-30,1,1
2001-11-13,1,1
2001-12-18,1,1
2001-12-27,1,1
2002-05-22,1,1
2002-07-06,1,1
2002-07-10,1,1
2002-08-14,1,1
2002-08-16,1,1
2002-08-24,1,1
2002-08-26,1,1
2002-08-29,1,1
2002-08-30,1,1
2002-08-31,2,2
2002-09-04,2,2
2002-09-05,2,2
2002-09-16,1,1
2002-09-19,1,1
2002-11-13,1,1
2003-01-04,1,1
2003-06-04,1,1
2003-08-14,1,1
2003-11-25,1,1
2003-12-06,1,1
2004-03-31,2,2
2004-05-29,1,1
2004-06-02,1,1
2004-06-05,1,1
2004-06-07,1,1
2004-08-21,1,1
2004-09-29,1,1
2004-10-09,1,1
2004-10-23,1,1
2004-11-04,1,1
2004-12-10,1,1
2004-12-27,1,1
2004-12-31,1,1
2005-04-02,1,1
2005-04-22,1,1
2005-05-25,1,1
2005-07-02,1,1
2005-07-05,1,1
2005-07-06,2,2
2005-07-07,1,1
2005-07-08,2,2
2005-07-09,1,1
2005-08-25,1,1
2005-10-14,1,1
2005-11-05,1,1
2005-11-28,1,1
2005-12-02,1,1
2005-12-10,1,1
2006-01-13,1,1
2006-01-26,1,1
2006-09-02,1,1
2006-10-27,1,1
2006-11-03,1,1
2006-11-06,1,1
2006-11-20,2,2
2006-12-04,1,1
2006-12-20,1,1
2006-12-27,1,1
2006-12-29,1,1
2007-01-02,1,1
2007-01-10,1,1
2007-01-13,1,1
2007-01-20,1,1
2007-01-22,2,2
2007-01-25,1,1
2007-01-26,1,1
2007-01-29,1,1
2007-01-31,2,2
2007-02-01,1,1
2007-02-02,1,1
2007-02-03,1,1
2007-02-07,1,1
2007-02-15,1,1
2007-02-16,1,1
2007-02-17,1,1
2007-02-19,1,1
2007-02-24,1,1
2007-03-01,2,2
2007-03-02,1,1
2007-03-03,1,1
2007-03-05,2,2
2007-03-07,1,1
2007-03-08,3,3
2007-03-10,3,3
2007-03-15,1,1
2007-03-17,1,1
2007-03-19,3,3
2007-03-21,1,1
2007-03-26,1,1
2007-04-03,1,1
2007-04-11,1,1
2007-04-19,1,1
2007-04-21,1,1
2007-04-27,2,2
2007-05-05,1,1
2007-05-11,1,1
2007-05-12,1,1
2007-05-14,1,1
2007-05-17,1,1
2007-05-19,1,1
2007-05-24,1,1
2007-05-25,3,3
2007-05-26,1,1
2007-05-29,2,2
2007-05-31,4,4
2007-06-01,1,1
2007-06-02,2,2
2007-06-04,1,1
2007-06-06,3,3
2007-06-07,4,4
2007-06-09,3,3
2007-06-11,1,1
2007-06-12,1,1
2007-06-15,1,1
2007-06-18,1,1
2007-06-20,1,1
2007-06-23,1,1
2007-06-25,1,1
2007-06-29,1,1
2007-07-04,1,1
2007-07-06,1,1
2007-07-07,1,1
2007-07-16,1,1
2007-07-27,1,1
2007-07-30,1,1
2007-07-31,1,1
2007-08-03,1,1
2007-08-04,1,1
2007-08-06,1,1
2007-08-10,1,1
2007-08-11,1,1
2007-08-13,1,1
2007-08-18,1,1
2007-08-20,1,1
2007-08-24,1,1
2007-08-31,1,1
2007-09-05,1,1
2007-09-08,1,1
2007-09-10,1,1
2007-09-11,1,1
2007-09-14,1,1
2007-09-26,1,1
2007-09-28,1,1
2007-10-02,1,1
2007-10-03,1,1
2007-10-06,1,1
2007-10-10,1,1
2007-10-20,1,1
2007-10-24,1,1
2007-10-30,1,1
2007-11-07,1,1
2007-11-12,2,2
2007-11-13,1,1
2007-11-15,2,2
2007-11-17,1,1
2007-11-19,2,2
2007-11-20,1,1
2007-11-27,1,1
2007-12-03,1,1
2007-12-06,2,2
2007-12-07,1,1
2007-12-08,2,2
2007-12-10,3,3
2007-12-12,1,1
2007-12-13,1,1
2007-12-15,2,2
2007-12-17,1,1
2007-12-29,1,1
2008-01-09,1,1
2008-01-11,1,1
2008-01-15,1,1
2008-01-19,1,1
2008-01-21,1,1
2008-01-22,1,1
2008-01-28,1,1
2008-01-30,1,1
2008-02-09,1,1
2008-02-28,1,1
2008-03-12,1,1
2008-03-29,1,1
2008-04-03,1,1
2008-04-07,1,1
2008-04-08,1,1
2008-04-09,1,1
2008-04-10,1,1
2008-04-16,3,3
2008-04-19,1,1
2008-04-24,1,1
2008-04-26,1,1
2008-05-01,1,1
2008-05-03,1,1
2008-05-17,1,1
2008-05-19,1,1
2008-05-21,1,1
2008-05-24,1,1
2008-05-26,2,2
2008-06-02,1,1
2008-06-04,1,1
2008-06-10,1,1
2008-06-12,1,1
2008-06-16,1,1
2008-06-20,2,2
2008-06-30,1,1
2008-07-08,1,1
2008-07-09,1,1
2008-07-11,1,1
2008-07-14,1,1
2008-07-23,1,1
2008-07-24,2,2
2008-07-25,1,1
2008-08-07,1,1
2008-08-08,1,1
2008-09-18,1,1
2008-10-10,1,1
2008-10-14,1,1
2008-10-17,1,1
2008-11-13,1,1
2008-11-17,1,1
2008-11-24,1,1
2008-12-02,1,1
2008-12-05,1,1
2008-12-13,1,1
2008-12-18,1,1
2008-12-22,1,1
2008-12-24,1,1
2008-12-31,1,1
2009-01-10,1,1
2009-01-24,1,1
2009-01-27,1,1
2009-01-30,1,1
2009-02-04,1,1
2009-02-17,1,1
2009-02-19,1,1
2009-02-23,1,1
2009-02-26,1,1
2009-03-07,1,1
2009-03-14,1,1
2009-03-17,1,1
2009-03-21,1,1
2009-03-23,1,1
2009-03-28,1,1
2009-04-01,1,1
2009-04-02,1,1
2009-04-30,1,1
2009-05-05,1,1
2009-05-14,1,1
2009-05-15,1,1
2009-05-25,1,1
2009-05-29,1,1
2009-06-03,1,1
2009-06-05,1,1
2009-06-06,2,2
2009-06-09,1,1
2009-06-19,1,1
2009-06-25,1,1
2009-06-26,1,1
2009-06-27,1,1
2009-06-29,1,1
2009-07-01,2,2
