date,hit_count,text_count
2002-04-21,1,1
2002-04-28,1,1
2002-05-05,2,2
2002-07-14,2,1
2002-08-11,1,1
2002-09-22,1,1
2003-07-27,4,1
2003-08-10,1,1
2003-08-17,4,3
2003-08-31,2,2
2003-11-09,1,1
2003-11-30,1,1
2003-12-07,1,1
2004-02-15,1,1
2004-03-14,1,1
2004-04-04,2,1
2004-05-16,1,1
2004-07-11,1,1
2004-07-18,1,1
2004-09-19,2,1
2004-09-26,1,1
2004-10-24,2,1
2004-10-31,1,1
2004-11-07,1,1
2004-12-05,1,1
2004-12-19,2,1
2005-01-02,3,1
2005-01-16,2,2
2005-01-23,12,2
2005-02-13,1,1
2005-02-20,1,1
2005-03-27,1,1
2005-07-03,1,1
2005-08-28,1,1
2005-09-04,4,2
2005-09-11,1,1
2005-09-25,2,1
2005-10-16,2,2
2005-10-23,3,2
2005-10-30,3,2
2005-12-11,2,2
2006-01-29,2,1
2006-03-05,5,2
2006-03-12,1,1
2006-03-26,4,2
2006-04-02,1,1
2006-04-30,2,1
2006-05-21,2,1
2006-07-09,1,1
2006-07-16,1,1
2006-07-23,2,2
2006-09-03,5,1
2006-09-24,1,1
2006-10-15,1,1
2006-11-05,4,2
2006-11-12,1,1
2006-11-19,5,2
2006-12-24,1,1
2006-12-31,1,1
2007-01-07,3,1
2007-01-14,4,3
2007-01-21,3,2
2007-01-28,7,5
2007-02-04,13,5
2007-02-11,8,3
2007-02-25,4,4
2007-03-04,2,2
2007-03-11,5,3
2007-03-18,7,5
2007-03-25,1,1
2007-04-01,4,3
2007-04-08,4,2
2007-04-29,5,3
2007-05-06,6,2
2007-05-13,3,2
2007-05-20,3,2
2007-05-27,1,1
2007-06-03,7,3
2007-06-10,16,7
2007-06-17,1,1
2007-06-24,2,2
2007-07-01,2,2
2007-07-08,1,1
2007-07-15,2,2
2007-07-22,1,1
2007-08-05,4,3
2007-08-12,2,2
2007-08-19,3,3
2007-08-26,2,1
2007-09-09,3,3
2007-09-23,3,1
2007-09-30,2,1
2007-10-07,1,1
2007-10-14,12,3
2007-10-21,2,2
2007-10-28,2,2
2007-11-04,2,2
2007-11-11,6,1
2007-11-18,5,3
2007-12-02,2,2
2007-12-09,2,2
2007-12-16,7,6
2007-12-30,4,3
2008-01-20,2,2
2008-02-03,4,1
2008-02-10,3,3
2008-02-17,1,1
2008-02-24,2,1
2008-03-02,2,2
2008-03-09,1,1
2008-03-16,1,1
2008-03-23,4,2
2008-04-06,3,2
2008-04-13,1,1
2008-04-20,2,2
2008-04-27,1,1
2008-05-04,2,1
2008-05-11,1,1
2008-05-18,2,2
2008-05-25,1,1
2008-06-01,3,3
2008-06-08,2,2
2008-06-15,2,2
2008-06-22,3,2
2008-07-06,1,1
2008-07-13,3,2
2008-07-20,1,1
2008-08-10,3,2
2008-08-17,1,1
2008-08-31,1,1
2008-09-07,1,1
2008-09-14,5,3
2008-09-28,2,2
2008-10-12,3,1
2008-10-26,1,1
2008-11-02,3,3
2008-11-16,1,1
2008-12-14,3,2
2008-12-21,1,1
2008-12-28,2,1
2009-01-18,2,2
2009-01-25,3,2
2009-02-15,2,2
2009-02-22,4,2
2009-03-22,1,1
2009-04-12,1,1
2009-04-19,3,1
2009-05-10,1,1
2009-05-17,2,2
2009-05-31,1,1
2009-06-07,3,1
2009-06-28,2,1
2009-07-05,3,1
2009-07-19,1,1
2009-09-06,2,2
2009-09-13,7,5
2009-09-20,1,1
2009-10-11,4,2
2009-10-18,4,4
2009-10-25,1,1
2009-11-01,6,2
2009-11-08,4,3
2009-11-22,2,2
2009-11-29,2,2
2009-12-06,6,4
2009-12-13,1,1
2009-12-20,4,3
2009-12-27,1,1
2010-01-03,4,3
2010-01-17,2,1
2010-01-31,2,2
2010-02-07,1,1
2010-02-14,1,1
2010-02-21,1,1
2010-02-28,1,1
2010-03-07,15,1
2010-03-14,2,1
2010-03-21,1,1
2010-03-28,4,2
2010-04-04,4,2
2010-04-18,1,1
2010-05-09,1,1
2010-05-16,2,2
2010-06-13,2,1
2010-06-27,3,3
2010-07-04,1,1
2010-07-11,1,1
2010-07-25,2,2
2010-08-15,1,1
2010-09-12,1,1
2010-09-26,1,1
2010-10-10,1,1
2010-11-14,17,3
2010-12-05,1,1
2010-12-12,5,2
2010-12-26,1,1
2011-01-09,4,4
2011-01-16,1,1
2011-01-23,1,1
2011-01-30,2,2
2011-02-13,1,1
2011-02-20,2,1
2011-03-06,1,1
2011-03-13,1,1
2011-03-20,2,2
2011-03-27,4,2
2011-04-03,1,1
2011-04-17,1,1
2011-05-01,2,1
2011-05-08,1,1
2011-05-15,2,1
2011-05-22,8,2
2011-05-29,1,1
2011-06-12,1,1
2011-08-07,1,1
2011-08-21,1,1
2011-08-28,1,1
2011-09-11,9,4
2011-10-16,4,4
2011-10-23,2,2
2011-11-06,3,2
2011-11-27,9,2
2011-12-04,2,1
2011-12-11,1,1
2011-12-18,4,3
2011-12-25,2,1
2012-01-08,2,2
2012-01-22,2,1
2012-02-12,1,1
2012-02-19,1,1
2012-03-11,1,1
2012-03-18,3,2
2012-03-25,1,1
2012-04-01,1,1
2012-04-08,6,3
2012-04-22,4,1
2012-04-29,2,2
2012-05-20,2,1
2012-06-03,1,1
2012-06-17,5,1
2012-07-22,2,2
2012-08-19,1,1
2012-09-02,3,1
2012-09-09,3,2
2012-09-16,1,1
2012-09-23,2,1
2012-10-21,1,1
2012-10-28,1,1
2012-11-04,3,2
2012-11-18,2,1
2012-12-02,5,2
2012-12-09,1,1
2012-12-16,1,1
2013-01-27,1,1
2013-03-10,1,1
2013-04-07,1,1
2013-04-21,20,4
2013-04-28,1,1
2013-05-19,2,2
2013-06-02,3,1
2013-06-09,1,1
2013-07-07,11,1
2013-07-21,1,1
2013-08-11,1,1
2013-09-22,18,5
2013-09-29,21,2
2013-10-06,1,1
2013-10-13,1,1
2013-11-03,2,1
2013-11-17,2,2
2013-11-24,2,1
2014-01-12,2,2
2014-01-19,2,2
2014-02-02,1,1
2014-02-16,2,2
2014-03-16,3,1
2014-03-30,5,3
2014-04-06,16,4
2014-04-20,3,1
2014-06-01,1,1
2014-06-08,2,1
2014-06-29,3,1
2014-07-06,2,2
2014-07-27,2,2
2014-08-10,1,1
2014-08-24,1,1
2014-09-21,3,3
2014-10-05,1,1
2014-10-19,2,1
2014-10-26,4,2
2014-11-09,10,1
2014-11-16,4,3
2014-11-30,3,2
2014-12-07,6,3
2014-12-14,1,1
2014-12-21,5,2
2015-01-11,1,1
2015-01-18,1,1
2015-02-08,2,2
2015-02-15,1,1
2015-03-01,3,3
2015-03-22,1,1
2015-03-29,2,2
2015-04-05,1,1
2015-04-12,2,2
2015-05-03,1,1
2015-05-17,3,1
2015-05-24,1,1
2015-05-31,1,1
2015-06-14,4,2
2015-06-28,2,2
2015-07-05,16,4
2015-07-26,7,2
2015-08-02,9,3
2015-08-09,2,2
2015-08-16,1,1
2015-08-23,1,1
2015-08-30,2,2
2015-09-20,1,1
2015-09-27,6,2
2015-10-04,3,3
2015-10-18,3,2
2015-10-25,1,1
2015-11-15,1,1
2015-11-29,15,5
2015-12-06,1,1
2015-12-13,12,4
2015-12-20,5,2
2015-12-27,1,1
2016-01-03,1,1
2016-01-17,4,4
2016-02-07,1,1
2016-03-20,1,1
2016-03-27,4,2
2016-04-17,1,1
2016-04-24,3,1
2016-05-08,2,1
2016-05-29,4,3
2016-06-05,1,1
2016-06-12,2,2
2016-07-03,1,1
2016-07-10,1,1
2016-07-17,1,1
2016-07-24,3,1
2016-08-07,1,1
2016-08-28,4,3
2016-09-04,2,2
2016-09-11,3,2
2016-09-18,1,1
2016-10-09,1,1
2016-10-16,5,3
2016-10-23,1,1
2016-10-30,3,1
2016-11-06,13,7
2016-11-13,3,3
2016-11-20,7,1
2016-11-27,1,1
2016-12-18,3,2
2016-12-25,3,3
2017-01-08,1,1
2017-01-15,3,3
2017-01-22,3,2
2017-01-29,3,3
2017-02-12,2,1
2017-03-05,2,2
2017-03-12,1,1
2017-03-19,9,1
2017-03-26,1,1
2017-04-02,3,1
2017-04-09,2,1
2017-04-30,1,1
2017-05-07,2,2
2017-05-14,3,2
2017-05-28,8,6
2017-06-04,14,9
2017-06-11,13,6
2017-06-18,4,1
2017-07-02,1,1
2017-07-09,2,1
2017-07-16,1,1
2017-08-06,1,1
2017-08-13,9,3
2017-08-20,1,1
2017-08-27,2,2
2017-09-03,3,3
2017-09-17,1,1
2017-09-24,1,1
2017-10-08,6,4
2017-10-15,6,4
2017-10-22,1,1
2017-10-29,3,3
2017-11-12,1,1
2017-11-19,6,4
2017-11-26,4,3
2017-12-10,3,3
2017-12-17,15,4
2017-12-24,4,2
