date,hit_count,text_count
2004-04-04,1,1
2005-02-20,1,1
2006-11-05,1,1
2006-11-12,1,1
2006-12-17,1,1
2007-01-28,1,1
2007-02-04,2,2
2007-02-11,1,1
2007-03-11,2,2
2007-03-25,1,1
2007-04-01,1,1
2007-04-08,1,1
2007-05-13,1,1
2007-06-17,1,1
2007-08-19,1,1
2007-09-23,1,1
2007-10-21,1,1
2007-12-02,1,1
2007-12-09,1,1
2008-02-17,1,1
2008-03-02,1,1
2008-03-23,1,1
2008-05-04,1,1
2008-06-08,1,1
2008-06-15,1,1
2008-07-13,1,1
2008-09-07,1,1
2008-09-14,2,2
2009-09-13,1,1
2009-10-25,1,1
2009-12-13,1,1
2011-01-09,1,1
2011-01-16,1,1
2011-04-03,1,1
2011-05-01,1,1
2011-05-22,1,1
2011-05-29,1,1
2011-07-10,1,1
2011-09-11,2,2
2011-10-16,1,1
2012-07-22,1,1
2012-09-09,2,2
2013-04-21,1,1
2013-11-03,1,1
2014-01-19,1,1
2014-04-06,1,1
2014-10-19,1,1
2014-12-21,1,1
2015-03-22,1,1
2015-04-12,1,1
2015-05-17,1,1
2015-06-21,1,1
2015-08-02,1,1
2015-08-09,1,1
2015-11-29,2,2
2015-12-20,2,2
2016-04-17,1,1
2016-08-28,1,1
2016-10-16,1,1
2016-11-20,1,1
2017-03-05,1,1
2017-03-19,1,1
2017-05-28,1,1
2017-06-04,2,2
2017-11-19,1,1
2018-03-11,1,1
2018-08-12,1,1
2018-08-26,1,1
2018-09-30,1,1
2019-01-13,1,1
2019-02-24,1,1
2019-03-03,1,1
2019-05-12,1,1
2019-06-02,1,1
2019-06-09,1,1
2019-06-16,1,1
2019-07-07,1,1
2019-08-11,1,1
2019-10-06,1,1
2019-10-20,1,1
2019-10-27,1,1
2019-11-03,1,1
2020-01-26,1,1
2020-02-02,1,1
2020-02-16,1,1
2020-04-19,1,1
2020-05-17,1,1
2020-06-07,1,1
2020-06-14,1,1
2020-08-02,1,1
2020-08-30,1,1
2020-10-04,1,1
2020-10-11,1,1
2021-01-31,1,1
2021-02-21,1,1
2021-03-07,1,1
2021-03-14,1,1
2021-05-23,1,1
2021-08-08,1,1
2021-10-31,1,1
2021-11-14,2,2
2021-12-05,1,1
2021-12-26,1,1
2022-01-09,1,1
2022-02-13,2,2
2022-02-20,1,1
2022-03-06,1,1
2022-03-13,1,1
2022-03-20,2,2
2022-04-03,1,1
2022-07-17,1,1
2022-09-11,1,1
2022-10-02,1,1
2022-11-06,1,1
2022-11-20,2,2
2022-12-18,1,1
