date,hit_count,text_count
2002-08-29,1,1
2004-01-24,1,1
2004-05-11,1,1
2004-05-28,1,1
2007-01-26,1,1
2007-03-02,1,1
2007-03-10,1,1
2007-07-07,1,1
2007-07-21,1,1
2007-08-17,1,1
2007-12-21,1,1
2008-06-13,1,1
2008-06-21,2,2
2008-07-03,1,1
2008-07-11,1,1
2008-12-12,1,1
2009-01-17,1,1
2009-02-28,1,1
2009-07-17,1,1
2009-07-18,1,1
2009-09-24,1,1
2009-12-05,1,1
2009-12-08,1,1
2009-12-29,1,1
2010-05-26,1,1
2010-06-07,1,1
2010-07-31,1,1
2010-10-04,1,1
2010-12-08,1,1
2011-09-19,1,1
2012-02-15,1,1
2012-06-27,1,1
2012-09-08,1,1
2012-12-29,1,1
2013-11-12,1,1
2014-01-25,1,1
2015-02-28,1,1
2015-08-24,1,1
2016-06-01,1,1
2017-09-01,1,1
2017-10-10,1,1
2018-05-05,1,1
2018-10-03,1,1
2018-11-26,1,1
2018-11-29,1,1
2018-12-19,1,1
2019-01-19,1,1
2019-02-05,1,1
2019-02-20,1,1
2019-02-22,1,1
2019-03-09,1,1
2019-03-13,2,2
2019-03-15,1,1
2019-03-16,1,1
2019-03-21,1,1
2019-04-06,1,1
2019-04-09,1,1
2019-04-15,1,1
2019-04-17,1,1
2019-04-18,1,1
2019-05-03,1,1
2019-05-08,1,1
2019-05-14,1,1
2019-05-17,1,1
2019-05-22,2,2
2019-05-23,1,1
2019-06-04,1,1
2019-06-15,1,1
2019-06-17,1,1
2019-06-25,1,1
2019-07-04,1,1
2019-07-11,1,1
2019-07-19,1,1
2019-08-02,1,1
2019-08-06,1,1
2019-08-10,1,1
2019-08-13,1,1
2019-08-27,1,1
2019-08-29,2,2
2019-08-30,1,1
2019-08-31,1,1
2019-09-03,1,1
2019-09-06,1,1
2019-09-19,1,1
2019-09-21,2,2
2019-09-25,1,1
2019-09-26,1,1
2019-09-30,1,1
2019-10-04,3,3
2019-10-08,2,2
2019-10-16,1,1
2019-10-19,1,1
2019-10-30,1,1
2019-11-04,1,1
2019-11-11,1,1
2019-11-20,1,1
2019-11-22,1,1
2019-12-02,1,1
2019-12-07,1,1
2019-12-10,1,1
2019-12-12,1,1
2019-12-20,1,1
2019-12-31,1,1
2020-01-06,1,1
2020-01-13,1,1
2020-01-15,2,2
2020-01-17,1,1
2020-01-22,1,1
2020-01-23,1,1
2020-01-24,1,1
2020-02-05,1,1
2020-02-06,1,1
2020-02-07,1,1
2020-02-10,1,1
2020-02-11,1,1
2020-02-14,1,1
2020-02-15,1,1
2020-02-19,1,1
2020-02-21,1,1
2020-02-24,1,1
2020-03-06,1,1
2020-03-26,1,1
2020-04-03,1,1
2020-04-16,1,1
2020-04-22,1,1
2020-04-24,1,1
2020-04-27,1,1
2020-05-02,1,1
2020-05-06,1,1
2020-05-15,1,1
2020-06-12,1,1
2020-06-22,1,1
2020-07-08,1,1
2020-07-14,1,1
2020-07-24,1,1
2020-07-28,1,1
2020-08-08,1,1
2020-08-31,1,1
2020-09-25,1,1
2020-10-06,1,1
2020-10-10,2,2
2020-10-16,2,2
2020-11-19,1,1
2021-01-16,1,1
2021-01-29,1,1
2021-02-17,1,1
2021-02-20,1,1
2021-03-03,1,1
2021-03-04,2,2
2021-03-10,1,1
2021-03-11,1,1
2021-03-15,1,1
2021-03-16,1,1
2021-03-22,2,2
2021-03-24,1,1
2021-03-25,1,1
2021-03-31,1,1
2021-04-01,1,1
2021-04-08,1,1
2021-04-16,1,1
2021-04-19,1,1
2021-04-20,1,1
2021-04-22,2,2
2021-04-23,2,2
2021-05-10,1,1
2021-05-14,1,1
2021-05-15,1,1
2021-05-17,1,1
2021-05-21,1,1
2021-05-22,3,3
2021-05-25,1,1
2021-05-28,1,1
2021-05-31,1,1
2021-06-05,1,1
2021-06-09,1,1
2021-06-15,1,1
2021-06-16,1,1
2021-06-21,1,1
2021-06-24,1,1
2021-06-29,1,1
2021-07-05,1,1
2021-07-09,1,1
2021-07-16,2,2
2021-07-20,1,1
2021-07-24,1,1
2021-08-03,3,3
2021-08-06,1,1
2021-08-07,1,1
2021-08-18,1,1
2021-08-19,1,1
2021-09-01,2,2
2021-09-04,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-14,1,1
2021-09-15,1,1
2021-09-16,1,1
2021-09-25,1,1
2021-09-27,1,1
2021-10-01,1,1
2021-10-05,3,3
2021-10-14,2,2
2021-10-15,1,1
2021-10-16,1,1
2021-10-19,1,1
2021-10-21,1,1
2021-10-26,1,1
2021-10-27,1,1
2021-10-28,1,1
2021-11-03,1,1
2021-11-18,1,1
2021-11-26,1,1
2021-11-29,1,1
2021-12-10,1,1
2021-12-20,1,1
2022-01-07,1,1
2022-01-10,1,1
2022-01-20,1,1
2022-01-24,1,1
2022-01-26,1,1
