date,hit_count,text_count
2001-06-25,1,1
2001-07-23,1,1
2004-02-23,1,1
2004-06-28,1,1
2007-01-29,1,1
2007-02-05,1,1
2007-03-12,1,1
2007-04-30,1,1
2008-01-28,1,1
2008-04-21,1,1
2008-10-20,1,1
2008-11-03,1,1
2008-12-15,1,1
2008-12-22,1,1
2009-11-16,1,1
2009-11-23,2,2
2009-11-30,1,1
2010-04-02,1,1
2010-05-03,1,1
2010-05-17,2,2
2010-09-20,1,1
2010-11-15,1,1
2011-05-16,1,1
2011-10-03,1,1
2011-11-14,2,2
2012-03-19,1,1
2012-10-08,1,1
2013-03-04,1,1
2013-03-11,1,1
2014-11-17,1,1
2015-12-21,1,1
2016-02-08,1,1
2016-09-12,1,1
2016-10-10,1,1
2017-02-27,1,1
2017-04-14,1,1
2017-06-02,2,2
2017-07-24,1,1
2017-08-14,2,2
2017-11-20,1,1
2017-12-22,2,2
2018-08-06,1,1
2018-09-10,1,1
2018-12-10,1,1
2018-12-21,1,1
2019-01-07,1,1
2019-02-24,2,2
2019-03-03,1,1
2019-03-17,2,2
2019-03-24,1,1
2019-04-19,1,1
2019-04-28,1,1
2019-05-05,3,3
2019-05-12,2,2
2019-06-23,1,1
2019-06-30,2,2
2019-07-07,2,2
2019-07-14,1,1
2019-08-11,1,1
2019-09-22,1,1
2019-09-30,1,1
2019-10-13,1,1
2019-11-17,1,1
2019-11-24,2,2
2019-12-08,1,1
2019-12-15,1,1
2019-12-22,2,2
2020-01-04,2,2
2020-01-12,1,1
2020-01-26,1,1
2020-02-09,1,1
2020-03-01,1,1
2020-03-08,1,1
2020-05-29,1,1
2020-06-21,1,1
2020-08-02,1,1
2020-08-16,1,1
2020-10-10,1,1
2020-11-01,1,1
2020-11-29,1,1
2020-12-20,2,2
2021-02-28,1,1
2021-04-25,1,1
2021-05-02,2,2
2021-05-09,1,1
2021-05-16,1,1
2021-05-21,1,1
2021-05-30,1,1
2021-06-13,1,1
2021-06-20,1,1
2021-07-04,1,1
2021-08-01,3,3
2021-08-08,2,2
2021-08-15,1,1
2021-09-12,3,3
2021-09-26,2,2
2021-10-03,1,1
2021-10-10,1,1
2021-10-24,1,1
2021-10-29,3,3
2021-11-07,7,7
2021-11-14,1,1
2021-11-21,2,2
2021-11-28,1,1
2021-12-05,2,2
2021-12-19,2,2
2022-01-09,1,1
2022-01-30,1,1
2022-02-06,1,1
2022-02-13,4,4
2022-02-20,1,1
2022-05-29,1,1
2022-06-03,1,1
2022-06-12,1,1
2022-06-19,2,2
2022-06-26,1,1
2022-07-03,1,1
2022-07-10,1,1
2022-08-28,1,1
2022-09-04,1,1
2022-09-11,1,1
2022-09-25,3,3
2022-10-02,1,1
2022-10-09,1,1
2022-10-30,1,1
2022-11-06,2,2
2022-11-13,1,1
2022-12-04,4,4
2022-12-18,1,1
