date,hit_count,text_count
2000-02-07,1,1
2000-06-19,1,1
2000-09-11,1,1
2000-10-23,1,1
2000-11-27,1,1
2001-02-19,1,1
2001-03-19,1,1
2001-04-09,1,1
2001-05-28,1,1
2001-07-23,2,2
2001-07-30,1,1
2001-09-24,1,1
2001-10-08,1,1
2002-01-28,1,1
2002-08-19,1,1
2002-08-26,2,2
2002-12-20,1,1
2003-01-27,1,1
2003-02-10,1,1
2003-10-20,1,1
2004-01-19,1,1
2004-05-28,1,1
2004-06-28,1,1
2005-01-03,1,1
2005-02-07,1,1
2005-03-25,1,1
2005-09-12,1,1
2005-09-19,1,1
2006-01-16,2,2
2006-01-23,1,1
2006-05-15,1,1
2006-05-29,1,1
2006-06-19,1,1
2006-07-17,1,1
2006-08-21,2,2
2006-09-18,1,1
2006-11-06,1,1
2006-12-18,1,1
2007-01-29,2,2
2007-03-12,1,1
2007-03-19,1,1
2007-05-07,1,1
2007-05-21,2,2
2007-05-25,1,1
2007-06-04,3,3
2007-06-11,1,1
2007-07-02,2,2
2007-07-09,3,3
2007-07-16,1,1
2007-07-23,3,3
2007-07-30,1,1
2007-08-13,2,2
2007-08-20,1,1
2007-09-03,1,1
2007-09-10,1,1
2007-09-17,1,1
2007-09-24,1,1
2007-10-08,1,1
2007-10-15,1,1
2007-10-22,2,2
2007-10-29,1,1
2007-11-19,1,1
2007-12-10,1,1
2007-12-24,1,1
2008-01-28,1,1
2008-02-04,2,2
2008-02-11,1,1
2008-02-25,1,1
2008-03-10,2,2
2008-03-21,1,1
2008-03-31,1,1
2008-04-07,1,1
2008-04-21,1,1
2008-04-28,2,2
2008-06-16,1,1
2008-07-07,2,2
2008-08-18,1,1
2008-09-08,1,1
2008-09-29,1,1
2008-10-06,1,1
2008-10-20,1,1
2008-10-27,1,1
2008-12-15,2,2
2008-12-22,3,3
2009-01-05,1,1
2009-01-19,1,1
2009-01-26,2,2
2009-03-23,1,1
2009-04-06,2,2
2009-05-04,2,2
2009-05-11,1,1
2009-05-18,2,2
2009-08-10,1,1
2009-09-14,1,1
2009-09-21,2,2
2009-09-28,1,1
2009-10-23,1,1
2009-11-02,2,2
2009-11-09,1,1
2009-11-16,2,2
2009-12-07,1,1
2009-12-14,2,2
2009-12-21,4,4
2010-02-01,1,1
2010-02-15,1,1
2010-05-17,2,2
2010-07-19,1,1
2010-08-02,1,1
2010-08-23,1,1
2010-09-27,1,1
2010-10-11,1,1
2010-11-15,2,2
2010-11-22,1,1
2010-12-20,2,2
2011-03-21,1,1
2011-03-28,1,1
2011-05-16,1,1
2011-06-27,1,1
2011-07-25,1,1
2011-08-22,1,1
2011-09-26,1,1
2011-10-17,1,1
2011-11-07,1,1
2011-11-14,1,1
2011-12-12,1,1
2012-01-02,1,1
2012-05-07,1,1
2012-05-21,1,1
2012-07-09,1,1
2012-07-16,1,1
2012-07-23,1,1
2012-09-10,1,1
2012-09-17,1,1
2012-10-08,1,1
2012-11-26,1,1
2012-12-03,1,1
2012-12-21,1,1
2013-01-28,1,1
2013-02-11,2,2
2013-03-11,1,1
2013-04-29,2,2
2013-05-06,1,1
2013-06-03,1,1
2013-06-10,2,2
2013-06-24,1,1
2013-08-19,1,1
2013-08-26,1,1
2013-09-02,1,1
2013-10-07,1,1
2013-10-21,1,1
2013-12-09,1,1
2014-01-03,1,1
2014-01-13,1,1
2014-01-20,1,1
2014-03-03,1,1
2014-03-17,1,1
2014-06-16,1,1
2014-07-14,1,1
2014-10-13,1,1
2014-11-24,1,1
2015-02-16,1,1
2015-02-23,1,1
2015-04-03,1,1
2015-05-04,1,1
2015-06-15,1,1
2015-09-07,1,1
2015-10-19,1,1
2015-11-16,1,1
2015-11-23,1,1
2015-11-30,1,1
2015-12-21,2,2
2016-01-11,1,1
2016-02-08,1,1
2016-02-22,1,1
2016-03-25,1,1
2016-04-18,2,2
2016-05-09,1,1
2016-07-18,1,1
2016-08-29,1,1
2016-10-10,1,1
2016-10-24,2,2
2016-10-31,1,1
2016-11-14,3,3
2016-11-21,4,4
2016-12-19,1,1
2017-01-23,1,1
2017-02-27,1,1
2017-04-10,1,1
2017-04-14,2,2
2017-04-24,1,1
2017-06-02,2,2
2017-07-17,1,1
2017-07-24,2,2
2017-09-04,1,1
2017-10-02,2,2
2017-10-30,1,1
2017-11-06,1,1
2017-12-04,1,1
2017-12-22,2,2
2018-01-08,1,1
2018-04-23,1,1
2018-04-30,2,2
2018-05-14,1,1
2018-06-11,2,2
2018-06-18,1,1
2018-08-20,1,1
2018-10-29,2,2
2018-11-26,1,1
2018-12-10,1,1
2018-12-15,2,2
2018-12-17,2,2
2018-12-21,3,3
2019-01-13,1,1
2019-02-10,3,3
2019-03-17,5,5
2019-03-24,3,3
2019-03-31,2,2
2019-04-07,2,2
2019-04-28,1,1
2019-05-05,1,1
2019-05-12,1,1
2019-05-19,1,1
2019-05-26,1,1
2019-06-02,3,3
2019-06-07,1,1
2019-06-16,1,1
2019-06-23,4,4
2019-06-30,2,2
2019-07-07,3,3
2019-07-14,5,5
2019-07-28,1,1
2019-08-04,2,2
2019-08-11,1,1
2019-08-25,2,2
2019-09-01,1,1
