date,hit_count,text_count
2006-11-12,1,1
2006-12-24,1,1
2007-01-21,1,1
2007-02-04,1,1
2007-03-04,1,1
2007-03-11,1,1
2007-03-18,1,1
2007-05-06,1,1
2007-07-08,1,1
2007-11-25,2,2
2008-08-10,1,1
2008-11-02,1,1
2009-05-17,1,1
2009-09-13,1,1
2009-11-29,1,1
2009-12-06,1,1
2010-06-06,1,1
2010-11-21,1,1
2014-12-14,1,1
2015-12-13,1,1
2017-07-16,2,2
2017-10-15,1,1
2019-01-27,2,2
2019-02-03,1,1
2019-02-10,1,1
2019-03-10,1,1
2019-04-14,1,1
2019-05-05,1,1
2019-05-12,1,1
2019-05-19,1,1
2019-05-26,2,2
2019-06-02,1,1
2019-07-14,1,1
2019-08-11,1,1
2019-09-01,1,1
2019-09-08,1,1
2019-10-13,4,4
2019-10-27,1,1
2019-11-03,1,1
2019-11-10,2,2
2019-11-17,1,1
2019-12-01,1,1
2019-12-15,2,2
2019-12-22,1,1
2020-02-09,1,1
2020-02-23,1,1
2020-03-08,1,1
2020-03-15,1,1
2020-04-26,1,1
2020-05-03,1,1
2020-06-14,1,1
2020-08-02,1,1
2020-09-27,1,1
2020-11-22,1,1
2020-12-27,1,1
2021-01-03,1,1
2021-01-10,2,2
2021-01-24,1,1
2021-03-07,1,1
2021-05-16,1,1
2021-06-06,1,1
2021-06-20,2,2
2021-07-11,1,1
2021-09-26,2,2
2021-11-07,1,1
2021-11-14,2,2
2021-11-21,1,1
2021-12-05,1,1
2022-01-09,1,1
2022-01-30,1,1
2022-05-01,1,1
2022-05-15,1,1
2022-07-24,2,2
2022-08-28,1,1
2022-10-16,1,1
2022-10-23,1,1
2022-11-13,1,1
2022-11-20,1,1
