date,hit_count,text_count
2007-01-14,1,1
2007-02-25,1,1
2007-03-11,1,1
2007-06-03,2,2
2007-12-02,1,1
2008-08-24,1,1
2009-11-22,1,1
2009-11-29,1,1
2009-12-13,1,1
2011-05-22,1,1
2012-06-10,1,1
2012-10-14,1,1
2013-06-16,1,1
2014-02-16,1,1
2015-11-29,1,1
2016-12-04,1,1
2018-03-11,1,1
2018-12-16,1,1
2019-03-10,1,1
2019-06-02,1,1
2019-08-11,1,1
2019-09-01,1,1
2019-09-15,2,2
2019-10-06,1,1
2019-11-03,1,1
2019-11-10,1,1
2019-11-24,2,2
2019-12-01,2,2
2019-12-08,1,1
2019-12-15,2,2
2020-01-12,2,2
2020-01-19,2,2
2020-02-02,1,1
2020-02-23,1,1
2020-03-08,2,2
2020-04-12,1,1
2020-04-26,1,1
2020-05-24,1,1
2020-06-14,1,1
2020-06-21,1,1
2020-08-02,1,1
2020-08-30,1,1
2020-09-20,2,2
2020-09-27,2,2
2020-10-11,1,1
2020-11-15,1,1
2021-01-03,2,2
2021-01-10,2,2
2021-02-14,2,2
2021-02-21,1,1
2021-02-28,1,1
2021-03-07,1,1
2021-03-14,1,1
2021-04-11,1,1
2021-05-09,1,1
2021-05-16,2,2
2021-06-06,1,1
2021-06-20,3,3
2021-06-27,1,1
2021-07-25,4,4
2021-08-15,1,1
2021-08-29,3,3
2021-09-12,1,1
2021-09-26,2,2
2021-10-03,1,1
2021-10-17,1,1
2021-10-31,1,1
2021-11-07,4,4
2021-11-14,1,1
2021-11-28,3,3
2021-12-19,1,1
2022-01-23,1,1
2022-02-20,1,1
2022-03-20,1,1
2022-05-15,2,2
2022-06-12,1,1
2022-07-10,1,1
2022-07-17,1,1
2022-07-24,1,1
2022-08-21,1,1
2022-09-04,1,1
2022-09-25,2,2
2022-10-16,1,1
2022-11-06,1,1
2022-11-20,2,2
2022-12-11,1,1
2022-12-25,1,1
