date,hit_count,text_count
2005-01-30,1,1
2005-04-17,2,1
2005-05-08,1,1
2005-05-15,2,1
2005-06-19,1,1
2005-08-28,5,1
2005-09-04,1,1
2005-09-11,1,1
2006-01-22,3,2
2006-03-12,1,1
2006-08-06,1,1
2006-09-10,2,1
2006-10-01,1,1
2006-11-12,1,1
2006-12-17,2,1
2006-12-24,8,1
2007-01-07,1,1
2007-01-14,6,4
2007-01-21,1,1
2007-02-04,16,4
2007-02-11,7,2
2007-02-18,7,2
2007-02-25,4,2
2007-03-04,9,2
2007-03-11,4,1
2007-03-18,1,1
2007-03-25,2,2
2007-04-01,3,2
2007-04-08,2,2
2007-04-15,2,2
2007-04-29,3,2
2007-05-06,1,1
2007-06-03,3,3
2007-06-10,2,2
2007-06-24,1,1
2007-07-01,2,2
2007-07-08,3,1
2007-07-29,2,2
2007-08-05,4,2
2007-08-12,5,3
2007-08-19,3,3
2007-09-02,2,2
2007-09-23,1,1
2007-10-14,2,1
2007-11-11,2,2
2007-11-18,7,4
2007-11-25,10,2
2007-12-02,14,6
2007-12-09,3,2
2007-12-16,1,1
2007-12-23,1,1
2008-01-20,1,1
2008-01-27,1,1
2008-03-02,2,1
2008-03-09,1,1
2008-03-16,2,1
2008-03-23,1,1
2008-06-15,1,1
2008-06-22,1,1
2008-08-17,1,1
2008-08-24,2,1
2008-09-07,1,1
2008-09-14,1,1
2008-09-28,1,1
2008-10-12,1,1
2008-11-02,1,1
2008-11-09,1,1
2008-12-28,1,1
2009-02-15,1,1
2009-05-17,1,1
2009-08-16,1,1
2009-09-06,1,1
2009-09-13,2,2
2009-11-01,1,1
2009-11-22,2,2
2009-12-06,4,1
2009-12-13,1,1
2009-12-20,1,1
2009-12-27,1,1
2010-02-07,1,1
2010-04-18,1,1
2010-06-06,1,1
2010-06-20,1,1
2010-07-18,1,1
2010-08-01,2,1
2010-08-08,1,1
2010-09-05,1,1
2010-10-17,2,1
2010-11-21,4,2
2010-12-05,2,2
2011-01-23,2,1
2011-03-20,2,2
2011-03-27,1,1
2011-05-22,1,1
2011-06-05,1,1
2011-06-12,1,1
2011-07-03,3,2
2011-07-24,1,1
2011-08-28,1,1
2011-09-11,1,1
2011-10-16,1,1
2011-12-04,7,2
2012-01-08,1,1
2012-01-22,1,1
2012-02-26,1,1
2012-04-08,1,1
2012-05-06,1,1
2012-06-10,4,1
2012-10-07,1,1
2012-10-14,1,1
2013-01-13,1,1
2013-03-31,2,1
2013-04-07,7,1
2013-04-21,1,1
2013-04-28,1,1
2013-06-16,1,1
2013-11-24,1,1
2013-12-22,1,1
2014-04-13,1,1
2014-04-27,1,1
2014-05-25,1,1
2014-06-01,1,1
2014-07-06,1,1
