date,hit_count,text_count
1992-01-04,2,2
1992-02-17,1,1
1992-02-20,1,1
1992-02-29,1,1
1992-03-02,2,1
1992-03-10,1,1
1992-03-11,1,1
1992-03-14,1,1
1992-04-14,3,1
1992-04-23,2,1
1992-05-08,1,1
1992-05-09,2,2
1992-05-14,1,1
1992-05-15,1,1
1992-05-16,1,1
1992-05-19,3,1
1992-05-21,2,2
1992-05-29,3,2
1992-06-09,1,1
1992-06-10,3,1
1992-06-12,2,2
1992-06-13,1,1
1992-06-15,1,1
1992-07-01,2,1
1992-07-04,1,1
1992-08-05,1,1
1992-08-14,1,1
1992-08-21,1,1
1992-08-22,1,1
1992-08-28,2,1
1992-09-01,1,1
1992-09-09,1,1
1992-09-17,1,1
1992-10-20,3,1
1992-11-07,1,1
1992-11-25,1,1
1992-12-08,2,2
1992-12-09,1,1
1992-12-29,1,1
1992-12-30,4,1
1993-01-12,1,1
1993-01-13,1,1
1993-01-23,1,1
1993-01-28,4,1
1993-02-08,1,1
1993-02-13,1,1
1993-02-17,1,1
1993-02-22,1,1
1993-03-04,1,1
1993-03-30,1,1
1993-04-08,3,1
1993-04-15,1,1
1993-04-17,1,1
1993-04-21,6,1
1993-04-26,2,1
1993-05-15,4,1
1993-06-01,1,1
1993-07-01,1,1
1993-08-16,1,1
1993-08-18,1,1
1993-08-19,1,1
1993-09-03,1,1
1993-09-22,1,1
1993-10-21,1,1
1993-11-03,1,1
1993-11-06,2,1
1993-11-27,1,1
1993-12-11,1,1
1993-12-16,5,1
1994-01-19,1,1
1994-02-08,2,1
1994-02-16,1,1
1994-02-22,1,1
1994-03-18,1,1
1994-03-31,1,1
1994-04-05,1,1
1994-04-11,3,2
1994-06-04,1,1
1994-06-09,1,1
1994-06-11,1,1
1994-06-15,3,1
1994-07-05,1,1
1994-07-21,2,1
1994-07-28,1,1
1994-08-02,2,1
1994-08-03,1,1
1994-08-06,1,1
1994-08-08,2,1
1994-08-19,1,1
1994-08-25,1,1
1994-09-13,1,1
1994-09-16,4,2
1994-09-29,1,1
1994-09-30,2,1
1994-10-27,1,1
1994-11-04,1,1
1994-11-09,2,1
1994-11-23,1,1
1994-12-22,1,1
1994-12-29,2,2
1995-01-05,2,1
1995-01-10,5,1
1995-01-21,1,1
1995-01-24,2,2
1995-01-26,4,3
1995-02-06,2,1
1995-02-09,1,1
1995-02-11,1,1
1995-02-15,1,1
1995-02-21,7,3
1995-02-24,2,1
1995-03-01,1,1
1995-03-04,3,1
1995-03-07,1,1
1995-03-11,3,2
1995-03-13,4,2
1995-03-16,3,2
1995-03-17,3,2
1995-03-18,1,1
1995-03-22,4,2
1995-03-24,3,3
1995-03-25,2,1
1995-03-27,1,1
1995-03-28,7,3
1995-03-29,1,1
1995-03-30,6,3
1995-03-31,1,1
1995-04-01,2,1
1995-04-05,4,2
1995-04-06,4,2
1995-04-07,3,1
1995-04-08,3,2
1995-04-10,1,1
1995-04-13,1,1
1995-04-19,3,1
1995-04-22,2,1
1995-04-28,1,1
1995-04-29,1,1
1995-05-13,2,1
1995-05-18,1,1
1995-05-22,1,1
1995-05-23,1,1
1995-05-26,1,1
1995-06-08,1,1
1995-06-19,1,1
1995-06-21,2,1
1995-07-06,2,1
1995-07-20,1,1
1995-07-27,1,1
1995-08-17,2,1
1995-08-23,1,1
1995-08-28,1,1
1995-09-27,3,1
1995-10-11,2,1
1995-10-13,6,2
1995-10-14,2,1
1995-10-18,1,1
1995-10-21,1,1
1995-10-23,1,1
1995-10-26,1,1
1995-11-02,8,4
1995-11-07,2,1
1995-11-14,2,1
1995-11-21,1,1
1995-11-23,2,2
1995-11-29,1,1
1995-12-09,1,1
1995-12-14,1,1
1995-12-18,4,2
1996-01-22,1,1
1996-01-23,1,1
1996-02-12,1,1
1996-02-15,2,2
1996-03-05,1,1
1996-03-16,1,1
1996-03-28,3,1
1996-04-26,1,1
1996-05-13,1,1
1996-05-24,1,1
1996-07-06,1,1
1996-07-08,2,1
1996-07-09,1,1
1996-07-11,3,2
1996-07-18,2,1
1996-07-20,2,1
1996-07-24,1,1
1996-07-29,1,1
1996-08-01,1,1
1996-08-03,1,1
1996-08-13,1,1
1996-08-23,1,1
1996-09-10,4,1
1996-09-14,2,2
1996-09-19,2,1
1996-10-11,1,1
1996-10-12,1,1
1996-10-26,1,1
1996-10-31,1,1
1996-11-02,3,1
1996-11-06,1,1
1996-11-13,1,1
1996-11-19,1,1
1996-11-25,2,2
1996-11-28,1,1
1996-12-19,1,1
1997-01-04,1,1
1997-01-09,1,1
1997-01-10,2,2
1997-01-27,1,1
1997-02-12,1,1
1997-02-18,3,3
1997-02-27,1,1
1997-03-04,3,1
1997-03-08,1,1
1997-03-13,3,1
1997-03-19,1,1
1997-04-22,1,1
1997-05-21,1,1
1997-05-22,1,1
1997-05-27,1,1
1997-05-31,1,1
1997-06-12,2,1
1997-06-14,2,2
1997-06-19,1,1
1997-06-20,1,1
1997-06-21,1,1
1997-06-23,6,5
1997-06-24,1,1
1997-06-25,4,2
1997-06-26,4,3
1997-06-28,5,3
1997-07-08,1,1
1997-07-16,1,1
1997-07-25,2,2
1997-07-30,1,1
1997-08-02,2,2
1997-09-09,2,2
1997-09-16,3,3
1997-09-19,1,1
1997-09-26,1,1
1997-09-30,1,1
1997-10-02,2,1
1997-10-07,1,1
1997-10-08,3,2
1997-10-13,1,1
1997-10-30,4,1
1997-11-03,2,2
1997-11-07,3,1
1997-11-13,2,1
1997-11-19,2,1
1997-11-20,1,1
1997-11-29,3,3
1997-12-01,3,2
1997-12-02,2,2
1997-12-03,4,3
1997-12-05,2,2
1997-12-06,2,2
1997-12-08,1,1
1997-12-09,1,1
1997-12-10,1,1
1997-12-11,4,2
1997-12-12,3,2
1997-12-18,1,1
1997-12-29,1,1
1998-01-16,4,1
1998-01-22,1,1
1998-01-29,1,1
1998-02-03,4,2
1998-02-06,2,1
1998-02-20,2,1
1998-03-07,1,1
1998-03-14,1,1
1998-03-19,2,2
1998-03-26,2,2
1998-04-15,4,1
1998-04-27,2,1
1998-04-29,1,1
1998-05-08,1,1
1998-05-26,1,1
1998-05-29,1,1
1998-06-03,1,1
1998-06-15,2,1
1998-06-18,3,2
1998-06-27,1,1
1998-07-02,1,1
1998-07-03,1,1
1998-07-07,5,4
1998-07-14,5,2
1998-08-05,2,1
1998-08-06,1,1
1998-08-12,2,1
1998-08-18,7,3
1998-09-01,1,1
1998-09-07,1,1
1998-10-12,1,1
1998-10-22,1,1
1998-10-26,1,1
1998-10-29,1,1
1998-11-02,3,2
1998-11-03,2,1
1998-11-04,1,1
1998-11-09,1,1
1998-11-12,2,1
1998-11-14,7,1
1998-11-16,5,2
1998-11-19,1,1
1998-11-28,1,1
1998-12-03,1,1
1998-12-08,1,1
1998-12-09,1,1
1998-12-19,2,1
1998-12-29,1,1
1998-12-30,1,1
1999-01-07,1,1
1999-01-25,2,1
1999-02-11,2,1
1999-02-12,2,1
1999-02-16,1,1
1999-02-24,1,1
1999-02-25,1,1
1999-03-20,1,1
1999-03-23,1,1
1999-04-14,2,1
1999-04-29,1,1
1999-05-05,5,2
1999-05-19,1,1
1999-05-22,1,1
1999-05-25,1,1
1999-05-28,2,2
1999-06-01,1,1
1999-06-09,1,1
1999-06-22,2,1
1999-07-03,1,1
1999-07-07,1,1
1999-07-09,1,1
1999-07-10,1,1
1999-07-21,1,1
1999-07-29,1,1
1999-08-03,1,1
1999-08-06,1,1
1999-08-13,1,1
1999-08-19,1,1
1999-09-07,5,2
1999-09-10,1,1
1999-09-21,2,2
1999-10-16,1,1
1999-10-20,3,1
1999-10-23,2,1
1999-10-26,4,3
1999-10-28,1,1
1999-10-29,1,1
1999-10-30,1,1
1999-11-02,1,1
1999-11-03,2,1
1999-11-04,1,1
1999-11-05,5,3
1999-11-06,9,5
1999-11-13,1,1
1999-11-24,2,2
1999-12-14,1,1
