date,hit_count,text_count
2001-06-17,1,1
2006-07-16,2,2
2006-08-20,1,1
2006-09-17,1,1
2006-11-12,2,2
2007-07-29,1,1
2007-08-19,1,1
2007-10-07,1,1
2007-11-11,1,1
2007-12-02,1,1
2008-02-17,1,1
2008-03-09,1,1
2008-03-23,1,1
2008-04-13,2,2
2008-05-25,1,1
2008-06-22,1,1
2008-08-31,1,1
2008-09-14,1,1
2008-11-09,1,1
2008-11-30,1,1
2008-12-21,1,1
2009-06-21,1,1
2010-02-21,1,1
2010-06-13,1,1
2010-07-11,1,1
2010-10-24,1,1
2011-05-29,1,1
2011-09-25,1,1
2011-10-02,1,1
2011-12-04,1,1
2012-07-01,1,1
2012-11-18,1,1
2012-11-25,1,1
2013-02-17,1,1
2013-08-11,1,1
2013-09-29,2,2
2013-12-01,1,1
2013-12-22,1,1
2014-08-31,1,1
2014-09-07,1,1
2014-11-09,1,1
2015-02-08,1,1
2015-03-22,1,1
2015-12-13,1,1
2016-10-23,1,1
2016-11-20,2,2
2017-04-16,1,1
2017-05-21,1,1
2017-05-28,2,2
2017-06-04,1,1
2017-07-09,1,1
2017-08-20,1,1
2017-09-10,1,1
2017-11-12,1,1
2017-11-26,1,1
2017-12-10,1,1
2018-07-15,1,1
2018-07-29,1,1
2018-08-26,1,1
2018-12-16,1,1
2018-12-30,1,1
2019-01-20,1,1
2019-02-10,2,2
2019-02-17,1,1
2019-03-31,1,1
2019-04-14,2,2
2019-07-14,1,1
2019-07-21,1,1
2019-09-29,2,2
2019-10-06,1,1
2019-10-27,1,1
2019-11-17,1,1
2019-11-24,1,1
2019-12-01,1,1
2019-12-08,1,1
2019-12-29,2,2
2020-01-12,1,1
2020-01-26,4,4
2020-02-02,1,1
2020-02-16,1,1
2020-03-01,1,1
2020-04-26,1,1
2020-05-17,1,1
2020-05-24,1,1
2020-06-07,1,1
2020-06-14,1,1
2020-07-12,2,2
2020-07-19,2,2
2020-08-09,1,1
2020-09-06,2,2
2020-09-20,1,1
2020-12-06,2,2
2020-12-20,1,1
2021-01-17,1,1
2021-01-24,1,1
2021-02-21,1,1
2021-02-28,1,1
2021-03-07,1,1
2021-03-21,1,1
2021-04-11,1,1
2021-04-18,2,2
2021-04-25,1,1
2021-05-09,1,1
2021-05-16,1,1
2021-05-23,1,1
2021-05-30,2,2
2021-06-13,1,1
2021-06-20,3,3
2021-06-27,1,1
2021-07-18,1,1
2021-07-25,1,1
2021-08-01,1,1
2021-08-22,1,1
2021-09-19,1,1
2021-10-10,3,3
2021-10-24,1,1
2021-10-31,3,3
2021-11-14,3,3
2021-11-28,2,2
2021-12-12,1,1
2021-12-19,1,1
2022-01-02,4,4
2022-01-09,2,2
2022-01-23,1,1
2022-02-13,2,2
2022-02-20,3,3
2022-03-13,1,1
2022-04-10,1,1
2022-04-17,1,1
2022-05-01,1,1
2022-05-15,1,1
2022-05-29,2,2
2022-06-19,1,1
2022-06-26,2,2
2022-07-03,2,2
2022-07-24,1,1
2022-08-14,2,2
2022-08-21,1,1
2022-08-28,1,1
2022-09-04,1,1
2022-09-11,1,1
2022-09-18,1,1
2022-10-02,3,3
2022-10-09,1,1
2022-10-16,1,1
2022-10-30,2,2
2022-11-20,3,3
2022-12-04,1,1
2022-12-25,1,1
