date,hit_count,text_count
2000-09-03,1,1
2000-09-17,1,1
2001-04-01,1,1
2001-05-20,1,1
2001-06-17,1,1
2001-11-11,1,1
2002-08-18,2,2
2002-10-06,1,1
2003-05-11,1,1
2003-12-14,1,1
2004-04-18,2,2
2004-05-30,1,1
2004-12-19,1,1
2005-03-20,1,1
2005-07-17,1,1
2005-09-04,1,1
2006-02-05,1,1
2006-03-19,1,1
2006-04-23,1,1
2006-08-20,1,1
2006-11-05,1,1
2006-11-12,1,1
2006-12-10,1,1
2006-12-24,1,1
2007-08-19,1,1
2007-09-23,2,2
2007-10-07,1,1
2007-10-14,1,1
2007-10-21,2,2
2007-10-28,1,1
2007-11-04,1,1
2007-11-25,1,1
2007-12-02,3,3
2007-12-09,2,2
2007-12-23,2,2
2007-12-30,2,2
2008-01-27,1,1
2008-02-03,1,1
2008-03-23,3,3
2008-03-30,1,1
2008-04-13,1,1
2008-04-20,1,1
2008-05-04,1,1
2008-05-18,1,1
2008-06-15,1,1
2008-07-13,1,1
2008-09-07,1,1
2008-09-14,1,1
2008-10-19,1,1
2009-02-08,1,1
2009-02-22,1,1
2009-03-22,1,1
2009-03-29,1,1
2009-04-12,1,1
2009-05-10,1,1
2009-07-05,1,1
2009-08-09,1,1
2009-10-18,1,1
2009-10-25,1,1
2009-11-15,1,1
2009-12-06,1,1
2009-12-13,2,2
2010-01-31,1,1
2010-02-21,1,1
2010-02-28,1,1
2010-04-04,1,1
2010-05-23,1,1
2010-07-11,1,1
2010-07-18,1,1
2010-10-24,1,1
2010-12-12,2,2
2011-01-02,2,2
2011-02-20,1,1
2011-04-17,1,1
2011-05-08,1,1
2011-09-11,1,1
2011-10-02,1,1
2011-10-09,1,1
2011-10-16,1,1
2011-12-11,1,1
2012-01-08,1,1
2012-01-22,1,1
2012-04-01,1,1
2012-06-10,1,1
2012-07-08,1,1
2012-07-22,1,1
2012-09-02,1,1
2012-10-21,1,1
2012-12-30,1,1
2013-03-24,1,1
2013-05-26,1,1
2013-06-23,1,1
2013-07-28,1,1
2013-11-24,1,1
2014-04-27,1,1
2014-06-15,1,1
2014-11-23,1,1
2015-03-08,1,1
2015-03-22,1,1
2015-04-26,1,1
2015-05-17,2,2
2015-07-05,1,1
2015-10-11,1,1
2015-12-13,1,1
2015-12-20,1,1
2016-01-24,2,2
2016-03-27,1,1
2016-04-03,1,1
2016-04-24,1,1
2016-09-18,1,1
2016-10-02,1,1
2016-10-30,1,1
2016-12-25,2,2
2017-01-15,1,1
2017-02-19,1,1
2017-03-12,1,1
2017-04-02,1,1
2017-05-28,1,1
2017-06-25,1,1
2017-07-02,1,1
2017-07-09,2,2
2017-11-12,1,1
2018-01-21,1,1
2018-01-28,1,1
2018-03-11,1,1
2018-04-29,1,1
2018-06-03,1,1
2018-07-29,2,2
2018-08-12,1,1
2018-08-26,1,1
2018-09-02,1,1
2018-12-02,1,1
2018-12-09,2,2
2018-12-16,1,1
2018-12-23,1,1
2019-01-20,2,2
2019-01-27,1,1
2019-02-03,2,2
2019-02-10,1,1
2019-03-10,2,2
2019-03-17,2,2
2019-03-31,1,1
2019-04-07,3,3
2019-04-14,3,3
2019-05-05,2,2
2019-05-12,3,3
2019-05-26,2,2
2019-06-02,1,1
2019-06-09,3,3
2019-06-23,4,4
2019-06-30,2,2
2019-07-14,1,1
2019-07-21,3,3
2019-07-28,1,1
2019-08-04,1,1
2019-08-11,1,1
2019-08-18,1,1
2019-08-25,3,3
2019-09-01,1,1
2019-09-22,2,2
2019-09-29,5,5
2019-10-06,3,3
2019-10-13,2,2
2019-10-20,2,2
2019-10-27,2,2
2019-11-03,1,1
2019-12-01,1,1
2019-12-08,2,2
2019-12-15,1,1
2019-12-29,4,4
2020-01-05,1,1
2020-01-12,4,4
2020-01-19,3,3
2020-01-26,5,5
2020-02-16,4,4
2020-02-23,1,1
2020-03-01,1,1
2020-03-08,1,1
2020-03-15,1,1
2020-04-05,1,1
2020-04-26,2,2
2020-06-14,3,3
2020-06-21,1,1
2020-06-28,1,1
2020-07-12,3,3
2020-07-19,1,1
2020-08-02,1,1
2020-08-16,1,1
2020-09-06,1,1
2020-09-13,1,1
2020-09-20,2,2
2020-09-27,4,4
2020-10-04,1,1
2020-12-06,1,1
2021-01-03,1,1
2021-01-31,1,1
2021-02-07,1,1
2021-03-07,1,1
2021-03-28,1,1
2021-04-11,2,2
2021-04-18,1,1
2021-04-25,1,1
2021-05-02,2,2
2021-05-09,1,1
2021-05-23,3,3
2021-05-30,1,1
2021-06-06,1,1
2021-06-13,3,3
2021-06-20,5,5
2021-06-27,2,2
2021-07-04,1,1
2021-07-11,1,1
2021-08-01,1,1
2021-08-08,1,1
2021-08-15,1,1
2021-08-29,1,1
2021-09-26,1,1
2021-10-17,2,2
2021-10-24,2,2
2021-10-31,5,5
2021-11-07,1,1
2021-11-14,4,4
2021-11-28,1,1
2021-12-05,1,1
2021-12-19,2,2
2022-01-02,2,2
2022-01-09,2,2
2022-01-16,1,1
2022-02-06,1,1
2022-02-27,1,1
2022-03-06,3,3
2022-03-13,2,2
2022-04-17,2,2
2022-05-29,3,3
2022-06-19,2,2
2022-07-03,1,1
2022-07-24,1,1
2022-08-14,3,3
2022-08-28,1,1
2022-09-04,2,2
2022-09-11,1,1
2022-09-18,1,1
2022-10-02,1,1
2022-10-16,1,1
2022-10-30,3,3
2022-11-20,1,1
2022-11-27,1,1
2022-12-11,1,1
2022-12-18,1,1
2022-12-25,2,2
