date,hit_count,text_count
2005-01-06,1,1
2005-03-03,3,2
2005-06-23,1,1
2005-09-16,2,2
2005-10-13,1,1
2005-10-20,1,1
2005-11-03,1,1
2005-12-22,5,1
2006-01-19,3,1
2006-03-16,1,1
2006-06-01,4,1
2006-06-08,1,1
2006-07-27,4,1
2006-09-07,1,1
2006-10-19,7,1
2006-11-16,1,1
2006-11-30,8,2
2006-12-14,2,1
2007-01-18,2,1
2007-02-01,5,4
2007-02-08,4,2
2007-02-15,1,1
2007-02-22,8,2
2007-03-01,3,2
2007-03-15,2,2
2007-03-22,1,1
2007-03-29,12,2
2007-04-04,2,1
2007-04-12,2,1
2007-04-26,5,2
2007-05-03,2,1
2007-05-10,5,1
2007-05-16,1,1
2007-06-07,1,1
2007-06-28,2,1
2007-07-05,1,1
2007-07-12,1,1
2007-08-02,1,1
2007-08-09,2,2
2007-08-16,2,1
2007-08-23,10,2
2007-08-30,1,1
2007-09-06,1,1
2007-09-20,1,1
2007-09-27,1,1
2007-10-04,2,1
2007-10-18,11,1
2007-11-01,21,3
2007-11-15,3,2
2007-11-22,1,1
2007-11-29,2,2
2007-12-06,2,1
2009-01-01,2,1
2009-01-08,2,2
2009-01-15,5,2
2009-01-22,6,3
2009-01-29,8,3
2009-02-05,2,1
2009-02-12,5,1
2009-02-26,1,1
2009-03-19,1,1
2009-04-08,1,1
2009-04-23,1,1
2009-04-30,1,1
2009-07-09,11,2
2009-07-30,1,1
2009-09-03,1,1
2009-11-12,20,1
2009-11-26,7,3
2009-12-23,11,1
2010-03-04,4,1
2010-03-18,4,1
2010-04-08,2,1
2010-04-15,2,1
2010-04-22,2,2
2010-05-13,1,1
2010-06-04,10,1
2010-08-26,11,1
2010-09-09,4,1
2010-09-23,7,1
2010-10-07,2,2
2010-10-14,7,1
2010-11-04,1,1
2010-11-18,1,1
2010-11-25,14,1
2010-12-02,6,2
2010-12-23,2,1
2011-03-17,5,3
2011-03-24,4,2
2011-03-31,6,3
2011-04-07,1,1
2011-04-20,1,1
2011-04-28,1,1
2011-06-09,3,2
2011-06-16,2,1
2011-06-23,3,1
2011-07-21,2,1
2011-07-28,2,2
2011-09-08,1,1
2011-10-06,1,1
2011-10-27,2,1
2011-12-01,6,2
2011-12-08,2,1
2011-12-15,1,1
2011-12-22,1,1
2012-01-05,3,2
2012-02-09,4,2
2012-02-16,2,1
2012-03-15,1,1
2012-03-29,5,1
2012-04-12,1,1
2012-04-19,6,2
2012-05-03,1,1
2012-05-10,4,1
2012-05-16,2,1
2012-05-31,1,1
2012-06-14,1,1
2012-07-26,2,1
2012-09-27,2,2
2012-10-04,5,3
2012-10-11,2,1
2012-10-25,2,1
2012-11-01,2,2
2012-11-08,1,1
2012-12-06,5,1
2012-12-13,3,1
2012-12-20,3,2
2013-01-10,2,1
2013-01-17,1,1
2013-01-24,4,1
2013-01-31,3,1
2013-02-07,2,1
2013-02-28,1,1
2013-04-11,4,1
2013-05-02,5,1
2013-05-16,1,1
2013-05-23,4,2
2013-05-30,1,1
2013-06-06,1,1
2013-06-27,1,1
2013-07-04,3,1
2013-07-11,5,2
2013-07-25,2,2
2013-08-08,1,1
2013-09-05,2,2
2013-09-19,9,2
2013-09-26,9,3
2013-10-03,8,2
2013-10-10,1,1
2013-10-24,1,1
2013-11-21,1,1
2013-11-28,1,1
2013-12-19,1,1
2014-01-16,5,4
2014-01-23,2,1
2014-02-20,6,2
2014-02-27,1,1
2014-03-06,2,1
2014-03-13,3,1
2014-03-20,1,1
2014-03-27,2,2
2014-04-03,4,2
2014-04-17,12,2
2014-04-24,2,1
2014-05-08,3,1
2014-05-15,1,1
2014-05-28,2,2
2014-06-05,6,1
2014-07-17,2,1
2014-08-14,3,2
2014-09-04,8,2
2014-09-18,2,1
2014-10-09,2,2
2014-10-16,3,1
2014-10-23,1,1
2014-10-30,2,1
2014-11-06,2,1
2014-11-20,1,1
2014-12-18,3,3
2015-02-26,2,1
2015-03-05,1,1
2015-03-26,2,1
2015-04-30,2,1
2015-06-04,3,2
2015-07-02,3,1
2015-07-09,1,1
2015-07-23,1,1
2015-07-30,2,1
2015-08-13,1,1
2015-08-20,3,2
2015-08-27,2,1
2015-09-03,4,1
2015-09-10,2,2
2015-09-24,1,1
2015-10-15,3,1
2015-11-12,7,2
2015-11-26,3,1
2015-12-03,1,1
2015-12-10,1,1
2015-12-17,5,4
2016-01-14,1,1
2016-01-21,1,1
2016-01-28,2,1
2016-02-18,1,1
2016-03-03,2,1
2016-03-10,2,2
2016-03-17,1,1
2016-05-04,1,1
2016-05-19,3,2
2016-06-16,3,2
2016-06-23,1,1
2016-06-30,1,1
2016-09-01,3,2
2016-09-15,2,1
2016-10-13,2,2
2016-11-03,1,1
2016-11-10,1,1
2016-11-24,1,1
2016-12-08,5,3
2016-12-22,1,1
2017-01-12,3,2
2017-01-26,5,2
2017-02-16,3,1
2017-03-02,2,1
2017-03-09,2,2
2017-03-23,1,1
2017-03-30,2,1
2017-04-06,5,3
2017-05-18,1,1
2017-05-24,1,1
2017-06-08,5,3
2017-06-15,2,1
2017-06-22,4,2
2017-07-06,1,1
2017-08-10,4,3
2017-08-17,3,2
2017-08-31,1,1
2017-09-07,11,3
2017-09-14,1,1
2017-09-28,12,4
2017-10-19,1,1
2017-11-16,3,1
2017-12-14,2,1
2017-12-21,1,1
2018-02-01,1,1
2018-02-08,1,1
2018-02-22,1,1
2018-03-29,2,1
2018-06-21,2,2
2018-06-28,1,1
2018-07-05,1,1
2018-08-16,1,1
2018-08-23,2,1
2018-09-27,1,1
2018-10-11,4,2
2018-10-18,4,2
2018-11-01,3,2
2018-11-08,2,1
2018-11-29,1,1
2018-12-06,2,2
2018-12-13,1,1
2018-12-20,1,1
2019-01-10,1,1
2019-01-24,10,2
2019-01-31,4,3
2019-02-07,1,1
2019-02-14,2,2
2019-02-21,8,4
2019-02-28,2,2
2019-03-21,12,7
2019-03-28,11,3
2019-04-04,16,8
2019-04-11,23,3
2019-04-18,2,2
2019-04-25,7,3
2019-05-02,9,7
2019-05-09,10,3
2019-05-23,5,2
2019-05-29,20,7
2019-06-06,6,4
2019-06-13,2,2
2019-06-20,4,2
2019-06-27,19,4
2019-07-04,8,5
2019-07-11,5,2
2019-07-18,10,4
2019-07-25,10,5
2019-08-08,2,2
2019-08-15,10,2
2019-08-22,3,2
2019-08-29,8,6
2019-09-05,8,5
2019-09-12,2,2
2019-09-18,6,2
2019-09-19,1,1
2019-09-25,5,2
2019-10-02,1,1
2019-10-09,7,3
2019-10-17,2,1
2019-10-23,6,4
2019-10-30,2,2
2019-11-13,2,2
2019-11-20,2,2
2019-11-27,1,1
2019-12-04,2,1
2019-12-11,3,2
2019-12-18,6,3
2020-01-08,1,1
2020-01-15,14,6
2020-01-22,14,4
2020-01-29,1,1
2020-02-05,3,2
2020-02-12,6,4
2020-02-19,1,1
2020-03-04,1,1
2020-03-11,4,2
2020-03-18,2,2
2020-03-25,1,1
2020-04-08,1,1
2020-04-22,1,1
2020-04-29,6,3
2020-05-06,1,1
2020-05-27,3,2
2020-06-03,1,1
2020-06-17,17,2
2020-06-24,1,1
2020-07-01,1,1
2020-07-22,2,1
2020-07-29,2,2
2020-08-12,1,1
2020-08-19,1,1
2020-08-26,2,2
2020-09-02,2,1
2020-09-09,1,1
2020-09-30,1,1
2020-10-07,3,3
