date,hit_count,text_count
2005-03-10,1,1
2005-06-16,1,1
2005-12-22,1,1
2006-02-02,1,1
2006-05-04,1,1
2006-08-31,1,1
2006-10-26,1,1
2006-11-09,2,2
2006-11-30,2,2
2007-01-25,1,1
2007-02-01,2,2
2007-02-08,1,1
2007-02-15,1,1
2007-03-01,2,2
2007-03-08,1,1
2007-03-22,1,1
2007-04-19,1,1
2007-04-26,1,1
2007-06-07,1,1
2007-06-21,1,1
2007-07-19,1,1
2007-07-26,2,2
2007-08-09,1,1
2007-08-23,1,1
2007-08-30,1,1
2007-09-20,1,1
2007-09-27,1,1
2007-10-18,1,1
2007-10-25,1,1
2007-11-01,3,3
2007-11-29,2,2
2007-12-06,2,2
2007-12-13,1,1
2008-04-30,1,1
2009-01-01,3,3
2009-01-15,2,2
2009-01-22,1,1
2009-01-29,1,1
2009-02-05,1,1
2009-03-12,1,1
2009-04-16,1,1
2009-05-07,1,1
2009-05-20,1,1
2009-05-28,1,1
2009-06-11,1,1
2009-07-09,1,1
2009-09-03,1,1
2009-09-10,1,1
2009-10-01,1,1
2009-10-29,1,1
2009-12-10,4,4
2010-02-18,1,1
2010-03-04,1,1
2010-06-11,1,1
2010-06-17,1,1
2010-07-29,1,1
2010-08-12,1,1
2010-09-30,2,2
2010-10-21,1,1
2011-01-13,1,1
2011-02-17,1,1
2011-03-24,1,1
2011-05-05,1,1
2011-05-26,1,1
2011-06-09,1,1
2011-07-07,1,1
2011-08-11,1,1
2011-09-01,1,1
2011-10-27,1,1
2011-12-08,1,1
2012-01-26,1,1
2012-02-02,1,1
2012-02-23,1,1
2012-03-01,1,1
2012-04-12,1,1
2012-05-03,1,1
2012-05-16,1,1
2012-09-20,2,2
2012-10-04,1,1
2012-12-06,1,1
2013-01-17,1,1
2013-04-11,1,1
2013-05-08,2,2
2013-05-23,2,2
2013-08-08,1,1
2013-08-15,1,1
2013-08-22,1,1
2013-10-10,1,1
2013-10-17,1,1
2013-11-14,1,1
2013-11-21,2,2
2014-01-03,1,1
2014-01-16,1,1
2014-01-23,2,2
2014-03-13,1,1
2014-04-10,1,1
2014-04-24,1,1
2014-04-30,2,2
2014-05-28,1,1
2014-06-19,1,1
2014-09-04,1,1
2014-09-18,1,1
2014-10-09,1,1
2014-10-16,1,1
2014-10-30,1,1
2014-12-11,1,1
2014-12-18,1,1
2015-01-08,1,1
2015-05-21,1,1
2015-06-18,2,2
2015-06-25,1,1
2015-07-09,1,1
2015-07-16,1,1
2015-08-20,1,1
2015-09-03,1,1
2015-10-01,1,1
2015-10-08,1,1
2015-10-22,1,1
2015-11-05,2,2
2015-11-12,1,1
2015-11-26,3,3
2015-12-03,1,1
2015-12-23,1,1
2016-02-04,1,1
2016-03-03,1,1
2016-05-04,1,1
2016-05-12,1,1
2016-06-30,1,1
2016-07-21,1,1
2016-07-28,1,1
2016-08-11,2,2
2016-08-18,1,1
2016-09-01,1,1
2016-09-15,1,1
2016-09-22,1,1
2016-11-17,1,1
2016-12-08,2,2
2016-12-22,1,1
2017-06-08,2,2
2017-06-15,1,1
2017-06-22,1,1
2017-06-29,1,1
2017-07-27,2,2
2017-08-10,1,1
2017-09-21,1,1
2017-09-28,1,1
2017-10-05,1,1
2017-10-19,2,2
2017-11-02,1,1
2017-11-16,1,1
2018-01-25,2,2
2018-02-01,2,2
2018-02-15,1,1
2018-02-22,1,1
2018-07-19,1,1
2018-08-30,1,1
2018-10-11,1,1
2018-11-01,1,1
2018-12-06,1,1
2018-12-20,1,1
2019-01-24,2,2
2019-01-31,1,1
2019-02-14,2,2
2019-02-21,2,2
2019-02-28,3,3
2019-03-07,1,1
2019-03-14,2,2
2019-03-21,5,5
