date,hit_count,text_count
2005-10-20,1,1
2006-05-04,1,1
2007-03-08,1,1
2007-04-26,1,1
2007-11-29,1,1
2009-05-28,1,1
2009-06-11,1,1
2009-07-09,1,1
2010-05-13,1,1
2010-06-04,1,1
2010-10-14,1,1
2011-01-13,1,1
2011-10-27,1,1
2012-02-09,1,1
2012-02-16,1,1
2012-09-20,1,1
2012-10-04,1,1
2013-01-10,1,1
2013-05-08,1,1
2013-06-06,1,1
2013-08-08,1,1
2013-10-10,1,1
2014-03-06,1,1
2014-03-13,1,1
2014-04-10,1,1
2014-11-06,1,1
2015-05-21,1,1
2015-06-04,1,1
2015-11-12,1,1
2016-09-15,1,1
2017-02-16,1,1
2017-04-06,1,1
2019-04-04,1,1
2019-05-02,1,1
2019-05-29,2,2
2019-07-04,2,2
2019-07-18,1,1
2019-08-15,1,1
2019-08-22,1,1
2019-09-05,1,1
2019-10-17,2,2
2019-11-27,1,1
2019-12-18,1,1
2020-01-08,1,1
2020-01-15,1,1
2020-02-26,1,1
2020-03-18,1,1
2020-07-29,1,1
2021-01-06,1,1
2021-03-03,1,1
2021-04-08,1,1
2021-04-29,1,1
2021-05-06,1,1
2021-05-20,1,1
2021-05-27,1,1
2021-06-03,2,2
2021-06-10,1,1
2021-11-04,2,2
2021-11-18,1,1
2022-01-06,1,1
2022-03-17,1,1
2022-07-21,2,2
2022-09-22,1,1
2022-10-27,1,1
2022-11-03,1,1
