date,hit_count,text_count
1970-03-27,1,1
1989-12-22,1,1
1990-10-05,1,1
1990-10-26,1,1
1990-11-09,1,1
1990-12-14,1,1
1991-04-26,1,1
1991-10-11,1,1
1991-11-08,1,1
1992-01-03,1,1
1992-03-06,1,1
1992-04-03,1,1
1992-05-01,1,1
1992-05-15,1,1
1992-09-18,1,1
1993-09-10,1,1
1995-03-03,1,1
1995-03-24,1,1
1995-04-07,1,1
1995-05-19,1,1
1995-05-26,1,1
1996-07-05,1,1
1996-11-22,1,1
1997-02-28,1,1
1997-06-13,1,1
1997-07-25,1,1
1997-10-17,1,1
1998-06-25,1,1
1999-03-25,1,1
2001-09-19,1,1
2002-03-27,1,1
2002-05-08,1,1
2002-08-15,1,1
2002-08-21,1,1
2002-09-12,1,1
2002-12-12,1,1
2003-10-09,1,1
2003-11-06,1,1
2004-11-04,1,1
2004-12-09,1,1
2005-01-20,1,1
2005-02-17,1,1
2005-10-13,1,1
2006-05-18,2,2
2006-09-07,1,1
2006-10-12,1,1
2006-10-19,1,1
2006-11-09,2,2
2006-11-23,2,2
2006-11-30,2,2
2006-12-07,1,1
2006-12-14,3,3
2007-01-18,1,1
2007-02-01,2,2
2007-02-08,1,1
2007-02-15,2,2
2007-02-22,1,1
2007-03-01,2,2
2007-03-08,6,6
2007-03-15,6,6
2007-03-22,2,2
2007-03-29,1,1
2007-04-05,1,1
2007-04-12,3,3
2007-04-19,5,5
2007-04-26,1,1
2007-05-03,2,2
2007-06-07,2,2
2007-06-14,2,2
2007-06-21,1,1
2007-06-28,1,1
2007-07-12,3,3
2007-08-09,1,1
2007-08-16,1,1
2007-08-23,1,1
2007-10-18,1,1
2007-10-25,2,2
2007-11-08,1,1
2007-11-22,1,1
2007-12-13,2,2
2007-12-20,3,3
2008-01-10,1,1
2008-04-03,2,2
2008-05-01,1,1
2008-05-08,1,1
2008-05-15,1,1
2008-05-22,1,1
2008-07-03,1,1
2008-07-10,2,2
2008-07-17,1,1
2008-09-04,1,1
2008-09-11,1,1
2008-09-18,1,1
2008-09-25,1,1
2008-10-09,1,1
2008-10-16,1,1
2008-10-23,3,3
2008-10-30,2,2
2008-11-06,1,1
2008-12-04,1,1
2008-12-11,1,1
2008-12-25,2,2
2009-02-12,1,1
2009-04-02,2,2
2009-04-09,1,1
2009-05-14,1,1
2009-05-21,1,1
2009-06-18,1,1
2009-07-09,1,1
2009-08-20,1,1
2009-09-17,1,1
2009-10-08,1,1
2009-10-29,1,1
2009-11-26,2,2
2009-12-03,1,1
2009-12-10,5,5
2009-12-24,2,2
2010-01-14,2,2
2010-01-28,1,1
2010-03-18,1,1
2010-05-13,1,1
2010-06-17,1,1
2010-10-28,1,1
2010-11-11,1,1
2010-12-02,1,1
2010-12-16,1,1
2011-01-06,1,1
2011-03-24,1,1
2011-03-31,1,1
2011-05-19,2,2
2011-11-03,1,1
2011-11-17,2,2
2011-12-01,1,1
2011-12-08,1,1
2012-02-02,2,2
2012-02-16,1,1
2012-04-05,1,1
2013-02-07,1,1
2013-04-25,1,1
2013-11-28,1,1
2013-12-12,1,1
2014-03-06,1,1
2014-10-02,1,1
