date,hit_count,text_count
1963-05-10,1,1
1969-01-31,1,1
1971-03-12,1,1
1974-02-01,1,1
1974-04-19,1,1
1976-01-09,1,1
1977-01-14,1,1
1979-01-19,1,1
1987-01-23,1,1
1990-09-14,1,1
1990-10-26,1,1
1990-12-07,1,1
1990-12-14,1,1
1991-01-04,1,1
1991-05-31,1,1
1991-11-29,1,1
1992-02-14,1,1
1992-05-15,1,1
1992-06-05,1,1
1992-06-12,1,1
1992-09-11,1,1
1992-09-18,1,1
1995-01-13,1,1
1995-03-24,2,2
1995-04-07,1,1
1995-04-14,1,1
1995-05-19,1,1
1995-05-26,1,1
1995-06-02,1,1
1995-06-16,1,1
1995-06-23,2,2
1995-07-14,1,1
1995-09-08,1,1
1995-09-29,1,1
1995-10-13,1,1
1995-10-27,1,1
1996-03-29,1,1
1996-07-26,2,2
1996-09-13,1,1
1996-09-20,1,1
1996-10-04,1,1
1996-10-11,1,1
1996-10-18,1,1
1996-12-06,1,1
1996-12-20,1,1
1997-01-31,1,1
1997-03-21,1,1
1997-06-13,1,1
1997-07-04,1,1
1997-07-25,2,2
1997-09-05,1,1
1997-10-17,3,3
1997-10-31,1,1
1997-11-07,1,1
1997-11-28,1,1
1997-12-05,1,1
1997-12-19,2,2
1998-01-23,1,1
1998-03-26,1,1
1998-04-08,1,1
1998-06-04,1,1
1998-06-25,1,1
1998-07-02,1,1
1998-08-20,1,1
1998-09-10,1,1
1998-09-17,2,2
1998-10-08,1,1
1998-10-15,1,1
1998-12-10,1,1
1999-01-07,1,1
1999-03-11,1,1
1999-03-25,1,1
1999-08-12,1,1
1999-10-21,1,1
1999-10-28,1,1
1999-12-09,1,1
2000-01-05,1,1
2000-03-09,1,1
2000-05-18,1,1
2000-06-08,1,1
2000-08-17,1,1
2000-09-06,1,1
2000-10-25,1,1
2000-11-09,1,1
2000-11-22,1,1
2000-11-29,1,1
2000-12-06,1,1
2001-02-14,1,1
2001-03-21,2,2
2001-03-28,3,3
2001-04-04,1,1
2001-04-10,1,1
2001-04-18,1,1
2001-05-02,1,1
2001-05-09,2,2
2001-06-12,3,3
2001-07-11,3,3
2001-07-18,6,6
2001-07-25,1,1
2001-08-01,1,1
2001-08-22,1,1
2001-08-29,1,1
2001-09-19,1,1
2001-10-02,1,1
2002-01-24,1,1
2002-04-11,2,2
2002-04-18,1,1
2002-04-25,2,2
2002-05-16,2,2
2002-08-15,1,1
