date,hit_count,text_count
1996-02-01,1,1
1996-05-29,1,1
1996-07-08,1,1
1997-06-13,1,1
2002-09-06,1,1
2003-07-01,2,2
2003-08-29,1,1
2004-05-14,1,1
2004-05-26,1,1
2004-09-10,1,1
2005-01-19,1,1
2005-01-21,1,1
2006-03-23,1,1
2006-04-26,1,1
2006-06-22,1,1
2006-10-10,1,1
2006-10-12,1,1
2006-10-21,1,1
2006-11-03,1,1
2006-11-16,1,1
2007-01-06,1,1
2007-01-27,1,1
2007-02-03,1,1
2007-02-05,1,1
2007-02-14,1,1
2007-03-14,1,1
2007-03-17,1,1
2007-03-29,1,1
2007-04-18,1,1
2007-05-18,1,1
2007-06-01,1,1
2007-06-04,1,1
2007-06-08,1,1
2007-07-04,1,1
2007-07-06,1,1
2007-07-16,1,1
2007-07-18,1,1
2007-10-13,1,1
2007-10-16,1,1
2008-04-12,1,1
2008-04-15,1,1
2008-04-28,1,1
2008-07-15,1,1
2008-08-12,1,1
2008-10-15,3,3
2008-12-13,1,1
2008-12-18,1,1
2009-01-20,1,1
2009-03-06,1,1
2009-04-03,1,1
2009-05-25,1,1
2009-07-15,1,1
2009-09-22,1,1
2009-10-31,2,2
2009-11-17,1,1
2009-12-21,1,1
2009-12-28,1,1
2010-01-20,1,1
2010-02-06,1,1
2010-05-15,1,1
2011-10-08,1,1
2011-11-25,1,1
2013-11-13,1,1
2015-05-06,1,1
2015-05-18,1,1
2015-11-23,1,1
2015-12-07,1,1
2015-12-12,1,1
2015-12-28,1,1
2016-04-30,2,2
2016-09-05,1,1
2017-03-29,1,1
2017-07-07,1,1
2017-07-12,1,1
2017-09-13,1,1
2017-10-12,1,1
2017-11-11,1,1
2017-11-30,1,1
2018-04-12,1,1
2018-06-02,1,1
2018-09-03,1,1
2018-09-14,1,1
2018-09-21,1,1
2018-11-26,1,1
2018-12-15,1,1
2019-01-19,1,1
2019-01-23,1,1
2019-01-30,1,1
2019-02-04,1,1
2019-02-13,2,2
2019-02-14,1,1
2019-02-21,1,1
2019-02-25,1,1
2019-03-02,1,1
2019-03-09,1,1
2019-03-12,2,2
2019-03-13,2,2
2019-03-16,3,3
2019-03-20,1,1
2019-03-21,1,1
2019-03-23,1,1
2019-03-26,1,1
2019-03-30,1,1
2019-04-05,1,1
2019-04-08,1,1
2019-04-09,1,1
2019-04-23,1,1
2019-05-04,1,1
2019-05-14,3,3
2019-05-17,1,1
2019-05-21,1,1
2019-05-23,1,1
2019-05-24,1,1
2019-05-28,1,1
2019-05-29,1,1
2019-06-07,1,1
2019-06-12,1,1
2019-06-27,1,1
2019-06-28,1,1
2019-07-03,1,1
2019-07-04,1,1
2019-07-13,1,1
2019-07-16,1,1
2019-07-17,1,1
2019-07-19,1,1
2019-07-20,1,1
2019-07-24,1,1
2019-07-25,1,1
2019-07-30,2,2
2019-07-31,1,1
2019-08-06,1,1
2019-08-07,1,1
2019-08-09,2,2
2019-08-10,1,1
2019-08-15,1,1
2019-08-16,1,1
2019-08-21,2,2
2019-09-04,1,1
2019-09-11,1,1
2019-09-16,1,1
2019-09-18,1,1
2019-09-20,1,1
2019-09-21,2,2
2019-09-25,1,1
2019-09-26,1,1
2019-09-27,1,1
2019-09-28,1,1
2019-09-30,2,2
2019-10-02,1,1
2019-10-05,1,1
2019-10-08,2,2
2019-10-09,2,2
2019-10-15,1,1
2019-10-16,3,3
2019-10-19,1,1
2019-10-21,1,1
2019-10-23,1,1
2019-10-28,1,1
2019-10-29,1,1
2019-10-30,1,1
2019-10-31,2,2
2019-11-01,1,1
2019-11-02,1,1
2019-11-08,1,1
2019-11-09,1,1
2019-11-15,1,1
2019-11-19,1,1
2019-11-20,1,1
2019-11-23,1,1
2019-11-30,1,1
2019-12-02,1,1
2019-12-07,2,2
2019-12-14,1,1
2019-12-16,2,2
2019-12-18,1,1
2019-12-21,1,1
2019-12-23,3,3
2019-12-24,1,1
2019-12-28,1,1
2020-01-07,3,3
2020-01-10,2,2
2020-01-15,3,3
2020-01-16,1,1
2020-01-21,2,2
2020-02-08,1,1
2020-02-10,1,1
2020-02-18,2,2
2020-02-19,1,1
2020-02-28,1,1
2020-02-29,1,1
2020-03-07,2,2
2020-03-10,1,1
2020-03-23,1,1
2020-04-06,1,1
2020-04-11,1,1
2020-04-24,1,1
2020-04-27,1,1
2020-04-28,1,1
2020-05-15,1,1
2020-05-19,1,1
2020-05-23,1,1
2020-05-26,1,1
2020-06-05,1,1
2020-06-08,1,1
2020-06-20,1,1
2020-06-22,1,1
2020-06-30,1,1
2020-07-01,1,1
2020-07-23,1,1
2020-08-06,1,1
2020-08-12,1,1
2020-08-17,1,1
2020-08-18,1,1
2020-08-19,1,1
2020-08-27,1,1
2020-08-29,1,1
2020-09-05,1,1
2020-09-17,1,1
2020-09-18,1,1
2020-09-22,1,1
2020-09-23,2,2
2020-09-24,1,1
2020-09-26,2,2
2020-09-29,1,1
2020-10-02,1,1
2020-10-10,1,1
2020-10-16,1,1
2020-10-31,1,1
2020-11-12,1,1
2020-11-16,1,1
2020-11-17,1,1
2020-11-23,1,1
2020-11-26,1,1
2020-12-09,1,1
2020-12-10,1,1
2021-01-06,1,1
2021-01-09,1,1
2021-01-16,1,1
2021-01-26,1,1
2021-01-28,1,1
2021-02-02,1,1
2021-02-08,1,1
2021-02-17,2,2
2021-03-15,1,1
2021-03-20,1,1
2021-03-29,1,1
2021-04-19,3,3
2021-04-22,1,1
2021-04-30,1,1
2021-05-04,1,1
2021-05-05,1,1
2021-05-14,1,1
2021-05-15,1,1
2021-05-17,1,1
2021-05-18,1,1
2021-05-21,1,1
2021-05-22,1,1
2021-05-28,3,3
2021-06-08,1,1
2021-06-14,1,1
2021-06-16,1,1
2021-06-25,1,1
2021-06-29,1,1
2021-07-15,1,1
2021-07-16,2,2
2021-07-23,1,1
2021-08-03,1,1
2021-08-05,1,1
2021-08-07,2,2
2021-08-10,1,1
2021-08-14,1,1
2021-08-18,1,1
2021-09-10,1,1
2021-09-15,1,1
2021-09-18,1,1
2021-09-22,1,1
2021-09-25,1,1
2021-09-29,1,1
2021-10-05,2,2
2021-10-06,1,1
2021-10-08,1,1
2021-10-22,1,1
2021-11-04,1,1
2021-11-10,1,1
2021-11-12,1,1
2021-11-24,1,1
2021-11-26,1,1
2021-11-27,2,2
2021-12-09,2,2
2021-12-16,1,1
2021-12-21,1,1
2021-12-24,1,1
2021-12-27,1,1
2022-01-05,1,1
2022-01-14,1,1
2022-01-27,1,1
2022-02-22,1,1
2022-03-10,1,1
2022-04-11,1,1
2022-04-13,1,1
2022-04-29,2,2
2022-05-09,1,1
2022-05-28,1,1
2022-06-25,1,1
2022-06-29,1,1
2022-07-22,1,1
2022-08-05,1,1
2022-08-09,1,1
2022-08-18,1,1
2022-08-30,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-17,1,1
2022-09-24,1,1
2022-10-04,1,1
2022-10-10,1,1
2022-10-14,1,1
2022-10-20,1,1
2022-10-27,1,1
2022-10-28,2,2
2022-10-31,1,1
2022-11-01,1,1
2022-11-04,1,1
2022-11-05,2,2
2022-11-07,1,1
2022-11-08,2,2
2022-11-09,1,1
2022-11-11,1,1
2022-11-16,1,1
2022-11-17,1,1
2022-11-18,1,1
2022-11-19,1,1
2022-11-21,1,1
2022-11-24,1,1
2022-12-01,1,1
2022-12-03,1,1
2022-12-10,1,1
2022-12-13,1,1
2022-12-27,1,1
