date,hit_count,text_count
1996-01-05,1,1
1996-01-18,1,1
1996-02-01,1,1
1996-02-22,8,2
1996-02-29,1,1
1996-03-12,1,1
1996-05-02,3,1
1996-05-29,2,1
1996-06-13,1,1
1996-07-03,1,1
1996-07-08,4,1
1996-07-17,1,1
1996-07-18,1,1
1996-07-19,5,2
1996-07-20,5,2
1996-08-03,1,1
1996-09-10,3,1
1996-10-10,2,1
1996-10-22,1,1
1996-10-24,1,1
1996-11-27,1,1
1996-12-10,2,1
1996-12-30,1,1
1997-02-13,1,1
1997-02-21,1,1
1997-02-25,1,1
1997-03-04,1,1
1997-03-18,2,1
1997-04-25,9,2
1997-06-20,1,1
1997-06-23,3,2
1997-06-28,1,1
1997-08-02,1,1
1997-08-05,1,1
1997-08-25,1,1
1997-10-23,1,1
1997-11-12,3,1
1997-11-13,1,1
1997-11-22,4,1
1997-11-27,8,4
1997-12-04,1,1
1997-12-09,3,1
1998-02-25,4,3
1998-03-13,1,1
1998-05-06,3,2
1998-05-26,1,1
1998-07-21,1,1
1998-08-12,5,3
1998-08-20,2,1
1998-09-23,2,1
1998-10-28,1,1
1998-10-30,2,1
1998-11-03,1,1
1998-11-14,1,1
1998-11-16,5,1
1998-11-17,3,2
1998-11-19,1,1
1998-12-01,1,1
1998-12-29,1,1
1999-01-13,4,1
1999-01-14,2,1
1999-01-29,1,1
1999-02-24,1,1
1999-03-12,2,1
1999-03-18,2,1
1999-04-08,1,1
1999-06-07,1,1
1999-06-09,1,1
1999-07-06,1,1
1999-08-06,3,1
1999-08-13,1,1
1999-08-17,1,1
1999-08-20,1,1
1999-09-13,2,1
1999-10-06,1,1
1999-10-20,2,1
1999-11-17,1,1
2000-01-05,1,1
2000-01-12,1,1
2000-01-25,1,1
2000-04-07,1,1
2000-04-22,1,1
2001-02-09,1,1
2001-02-12,1,1
2001-02-14,2,2
2001-02-20,1,1
2001-02-22,1,1
2001-02-28,1,1
2001-03-02,1,1
2001-03-20,2,1
2001-03-30,4,2
2001-03-31,1,1
2001-04-11,1,1
2001-04-17,2,1
2001-04-18,1,1
2001-04-23,1,1
2001-04-24,2,2
2001-04-27,1,1
2001-05-02,1,1
2001-05-07,3,1
2001-05-19,1,1
2001-05-22,1,1
2001-05-26,3,1
2001-05-29,1,1
2001-06-08,2,2
2001-06-13,3,3
2001-06-14,1,1
2001-06-15,2,1
2001-06-18,1,1
2001-06-27,2,1
2001-07-03,4,2
2001-07-06,1,1
2001-07-09,2,1
2001-07-11,2,1
2001-07-17,1,1
2001-07-19,3,3
2001-07-20,2,2
2001-07-24,8,2
2001-07-26,2,1
2001-07-28,1,1
2001-08-06,1,1
2001-08-10,1,1
2001-08-16,3,1
2001-09-04,1,1
2001-09-17,1,1
2001-09-18,1,1
2001-10-02,2,1
2001-10-04,1,1
2001-10-26,7,3
2001-11-05,1,1
2001-11-08,3,2
2001-11-12,3,1
2001-11-13,4,1
2001-11-20,1,1
2001-11-21,1,1
2001-11-22,2,1
2001-11-27,1,1
2001-12-17,1,1
2001-12-28,1,1
2001-12-31,1,1
2002-01-16,2,1
2002-01-17,1,1
2002-01-21,1,1
2002-01-23,1,1
2002-02-04,1,1
2002-02-15,2,1
2002-02-16,2,2
2002-02-28,2,1
2002-03-02,1,1
2002-03-07,2,1
2002-03-15,2,1
2002-03-20,1,1
2002-03-25,1,1
2002-03-26,4,2
2002-04-18,2,1
2002-04-30,1,1
2002-05-17,1,1
2002-05-23,1,1
2002-05-31,1,1
2002-06-21,3,2
2002-08-13,1,1
2002-08-14,2,1
2002-08-15,2,1
2002-08-16,1,1
2002-08-17,1,1
2002-08-22,1,1
2002-09-02,3,1
2002-09-03,1,1
2002-09-05,1,1
2002-09-06,1,1
2002-09-21,1,1
2002-09-24,1,1
2002-09-26,4,2
2002-10-09,2,1
2002-10-23,3,2
2002-10-30,1,1
2002-11-02,7,1
2002-11-18,1,1
2002-11-22,2,1
2002-12-10,1,1
2002-12-13,2,1
2002-12-21,1,1
2003-01-13,1,1
2003-01-17,3,1
2003-01-21,4,1
2003-02-05,1,1
2003-02-06,1,1
2003-02-14,1,1
2003-02-17,1,1
2003-02-18,1,1
2003-02-26,8,1
2003-02-27,3,2
2003-03-11,1,1
2003-05-02,1,1
2003-05-10,1,1
2003-05-13,1,1
2003-05-17,2,1
2003-05-20,7,2
2003-05-22,2,1
2003-05-24,2,1
2003-05-31,1,1
2003-06-05,1,1
2003-06-13,2,2
2003-06-25,1,1
2003-06-27,1,1
2003-07-01,15,4
2003-07-02,4,1
2003-07-05,2,1
2003-07-17,1,1
2003-07-19,1,1
2003-07-23,1,1
2003-07-26,1,1
2003-07-29,1,1
2003-08-04,2,1
2003-08-13,1,1
2003-08-16,2,2
2003-08-25,8,1
2003-08-29,9,3
2003-09-03,4,1
2003-09-05,1,1
2003-09-09,1,1
2003-09-12,1,1
2003-09-19,1,1
2003-09-23,1,1
2003-09-25,1,1
2003-09-30,1,1
2003-10-04,1,1
2003-10-07,2,2
2003-10-17,1,1
2003-10-21,1,1
2003-10-23,1,1
2003-10-25,1,1
2003-11-10,1,1
2003-11-13,2,1
2003-11-18,1,1
2003-11-25,1,1
2003-11-26,1,1
2003-12-04,5,3
2003-12-12,1,1
2003-12-13,6,1
2003-12-16,5,1
2004-01-06,2,1
2004-01-16,1,1
2004-01-17,1,1
2004-01-21,1,1
2004-02-18,1,1
2004-02-20,1,1
2004-02-25,3,1
