date,hit_count,text_count
2004-03-22,1,1
2004-10-01,1,1
2005-09-29,1,1
2006-04-25,1,1
2006-05-18,1,1
2006-08-16,1,1
2006-11-06,1,1
2006-11-07,1,1
2006-11-17,1,1
2006-11-18,1,1
2006-11-30,1,1
2006-12-02,1,1
2006-12-06,1,1
2006-12-16,1,1
2007-01-26,1,1
2007-02-03,1,1
2007-02-06,1,1
2007-02-07,1,1
2007-02-10,1,1
2007-02-12,1,1
2007-02-13,1,1
2007-02-24,2,2
2007-03-05,1,1
2007-03-08,1,1
2007-03-17,1,1
2007-03-19,1,1
2007-03-23,1,1
2007-04-14,1,1
2007-04-24,1,1
2007-05-05,2,2
2007-05-15,1,1
2007-05-17,1,1
2007-05-30,1,1
2007-06-01,1,1
2007-06-04,1,1
2007-06-05,1,1
2007-06-07,1,1
2007-06-09,1,1
2007-07-06,1,1
2007-09-26,1,1
2007-10-05,1,1
2007-10-06,1,1
2007-10-13,1,1
2007-11-21,1,1
2007-12-03,1,1
2007-12-08,3,3
2007-12-10,1,1
2007-12-17,2,2
2007-12-28,1,1
2008-01-17,1,1
2008-01-19,1,1
2008-05-26,1,1
2009-01-07,1,1
2009-01-08,1,1
2009-01-09,1,1
2009-01-13,1,1
2009-01-23,1,1
2009-02-07,1,1
2009-02-20,1,1
2009-04-03,1,1
2009-05-08,1,1
2009-05-11,1,1
2009-07-07,1,1
2009-10-14,2,2
2009-12-28,1,1
2010-01-27,1,1
2010-02-13,1,1
2010-04-23,1,1
2010-05-07,1,1
2010-06-11,1,1
2010-06-12,1,1
2010-10-09,1,1
2010-11-15,1,1
2010-11-16,1,1
2010-11-18,1,1
2010-12-13,1,1
2011-03-14,1,1
2011-09-12,1,1
2011-09-20,1,1
2011-11-25,1,1
2011-11-28,1,1
2011-12-09,1,1
2012-03-31,1,1
2012-04-10,1,1
2012-04-17,1,1
2012-04-20,1,1
2012-08-09,2,2
2012-09-08,1,1
2013-02-27,1,1
2013-05-22,1,1
2013-10-10,1,1
2013-10-24,1,1
2014-05-21,1,1
2014-05-27,1,1
2014-09-18,1,1
