date,hit_count,text_count
2004-03-20,1,1
2004-03-22,1,1
2004-03-27,1,1
2004-05-06,1,1
2004-05-28,1,1
2004-05-29,2,2
2004-08-27,1,1
2004-11-03,1,1
2004-11-24,1,1
2004-12-07,1,1
2004-12-22,1,1
2004-12-28,1,1
2004-12-31,1,1
2005-02-05,1,1
2005-02-18,1,1
2005-02-21,1,1
2005-02-24,1,1
2005-03-03,1,1
2005-03-10,1,1
2005-03-22,1,1
2005-05-07,1,1
2005-07-01,1,1
2005-07-02,1,1
2005-07-04,1,1
2005-07-06,1,1
2005-07-08,1,1
2005-07-09,1,1
2005-09-02,1,1
2005-09-06,1,1
2005-09-29,2,2
2005-10-12,1,1
2005-10-13,1,1
2005-12-05,2,2
2006-01-09,1,1
2006-01-31,1,1
2006-02-03,1,1
2006-02-10,1,1
2006-03-17,1,1
2006-03-18,1,1
2006-04-01,1,1
2006-04-10,1,1
2006-04-29,1,1
2006-05-03,1,1
2006-06-07,1,1
2006-06-17,1,1
2006-07-12,1,1
2006-07-31,1,1
2006-08-01,1,1
2006-08-21,1,1
2006-10-13,1,1
2006-10-16,1,1
2006-10-31,1,1
2006-11-06,1,1
2006-11-13,1,1
2006-11-14,2,2
2006-12-15,1,1
2006-12-30,1,1
2007-01-10,1,1
2007-01-13,1,1
2007-01-19,1,1
2007-01-26,3,3
2007-02-03,1,1
2007-02-06,1,1
2007-02-08,1,1
2007-02-10,1,1
2007-02-13,1,1
2007-02-28,1,1
2007-03-05,2,2
2007-03-08,1,1
2007-03-10,1,1
2007-03-13,1,1
2007-03-17,1,1
2007-03-23,1,1
2007-03-27,1,1
2007-03-29,1,1
2007-04-07,2,2
2007-04-12,1,1
2007-04-14,3,3
2007-04-16,4,4
2007-04-18,2,2
2007-04-20,2,2
2007-04-25,2,2
2007-04-26,1,1
2007-04-30,1,1
2007-05-03,1,1
2007-05-04,1,1
2007-05-17,1,1
2007-05-19,1,1
2007-05-24,1,1
2007-05-25,3,3
2007-05-29,2,2
2007-06-02,1,1
2007-06-04,1,1
2007-06-05,2,2
2007-06-06,2,2
2007-06-07,4,4
2007-06-09,1,1
2007-06-11,1,1
2007-06-12,1,1
2007-06-28,1,1
2007-06-29,1,1
2007-07-03,1,1
2007-07-04,1,1
2007-07-09,1,1
2007-07-12,1,1
2007-07-17,1,1
2007-07-18,3,3
2007-07-20,1,1
2007-07-30,1,1
2007-08-04,1,1
2007-08-06,1,1
2007-08-11,1,1
2007-08-15,1,1
2007-08-16,1,1
2007-08-18,1,1
2007-08-22,1,1
2007-08-24,1,1
2007-08-30,1,1
2007-08-31,1,1
2007-09-03,1,1
2007-09-19,1,1
2007-09-26,1,1
2007-10-11,1,1
2007-10-15,1,1
2007-11-13,1,1
2007-11-14,1,1
2007-11-19,1,1
2007-11-20,2,2
2007-11-27,1,1
2007-11-29,1,1
2007-11-30,1,1
2007-12-03,1,1
2007-12-07,2,2
2007-12-08,1,1
2007-12-10,1,1
2007-12-11,1,1
2007-12-13,2,2
2007-12-14,3,3
2007-12-20,1,1
2007-12-31,1,1
2008-01-02,1,1
2008-01-11,1,1
2008-01-19,1,1
2008-01-23,1,1
2008-02-01,1,1
2008-02-04,1,1
2008-02-22,1,1
2008-04-12,1,1
2008-04-16,1,1
2008-04-18,1,1
2008-04-21,1,1
2008-04-23,1,1
2008-04-26,1,1
2008-05-10,1,1
2008-05-13,1,1
2008-05-19,1,1
2008-05-20,2,2
2008-05-24,1,1
2008-05-27,2,2
2008-05-28,1,1
2008-06-02,1,1
2008-06-12,2,2
2008-06-16,1,1
2008-06-19,1,1
2008-06-27,1,1
2008-07-02,1,1
2008-07-05,1,1
2008-07-08,1,1
2008-07-09,2,2
2008-07-10,1,1
2008-07-19,1,1
2008-07-23,1,1
2008-07-26,2,2
2008-08-12,1,1
2008-08-19,1,1
2008-08-30,1,1
2008-09-04,1,1
2008-09-06,2,2
2008-09-12,1,1
2008-09-17,1,1
2008-09-29,1,1
2008-09-30,1,1
2008-10-11,1,1
2008-10-14,1,1
2008-10-17,1,1
2008-10-22,3,3
2008-10-31,1,1
2008-11-11,1,1
2008-11-12,1,1
2008-11-13,1,1
2008-11-18,1,1
2008-11-26,1,1
2008-12-02,1,1
2008-12-08,1,1
2008-12-11,1,1
2008-12-13,1,1
2008-12-22,1,1
2008-12-31,1,1
2009-01-02,1,1
2009-01-05,2,2
2009-01-13,1,1
2009-01-24,1,1
2009-01-28,1,1
2009-01-29,1,1
2009-02-04,1,1
2009-02-16,1,1
2009-02-19,1,1
2009-03-14,1,1
2009-03-17,1,1
2009-03-18,1,1
2009-03-21,1,1
2009-04-02,1,1
2009-04-18,1,1
2009-04-27,1,1
2009-05-25,1,1
2009-05-29,1,1
2009-05-30,2,2
2009-06-02,1,1
2009-06-06,1,1
2009-06-18,1,1
2009-06-24,1,1
2009-06-27,1,1
2009-07-07,1,1
2009-07-08,1,1
2009-07-10,3,3
2009-07-11,2,2
2009-07-14,1,1
2009-08-01,1,1
2009-08-13,1,1
2009-08-19,1,1
2009-08-22,1,1
2009-09-01,1,1
2009-09-09,1,1
2009-09-23,2,2
2009-09-26,1,1
2009-10-01,1,1
2009-10-03,1,1
2009-10-10,1,1
2009-10-14,2,2
2009-10-17,1,1
2009-10-20,1,1
2009-10-28,2,2
2009-10-31,1,1
2009-11-02,1,1
2009-11-03,1,1
2009-11-04,1,1
2009-11-10,1,1
2009-11-24,1,1
2009-12-05,1,1
2009-12-07,3,3
2009-12-10,1,1
2009-12-11,1,1
2009-12-14,2,2
2009-12-16,1,1
2009-12-19,3,3
2009-12-21,3,3
2009-12-22,1,1
2009-12-23,1,1
2009-12-24,1,1
2009-12-31,1,1
2010-01-13,1,1
2010-01-14,1,1
2010-01-19,1,1
2010-01-23,1,1
2010-01-26,1,1
2010-01-27,1,1
2010-01-29,1,1
2010-02-03,1,1
2010-02-04,1,1
2010-02-05,2,2
2010-02-10,1,1
2010-02-19,1,1
2010-03-08,1,1
2010-03-17,1,1
2010-03-20,1,1
2010-03-25,1,1
2010-04-16,1,1
2010-05-03,1,1
2010-05-05,2,2
2010-05-08,1,1
2010-06-08,2,2
2010-06-12,1,1
2010-06-14,1,1
2010-06-26,1,1
2010-07-05,1,1
2010-07-15,1,1
2010-07-16,2,2
2010-07-21,1,1
2010-07-28,1,1
2010-08-05,1,1
2010-08-11,1,1
2010-08-16,1,1
2010-08-25,1,1
2010-08-30,1,1
2010-09-08,1,1
2010-09-22,1,1
2010-09-27,1,1
2010-10-04,1,1
2010-10-06,1,1
2010-10-11,1,1
2010-10-14,1,1
2010-11-12,1,1
2010-11-15,1,1
2010-11-18,1,1
2010-11-19,1,1
2010-11-30,1,1
2010-12-07,1,1
2010-12-08,1,1
2010-12-10,1,1
2010-12-13,1,1
2010-12-17,2,2
2011-01-12,1,1
2011-01-20,1,1
2011-01-31,1,1
2011-02-02,1,1
2011-02-24,1,1
2011-03-02,1,1
2011-03-16,1,1
2011-03-22,1,1
2011-03-24,1,1
2011-03-28,1,1
2011-04-01,1,1
2011-04-02,1,1
2011-05-04,1,1
2011-05-12,1,1
2011-05-13,1,1
2011-05-14,1,1
2011-05-18,1,1
2011-05-23,1,1
2011-05-24,1,1
2011-05-25,1,1
2011-05-27,1,1
2011-05-30,1,1
2011-06-08,1,1
2011-06-11,1,1
2011-06-15,1,1
2011-06-17,1,1
2011-06-28,1,1
2011-07-04,1,1
2011-07-08,1,1
2011-07-26,1,1
2011-07-30,1,1
2011-08-06,1,1
2011-08-30,1,1
2011-08-31,1,1
2011-09-02,1,1
2011-09-12,1,1
2011-09-14,2,2
2011-09-16,2,2
2011-09-21,1,1
2011-09-22,1,1
2011-09-28,1,1
2011-10-05,1,1
2011-10-07,1,1
2011-11-11,1,1
2011-11-24,1,1
2011-12-03,1,1
2011-12-08,1,1
2011-12-09,1,1
2011-12-10,1,1
2011-12-12,1,1
2011-12-15,1,1
2011-12-17,1,1
2011-12-28,1,1
2011-12-30,1,1
2012-01-07,1,1
2012-02-01,1,1
2012-02-04,1,1
2012-02-07,1,1
2012-03-01,1,1
