date,hit_count,text_count
2004-03-29,1,1
2004-04-05,1,1
2004-05-28,2,2
2004-07-28,1,1
2004-12-03,1,1
2004-12-09,1,1
2005-02-17,1,1
2005-03-10,1,1
2005-03-18,1,1
2005-07-07,1,1
2005-07-28,1,1
2005-09-09,1,1
2005-10-18,1,1
2005-11-08,1,1
2006-01-20,1,1
2006-01-25,1,1
2006-02-03,1,1
2006-03-01,1,1
2006-04-01,1,1
2006-04-05,1,1
2006-05-18,1,1
2006-08-16,1,1
2006-10-02,1,1
2006-10-25,1,1
2006-10-30,1,1
2006-11-18,1,1
2006-11-30,1,1
2006-12-04,2,2
2006-12-06,1,1
2006-12-18,1,1
2006-12-29,1,1
2006-12-30,1,1
2007-01-10,1,1
2007-01-11,1,1
2007-01-19,1,1
2007-01-26,1,1
2007-02-05,1,1
2007-02-06,1,1
2007-02-08,2,2
2007-02-24,1,1
2007-02-28,1,1
2007-03-10,2,2
2007-03-12,1,1
2007-03-15,1,1
2007-03-17,1,1
2007-03-20,1,1
2007-04-05,2,2
2007-04-16,1,1
2007-04-25,1,1
2007-05-11,1,1
2007-05-17,1,1
2007-05-25,1,1
2007-05-26,1,1
2007-06-01,1,1
2007-06-05,1,1
2007-06-11,1,1
2007-06-25,1,1
2007-06-28,1,1
2007-06-30,1,1
2007-07-09,1,1
2007-07-28,2,2
2007-08-31,2,2
2007-10-09,1,1
2007-10-18,1,1
2007-10-30,1,1
2007-11-10,1,1
2007-11-12,2,2
2007-11-16,1,1
2007-11-19,2,2
2007-11-20,1,1
2007-11-21,1,1
2007-12-06,1,1
2007-12-07,1,1
2007-12-24,1,1
2008-01-09,1,1
2008-01-12,1,1
2008-01-21,1,1
2008-01-23,1,1
2008-01-24,1,1
2008-01-30,1,1
2008-02-01,1,1
2008-04-26,1,1
2008-05-30,1,1
2008-06-24,1,1
2008-06-30,1,1
2008-07-10,1,1
2008-08-06,1,1
2008-10-10,1,1
2008-11-03,1,1
2008-11-17,2,2
2008-11-22,1,1
2008-11-25,1,1
2008-11-26,1,1
2008-12-02,1,1
2008-12-10,1,1
2008-12-13,1,1
2008-12-19,1,1
2009-01-05,1,1
2009-02-04,1,1
2009-02-17,1,1
2009-03-05,1,1
2009-03-11,1,1
2009-03-18,1,1
2009-04-06,1,1
2009-06-03,1,1
2009-06-04,1,1
2009-06-23,1,1
2009-07-01,1,1
2009-07-09,1,1
2009-08-20,1,1
2009-08-29,1,1
2009-09-07,1,1
2009-09-11,1,1
2009-09-23,1,1
2009-09-24,1,1
2009-10-01,1,1
2009-10-14,2,2
2009-10-20,1,1
2009-10-27,1,1
2009-10-28,2,2
2009-12-07,2,2
2009-12-22,1,1
2009-12-28,1,1
2009-12-30,1,1
2010-01-07,1,1
2010-01-14,1,1
2010-01-23,2,2
2010-01-26,1,1
2010-02-23,1,1
2010-02-25,1,1
2010-04-23,1,1
2010-06-08,1,1
2010-06-24,1,1
2010-07-05,1,1
2010-08-13,1,1
2010-09-08,1,1
2010-09-13,1,1
2010-09-20,1,1
2010-10-05,1,1
2010-10-09,1,1
2010-12-06,1,1
2010-12-14,1,1
2010-12-17,1,1
2011-01-17,1,1
2011-03-08,1,1
2011-03-26,1,1
2011-04-07,1,1
2011-04-27,1,1
2011-05-09,1,1
2011-05-13,1,1
2011-05-18,1,1
2011-05-26,1,1
2011-07-06,1,1
2011-08-11,1,1
2011-08-31,1,1
2011-09-02,2,2
2011-09-24,1,1
2011-10-11,1,1
2011-11-03,2,2
2011-11-09,1,1
2011-11-10,1,1
2011-11-24,1,1
2011-11-29,1,1
2011-12-23,2,2
2011-12-30,1,1
2012-01-06,1,1
2012-02-02,2,2
2012-02-07,1,1
2012-02-25,1,1
2012-03-02,1,1
2012-03-07,2,2
2012-03-08,2,2
2012-03-12,1,1
2012-03-15,1,1
2012-03-17,1,1
2012-03-31,2,2
2012-04-05,2,2
2012-04-13,2,2
2012-04-20,3,3
2012-04-23,1,1
2012-04-25,1,1
2012-04-30,2,2
2012-05-19,1,1
2012-05-26,1,1
2012-06-25,1,1
2012-08-20,1,1
2012-08-21,1,1
2012-09-06,1,1
2012-09-21,1,1
2012-09-26,1,1
2012-10-13,1,1
2012-10-22,1,1
2012-10-31,1,1
2012-11-24,1,1
2012-11-28,1,1
2012-12-17,1,1
2012-12-27,1,1
2013-01-19,1,1
2013-04-09,1,1
2013-04-18,1,1
2013-04-27,1,1
2013-05-10,1,1
2013-05-16,1,1
2013-06-13,1,1
2013-06-26,1,1
2013-07-08,1,1
2013-07-29,1,1
2013-08-29,1,1
2013-09-16,1,1
2013-09-18,1,1
2013-10-01,2,2
2013-10-19,1,1
2013-10-21,1,1
2013-10-29,1,1
2013-11-13,2,2
2013-11-15,1,1
2013-12-05,1,1
2013-12-17,1,1
2014-01-07,1,1
2014-01-23,2,2
2014-02-08,1,1
2014-02-21,1,1
2014-02-22,1,1
2014-02-27,1,1
2014-03-01,1,1
2014-04-14,1,1
2014-05-08,1,1
2014-05-09,2,2
2014-05-19,1,1
2014-05-21,1,1
2014-05-23,1,1
2014-05-27,1,1
2014-06-24,1,1
2014-09-13,1,1
2014-09-20,1,1
2014-09-24,2,2
2014-10-21,1,1
2014-10-25,3,3
2014-11-01,1,1
2014-11-15,1,1
2014-12-15,1,1
2015-02-12,1,1
2015-02-18,1,1
2015-02-19,1,1
2015-02-20,1,1
2015-02-23,2,2
2015-03-10,1,1
2015-03-26,1,1
2015-04-04,1,1
2015-04-16,1,1
2015-04-23,1,1
2015-04-29,1,1
2015-04-30,1,1
2015-05-19,1,1
2015-06-03,1,1
2015-06-09,2,2
2015-06-12,1,1
2015-07-02,1,1
2015-07-15,1,1
2015-07-18,1,1
2015-08-04,1,1
2015-08-18,1,1
2015-08-27,1,1
2015-09-22,1,1
2015-10-08,1,1
2015-10-09,1,1
2015-10-16,1,1
2015-10-19,1,1
2015-10-30,2,2
2015-11-05,1,1
2015-11-27,2,2
2015-11-30,2,2
2015-12-04,1,1
2015-12-09,1,1
2016-01-08,1,1
2016-01-09,1,1
2016-01-21,1,1
2016-02-08,1,1
2016-02-25,1,1
2016-02-27,1,1
2016-05-04,1,1
2016-06-15,1,1
2016-08-13,1,1
2016-08-19,1,1
2016-08-22,1,1
2016-08-26,1,1
2016-08-30,1,1
2016-08-31,1,1
2016-09-13,1,1
2016-09-23,1,1
2016-09-27,1,1
2016-09-30,1,1
2016-11-14,1,1
2016-11-18,1,1
2016-12-09,1,1
2016-12-22,1,1
2017-02-14,1,1
2017-03-06,1,1
2017-03-13,1,1
2017-03-20,1,1
2017-03-30,1,1
2017-03-31,1,1
2017-05-05,4,4
2017-05-15,1,1
2017-05-24,1,1
2017-06-03,2,2
2017-07-28,1,1
2017-08-25,1,1
2017-08-26,1,1
2017-09-01,1,1
2017-10-30,1,1
2017-11-04,1,1
2017-11-06,1,1
2017-11-07,1,1
2017-11-08,1,1
2017-11-11,1,1
2017-11-13,1,1
2017-11-14,1,1
2018-02-02,1,1
2018-02-05,1,1
2018-03-31,1,1
2018-05-01,2,2
2018-05-05,1,1
2018-05-15,1,1
2018-06-13,1,1
2018-07-21,1,1
2018-07-30,1,1
2018-08-13,1,1
2018-08-17,1,1
2018-08-31,3,3
2018-09-11,1,1
2018-09-27,1,1
2018-10-01,1,1
2018-10-24,1,1
2018-11-16,1,1
2018-12-15,1,1
2018-12-27,1,1
2019-01-04,1,1
2019-01-09,2,2
2019-01-11,1,1
2019-01-14,1,1
2019-01-19,1,1
2019-01-23,1,1
2019-01-24,1,1
2019-01-29,2,2
2019-02-02,1,1
2019-03-27,1,1
2019-04-12,1,1
2019-04-20,1,1
2019-04-24,1,1
2019-04-25,1,1
2019-04-27,1,1
2019-05-07,1,1
2019-05-15,1,1
2019-05-31,1,1
2019-06-06,1,1
2019-06-12,1,1
2019-06-15,1,1
2019-07-18,1,1
2019-07-22,2,2
2019-07-25,1,1
2019-08-21,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-08-30,1,1
2019-09-06,1,1
2019-09-16,1,1
2019-09-19,2,2
2019-09-24,1,1
2019-10-26,2,2
2019-11-08,1,1
2019-11-12,1,1
2019-11-13,2,2
2019-11-15,1,1
2019-11-18,1,1
2019-12-06,1,1
2019-12-13,1,1
2019-12-14,1,1
2019-12-17,1,1
2019-12-27,1,1
2019-12-28,1,1
2020-01-03,1,1
2020-01-06,1,1
2020-01-07,1,1
2020-01-08,1,1
2020-01-16,1,1
2020-01-22,2,2
2020-01-25,1,1
2020-01-28,1,1
2020-01-30,1,1
2020-02-05,1,1
2020-02-07,1,1
2020-02-13,1,1
2020-02-15,2,2
2020-02-28,1,1
2020-02-29,1,1
2020-03-14,2,2
2020-03-27,1,1
2020-05-30,1,1
2020-06-02,1,1
2020-06-10,1,1
2020-06-16,2,2
2020-06-25,1,1
2020-06-26,1,1
2020-06-27,1,1
2020-07-25,1,1
2020-08-14,1,1
2020-08-20,1,1
2020-08-27,1,1
2020-09-07,2,2
2020-09-09,1,1
2020-09-12,1,1
2020-09-24,1,1
2020-10-02,1,1
2020-10-17,1,1
2020-11-09,3,3
2020-11-10,1,1
2020-11-11,1,1
2020-11-19,1,1
2020-12-17,1,1
2020-12-18,2,2
2021-01-04,1,1
2021-01-07,1,1
2021-01-13,1,1
2021-01-15,1,1
2021-02-23,1,1
2021-03-02,1,1
2021-03-03,1,1
2021-03-16,1,1
2021-03-17,1,1
2021-03-20,2,2
2021-03-30,1,1
2021-04-03,1,1
2021-04-13,1,1
2021-04-30,2,2
2021-05-01,1,1
2021-05-05,1,1
2021-05-06,1,1
2021-05-07,1,1
2021-05-10,1,1
2021-05-11,1,1
2021-05-14,1,1
2021-05-17,1,1
2021-05-27,2,2
2021-05-28,1,1
2021-06-02,1,1
2021-06-12,1,1
2021-06-14,1,1
2021-06-19,1,1
2021-06-21,1,1
2021-06-22,1,1
2021-06-25,2,2
2021-06-26,1,1
2021-07-05,1,1
2021-07-07,1,1
2021-07-12,1,1
2021-07-13,1,1
2021-07-17,1,1
2021-07-28,1,1
2021-08-09,1,1
2021-08-21,1,1
2021-08-25,1,1
2021-09-04,1,1
2021-09-10,1,1
2021-09-14,1,1
2021-09-20,1,1
2021-09-23,1,1
2021-09-28,1,1
2021-10-02,2,2
2021-10-12,1,1
2021-10-15,1,1
2021-10-16,2,2
2021-10-18,1,1
2021-10-28,1,1
2021-10-30,2,2
2021-11-09,1,1
2021-11-19,1,1
2021-11-22,1,1
2021-11-26,1,1
2021-12-02,1,1
2021-12-06,1,1
2021-12-08,1,1
2021-12-16,1,1
2021-12-17,1,1
2021-12-18,1,1
2021-12-31,1,1
2022-01-04,1,1
2022-01-05,1,1
2022-01-06,1,1
2022-01-11,1,1
2022-01-12,3,3
2022-01-14,1,1
2022-01-17,1,1
2022-01-20,1,1
2022-01-26,1,1
2022-01-29,2,2
2022-01-31,2,2
2022-02-05,1,1
2022-02-10,1,1
2022-02-21,2,2
2022-02-23,1,1
2022-03-03,1,1
2022-03-08,2,2
2022-03-15,1,1
2022-03-22,1,1
2022-03-26,1,1
2022-03-28,1,1
2022-03-29,1,1
2022-04-01,1,1
2022-04-05,1,1
2022-04-09,1,1
2022-04-20,1,1
2022-04-21,2,2
2022-04-29,2,2
2022-05-04,1,1
2022-05-10,1,1
2022-05-11,3,3
2022-05-12,1,1
2022-05-18,1,1
2022-05-20,1,1
2022-05-23,1,1
2022-05-30,1,1
2022-05-31,1,1
2022-06-10,1,1
2022-06-11,1,1
2022-06-22,1,1
2022-06-23,1,1
2022-06-27,1,1
2022-06-28,3,3
2022-06-29,1,1
2022-06-30,1,1
2022-07-06,1,1
2022-07-08,1,1
2022-07-13,1,1
2022-07-14,1,1
2022-07-19,2,2
2022-07-20,1,1
2022-07-23,1,1
2022-07-26,1,1
2022-07-28,1,1
2022-08-02,1,1
2022-08-03,1,1
2022-08-10,2,2
2022-08-18,1,1
2022-08-19,1,1
2022-08-20,1,1
2022-08-27,2,2
2022-08-30,1,1
2022-09-14,2,2
2022-09-16,2,2
2022-09-20,4,4
2022-09-22,1,1
2022-09-24,2,2
2022-09-26,1,1
2022-09-27,1,1
2022-09-30,1,1
2022-10-07,1,1
2022-10-13,1,1
2022-10-20,1,1
2022-10-21,1,1
2022-11-01,1,1
2022-11-12,1,1
2022-11-15,1,1
2022-11-19,2,2
2022-11-28,1,1
2022-11-29,1,1
2022-12-02,1,1
2022-12-06,1,1
2022-12-07,1,1
2022-12-17,1,1
2022-12-30,2,2
