date,hit_count,text_count
2002-01-19,1,1
2002-05-22,1,1
2002-08-13,1,1
2002-08-21,1,1
2002-08-29,1,1
2002-08-31,1,1
2002-09-02,1,1
2002-09-04,1,1
2002-09-05,1,1
2002-10-09,1,1
2002-11-09,1,1
2002-12-02,1,1
2002-12-18,1,1
2003-04-19,1,1
2003-10-11,1,1
2003-11-15,1,1
2003-11-26,1,1
2003-12-23,1,1
2004-03-19,1,1
2004-03-30,1,1
2004-03-31,1,1
2004-06-05,1,1
2004-07-05,1,1
2004-09-27,1,1
2004-11-23,1,1
2004-12-07,1,1
2004-12-10,1,1
2004-12-17,1,1
2004-12-18,1,1
2004-12-20,1,1
2004-12-22,1,1
2005-02-17,1,1
2005-02-23,1,1
2005-02-24,3,3
2005-03-11,2,2
2005-05-04,1,1
2005-05-12,1,1
2005-07-08,1,1
2005-07-09,1,1
2005-08-10,1,1
2005-08-15,2,2
2005-09-29,1,1
2005-11-24,2,2
2005-12-02,1,1
2005-12-12,1,1
2005-12-29,1,1
2006-02-17,1,1
2006-03-18,3,3
2006-04-25,1,1
2006-05-17,1,1
2006-11-06,1,1
2006-11-14,1,1
2006-12-04,1,1
2006-12-14,1,1
2007-01-29,1,1
2007-01-30,1,1
2007-02-05,1,1
2007-02-15,1,1
2007-02-17,1,1
2007-02-24,1,1
2007-03-02,1,1
2007-03-05,2,2
2007-03-08,3,3
2007-03-10,1,1
2007-03-12,1,1
2007-03-24,1,1
2007-04-05,1,1
2007-04-07,2,2
2007-05-01,1,1
2007-05-05,1,1
2007-05-08,3,3
2007-05-14,3,3
2007-05-15,1,1
2007-05-21,1,1
2007-05-22,1,1
2007-05-25,3,3
2007-05-29,2,2
2007-06-01,1,1
2007-06-04,1,1
2007-06-06,4,4
2007-06-07,5,5
2007-06-09,3,3
2007-06-11,2,2
2007-06-19,1,1
2007-07-04,1,1
2007-07-07,1,1
2007-07-09,1,1
2007-07-26,1,1
2007-08-13,1,1
2007-08-20,2,2
2007-08-25,1,1
2007-08-27,1,1
2007-09-13,2,2
2007-10-11,1,1
2007-10-17,1,1
2007-10-20,1,1
2007-10-24,1,1
2007-10-29,2,2
2007-11-08,1,1
2007-11-09,1,1
2007-11-22,1,1
2007-11-23,1,1
2007-12-05,1,1
2007-12-06,1,1
2007-12-07,1,1
2007-12-08,1,1
2007-12-14,1,1
2007-12-15,1,1
2008-01-11,1,1
2008-01-12,1,1
2008-01-24,2,2
2008-03-04,1,1
2008-03-06,1,1
2008-03-10,1,1
2008-03-20,1,1
2008-04-09,1,1
2008-04-19,1,1
2008-04-25,1,1
2008-04-26,2,2
2008-05-14,1,1
2008-05-21,1,1
2008-05-26,1,1
2008-05-31,1,1
2008-06-11,1,1
2008-06-12,1,1
2008-06-19,2,2
2008-06-20,1,1
2008-07-07,1,1
2008-07-08,1,1
2008-07-26,1,1
2008-08-18,1,1
2008-08-22,1,1
2008-09-11,1,1
2008-09-25,1,1
2008-10-16,2,2
2008-11-13,1,1
2008-11-22,1,1
2008-12-08,1,1
2008-12-13,1,1
2008-12-18,1,1
2008-12-23,1,1
2009-01-12,1,1
2009-01-15,1,1
2009-01-27,1,1
2009-02-02,1,1
2009-02-11,1,1
2009-02-23,1,1
2009-03-07,1,1
2009-03-17,1,1
2009-03-18,1,1
2009-04-11,2,2
2009-04-29,1,1
2009-05-09,1,1
2009-05-12,2,2
2009-06-06,1,1
2009-06-30,1,1
2009-07-10,1,1
2009-07-14,1,1
2009-09-21,1,1
2009-09-22,1,1
2009-10-29,1,1
2009-11-06,1,1
2009-11-21,1,1
2009-12-05,1,1
2009-12-08,2,2
2009-12-09,1,1
2009-12-11,1,1
2009-12-14,1,1
2009-12-17,1,1
2009-12-18,2,2
2009-12-19,2,2
2009-12-21,1,1
2010-02-05,1,1
2010-07-16,1,1
2010-07-17,1,1
2010-09-17,1,1
2010-10-21,1,1
2010-11-16,1,1
2010-11-30,2,2
2010-12-09,1,1
