date,hit_count,text_count
2005-08-01,1,1
2005-08-05,1,1
2005-08-24,1,1
2005-08-25,2,1
2005-08-27,1,1
2005-08-30,2,1
2005-08-31,2,1
2005-09-01,1,1
2005-09-02,1,1
2005-09-03,1,1
2005-09-05,1,1
2005-09-09,1,1
2005-09-13,1,1
2005-09-30,2,1
2005-10-01,2,2
2005-10-08,3,1
2005-10-13,1,1
2005-10-28,1,1
2005-10-29,1,1
2005-11-26,1,1
2005-11-29,3,1
2005-11-30,1,1
2005-12-06,1,1
2005-12-07,1,1
2005-12-08,1,1
2005-12-27,1,1
2006-01-05,1,1
2006-01-21,1,1
2006-01-30,1,1
2006-01-31,1,1
2006-02-13,1,1
2006-04-03,1,1
2006-04-07,3,1
2006-04-10,2,1
2006-04-13,9,4
2006-04-15,1,1
2006-04-24,1,1
2006-04-26,3,2
2006-04-27,1,1
2006-05-17,1,1
2006-05-19,1,1
2006-05-20,1,1
2006-05-22,1,1
2006-06-06,1,1
2006-06-07,3,2
2006-06-26,2,1
2006-06-28,1,1
2006-07-13,1,1
2006-07-15,1,1
2006-07-17,1,1
2006-07-22,2,1
2006-07-29,1,1
2006-08-21,1,1
2006-09-02,1,1
2006-09-11,1,1
2006-09-27,1,1
2006-10-12,1,1
2006-10-17,1,1
2006-10-28,1,1
2006-11-03,2,2
2006-11-04,3,2
2006-11-06,8,3
2006-11-07,5,1
2006-11-09,1,1
2006-11-10,2,1
2006-11-13,2,1
2006-11-14,1,1
2006-11-15,1,1
2006-11-16,1,1
2006-11-18,3,3
2006-12-04,3,3
2006-12-08,1,1
2006-12-11,1,1
2006-12-14,3,1
2006-12-15,2,1
2006-12-16,6,4
2006-12-27,5,3
2006-12-28,1,1
2006-12-29,5,3
2006-12-30,1,1
2007-01-05,3,2
2007-01-10,3,1
2007-01-13,1,1
2007-01-16,2,1
2007-01-17,1,1
2007-01-19,1,1
2007-01-20,1,1
2007-01-22,3,1
2007-01-29,1,1
2007-02-02,6,2
2007-02-03,4,3
2007-02-05,1,1
2007-02-06,2,1
2007-02-07,1,1
2007-02-08,5,2
2007-02-09,2,2
2007-02-10,7,5
2007-02-12,1,1
