date,hit_count,text_count
2003-11-06,1,1
2004-03-31,1,1
2004-07-08,1,1
2004-12-13,1,1
2005-05-11,1,1
2006-10-10,1,1
2006-10-12,1,1
2006-10-31,1,1
2006-12-01,1,1
2006-12-03,2,2
2007-01-26,1,1
2007-02-03,2,2
2007-02-13,1,1
2007-02-17,1,1
2007-02-23,1,1
2007-03-01,2,2
2007-03-02,1,1
2007-03-03,1,1
2007-03-06,2,2
2007-03-09,1,1
2007-03-14,1,1
2007-03-27,2,2
2007-03-28,1,1
2007-04-10,1,1
2007-04-14,1,1
2007-05-05,3,3
2007-05-08,1,1
2007-05-10,1,1
2007-05-25,1,1
2007-05-26,1,1
2007-05-30,1,1
2007-05-31,1,1
2007-06-26,1,1
2007-07-06,1,1
2007-07-09,1,1
2007-07-12,1,1
2007-07-18,1,1
2007-09-26,1,1
2007-10-13,1,1
2007-11-24,1,1
2007-11-27,1,1
2007-12-01,1,1
2007-12-08,2,2
2007-12-24,1,1
2008-01-06,2,2
2008-01-31,1,1
2008-02-09,1,1
2008-03-07,1,1
2008-04-28,1,1
2008-11-20,1,1
2008-12-18,1,1
2008-12-30,1,1
2009-02-12,1,1
2009-03-04,1,1
2009-04-25,1,1
2009-05-08,1,1
2009-05-14,2,2
2009-05-15,1,1
2009-06-17,1,1
2009-07-11,1,1
2009-07-13,1,1
2009-07-23,1,1
2009-09-01,1,1
2009-09-08,1,1
2009-09-23,1,1
2009-09-26,1,1
2009-11-04,1,1
2009-11-06,1,1
2009-11-20,1,1
2009-11-28,1,1
2009-12-07,1,1
2009-12-08,1,1
2009-12-14,1,1
2009-12-15,1,1
2009-12-17,1,1
2009-12-21,1,1
2009-12-30,1,1
2010-01-08,1,1
2010-03-02,1,1
2010-03-08,1,1
2010-03-09,1,1
2010-04-13,1,1
2010-04-14,1,1
2010-09-14,4,4
2010-11-29,1,1
2011-02-17,1,1
2011-04-07,1,1
2011-04-11,1,1
2011-04-23,2,2
2011-05-28,1,1
2011-07-05,1,1
2011-07-10,1,1
2011-10-04,1,1
2011-10-17,1,1
2011-10-26,1,1
2011-11-21,1,1
2011-11-26,1,1
2011-12-06,1,1
2011-12-07,1,1
2012-01-05,1,1
2012-01-17,1,1
2012-01-18,1,1
2012-02-20,1,1
2012-09-10,2,2
2012-11-13,2,2
2012-11-23,1,1
2012-12-10,1,1
2012-12-21,1,1
2013-03-20,1,1
2013-06-01,1,1
2013-10-09,1,1
2013-11-11,1,1
2013-11-23,1,1
2013-11-25,1,1
2014-04-14,1,1
2014-08-13,1,1
2014-09-19,1,1
2014-09-22,1,1
2014-09-25,1,1
2014-11-28,1,1
2015-11-06,1,1
2015-11-25,1,1
2015-11-26,1,1
2015-11-28,3,3
2015-11-30,1,1
2015-12-14,1,1
2016-02-26,1,1
2016-03-09,1,1
2016-04-22,1,1
2016-08-31,1,1
2016-09-01,1,1
2017-09-06,1,1
2017-11-10,1,1
2018-02-15,1,1
2018-04-18,1,1
2018-06-02,1,1
2018-07-21,1,1
2018-10-09,1,1
2018-11-27,1,1
2018-12-08,1,1
2018-12-15,1,1
2018-12-17,1,1
2019-02-13,1,1
2019-02-16,1,1
2019-03-09,1,1
2019-03-30,1,1
2019-04-16,1,1
2019-04-27,1,1
2019-05-03,1,1
2019-05-08,1,1
2019-05-22,1,1
2019-05-25,1,1
2019-06-05,1,1
2019-07-03,1,1
2019-07-05,1,1
2019-07-08,2,2
2019-07-18,1,1
2019-07-19,1,1
2019-07-24,1,1
2019-07-27,2,2
2019-07-29,1,1
2019-08-03,1,1
2019-08-09,1,1
2019-08-13,1,1
2019-08-19,1,1
2019-08-24,1,1
2019-08-30,1,1
2019-08-31,1,1
2019-09-02,1,1
2019-09-05,1,1
2019-09-09,1,1
2019-09-10,1,1
2019-09-12,1,1
2019-09-19,3,3
2019-09-20,3,3
2019-09-21,1,1
2019-09-23,2,2
2019-10-02,1,1
2019-10-05,2,2
2019-10-09,1,1
2019-10-10,1,1
2019-10-15,1,1
2019-10-17,1,1
2019-10-22,1,1
2019-10-28,1,1
2019-10-30,1,1
2019-11-02,1,1
2019-11-06,1,1
2019-11-12,1,1
2019-11-27,1,1
2019-11-29,4,4
2019-12-03,1,1
2019-12-09,1,1
2019-12-11,1,1
2019-12-17,1,1
2019-12-19,1,1
2019-12-20,1,1
2019-12-28,1,1
2020-01-14,1,1
2020-01-23,1,1
2020-02-01,1,1
2020-02-08,1,1
2020-02-13,1,1
2020-03-02,1,1
2020-03-28,1,1
2020-04-01,1,1
2020-04-09,1,1
2020-04-22,1,1
2020-05-02,1,1
2020-05-04,1,1
2020-05-16,1,1
2020-06-12,1,1
2020-06-16,1,1
2020-06-22,1,1
2020-07-09,1,1
2020-07-20,1,1
2020-08-20,1,1
2020-08-21,1,1
2020-08-26,1,1
2020-08-29,1,1
2020-08-31,1,1
2020-09-02,1,1
2020-09-03,1,1
2020-09-12,1,1
2020-09-15,1,1
2020-09-19,1,1
2020-09-24,2,2
2020-09-25,1,1
2020-10-02,1,1
2020-10-06,2,2
2020-10-07,1,1
2020-10-08,1,1
2020-10-14,1,1
2020-10-15,2,2
2020-10-19,1,1
2020-10-20,1,1
2020-11-11,1,1
2020-11-13,1,1
2020-11-16,1,1
2020-11-19,1,1
2020-11-20,1,1
2020-11-21,1,1
2020-12-02,1,1
2020-12-05,1,1
2020-12-10,1,1
2020-12-11,1,1
2020-12-18,1,1
2020-12-31,1,1
2021-01-02,1,1
2021-01-09,1,1
2021-01-12,1,1
2021-01-16,1,1
2021-01-20,1,1
2021-01-21,1,1
2021-02-09,1,1
2021-02-11,1,1
2021-02-17,1,1
2021-02-22,1,1
2021-03-08,1,1
2021-03-09,1,1
2021-03-11,1,1
2021-03-13,1,1
2021-04-03,2,2
2021-04-08,1,1
2021-04-12,1,1
2021-04-16,1,1
2021-04-17,2,2
2021-05-06,1,1
2021-05-08,1,1
2021-05-10,1,1
2021-05-15,1,1
2021-05-22,1,1
2021-06-05,1,1
2021-06-18,1,1
2021-06-24,1,1
2021-06-26,1,1
2021-06-30,1,1
2021-07-03,1,1
2021-07-06,1,1
2021-07-07,1,1
2021-07-14,1,1
2021-07-15,1,1
2021-07-19,1,1
2021-07-23,1,1
2021-07-24,1,1
2021-07-31,1,1
2021-08-10,2,2
2021-08-11,1,1
2021-08-14,1,1
2021-08-18,1,1
2021-08-21,1,1
2021-08-25,1,1
2021-08-26,1,1
2021-08-30,1,1
2021-09-06,1,1
2021-09-08,1,1
2021-09-09,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-15,2,2
2021-09-16,1,1
2021-09-18,1,1
2021-09-22,1,1
2021-09-28,1,1
2021-09-29,1,1
2021-10-13,1,1
2021-10-14,2,2
2021-10-27,1,1
2021-10-28,1,1
2021-11-03,1,1
2021-11-04,1,1
2021-11-06,1,1
2021-11-13,2,2
2021-11-17,1,1
2021-11-24,1,1
2021-11-25,1,1
2021-11-27,1,1
2021-12-21,1,1
2021-12-31,1,1
2022-01-07,1,1
2022-01-26,1,1
2022-01-31,1,1
2022-02-15,1,1
2022-02-24,1,1
2022-02-28,1,1
2022-03-01,1,1
2022-03-04,1,1
2022-03-05,1,1
2022-03-12,1,1
2022-03-15,2,2
2022-03-26,1,1
2022-04-01,1,1
2022-04-29,1,1
2022-05-02,1,1
2022-05-04,2,2
2022-05-11,2,2
2022-05-13,1,1
2022-05-14,1,1
2022-05-18,1,1
2022-05-20,1,1
2022-05-27,2,2
2022-06-11,1,1
2022-06-15,1,1
2022-06-22,1,1
2022-06-25,1,1
2022-06-28,2,2
2022-06-30,1,1
2022-07-13,1,1
2022-07-19,2,2
2022-07-20,2,2
2022-07-29,1,1
2022-07-30,1,1
2022-08-05,1,1
2022-08-06,1,1
2022-08-08,1,1
2022-08-10,1,1
2022-08-11,1,1
2022-08-26,1,1
2022-08-30,1,1
2022-08-31,1,1
2022-09-01,1,1
2022-09-02,1,1
2022-09-07,1,1
2022-09-09,1,1
2022-09-14,1,1
2022-09-23,1,1
2022-09-24,3,3
2022-09-26,1,1
2022-09-28,1,1
2022-10-05,1,1
2022-10-07,1,1
2022-10-08,2,2
2022-10-12,2,2
2022-10-13,1,1
2022-10-17,2,2
2022-10-19,1,1
2022-10-22,1,1
2022-10-26,1,1
2022-11-05,3,3
2022-11-07,1,1
2022-11-11,1,1
2022-11-12,3,3
2022-11-14,1,1
2022-11-19,1,1
2022-11-21,2,2
2022-11-22,1,1
2022-12-08,1,1
2022-12-14,1,1
2022-12-16,1,1
2022-12-17,1,1
2022-12-22,1,1
2022-12-23,1,1
2022-12-28,2,2
