date,hit_count,text_count
2003-09-05,1,1
2003-09-17,1,1
2004-02-19,1,1
2004-02-28,1,1
2004-03-06,1,1
2004-04-01,1,1
2004-04-03,1,1
2004-04-05,1,1
2004-05-04,1,1
2004-06-01,2,2
2004-06-02,1,1
2004-06-04,2,2
2004-06-05,1,1
2004-09-04,1,1
2004-10-08,1,1
2004-11-27,1,1
2004-12-13,1,1
2005-01-29,1,1
2005-02-23,1,1
2005-02-28,1,1
2005-03-16,1,1
2005-04-13,1,1
2005-04-14,1,1
2005-04-16,1,1
2005-04-23,1,1
2005-04-28,1,1
2005-05-30,1,1
2005-06-14,1,1
2005-06-17,1,1
2005-07-28,1,1
2005-08-06,1,1
2005-08-30,1,1
2005-10-06,1,1
2005-10-14,2,2
2005-10-21,2,2
2005-12-09,1,1
2005-12-20,3,3
2005-12-24,1,1
2006-01-20,1,1
2006-01-28,1,1
2006-02-11,2,2
2006-02-13,1,1
2006-02-26,1,1
2006-03-18,1,1
2006-03-24,1,1
2006-04-01,1,1
2006-04-04,1,1
2006-06-23,1,1
2006-07-12,1,1
2006-07-17,1,1
2006-08-28,1,1
2006-09-19,2,2
2006-10-27,1,1
2006-11-13,1,1
2006-11-17,2,2
2006-11-18,1,1
2006-12-01,1,1
2006-12-03,2,2
2006-12-06,1,1
2006-12-09,1,1
2006-12-15,1,1
2006-12-19,1,1
2006-12-20,1,1
2006-12-28,1,1
2006-12-29,1,1
2007-01-03,1,1
2007-01-08,1,1
2007-01-09,1,1
2007-01-24,2,2
2007-01-26,2,2
2007-01-30,1,1
2007-02-01,1,1
2007-02-02,1,1
2007-02-04,3,3
2007-02-05,1,1
2007-02-07,1,1
2007-02-13,2,2
2007-02-14,1,1
2007-02-16,1,1
2007-02-17,1,1
2007-02-21,1,1
2007-02-22,1,1
2007-02-24,1,1
2007-02-28,1,1
2007-03-09,1,1
2007-03-10,2,2
2007-03-12,1,1
2007-03-13,1,1
2007-03-16,1,1
2007-03-17,1,1
2007-03-18,2,2
2007-03-19,2,2
2007-03-21,1,1
2007-03-23,2,2
2007-03-24,1,1
2007-03-26,1,1
2007-03-28,1,1
2007-03-30,3,3
2007-04-04,1,1
2007-04-05,1,1
