date,hit_count,text_count
2002-08-22,1,1
2003-08-29,1,1
2004-01-03,1,1
2004-04-14,1,1
2005-03-02,1,1
2005-12-05,1,1
2006-11-01,1,1
2006-11-11,1,1
2006-11-16,1,1
2007-02-02,1,1
2007-02-27,1,1
2007-03-02,1,1
2007-03-23,1,1
2007-04-04,1,1
2007-05-05,2,2
2007-05-23,1,1
2007-06-06,1,1
2007-06-23,1,1
2007-06-27,1,1
2007-07-05,1,1
2007-07-06,1,1
2007-09-08,1,1
2007-10-16,1,1
2007-10-20,1,1
2007-12-28,1,1
2008-02-09,1,1
2008-02-16,1,1
2008-03-08,1,1
2008-03-12,1,1
2008-08-20,1,1
2008-11-29,1,1
2009-04-28,1,1
2009-09-22,1,1
2010-08-14,1,1
2010-11-27,1,1
2011-09-14,1,1
2011-11-17,1,1
2013-04-04,2,2
2013-09-28,1,1
2019-01-23,1,1
2019-02-04,1,1
2019-02-21,1,1
2019-02-25,1,1
2019-03-02,1,1
2019-03-25,1,1
2019-03-26,2,2
2019-03-29,1,1
2019-04-05,1,1
2019-04-08,2,2
2019-04-10,1,1
2019-05-18,1,1
2019-05-23,1,1
2019-05-25,1,1
2019-05-28,1,1
2019-05-29,1,1
2019-06-01,1,1
2019-06-05,1,1
2019-06-06,2,2
2019-06-19,1,1
2019-06-28,1,1
2019-07-04,1,1
2019-07-08,1,1
2019-07-11,2,2
2019-07-17,1,1
2019-07-26,1,1
2019-07-30,2,2
2019-07-31,1,1
2019-08-02,1,1
2019-08-06,1,1
2019-08-07,1,1
2019-08-21,1,1
2019-08-31,2,2
2019-09-02,2,2
2019-09-04,1,1
2019-09-11,1,1
2019-09-17,2,2
2019-09-21,2,2
2019-09-26,1,1
2019-09-27,1,1
2019-09-28,1,1
2019-09-30,1,1
2019-10-08,2,2
2019-10-16,1,1
2019-10-25,2,2
2019-10-26,1,1
2019-11-01,1,1
2019-11-04,1,1
2019-11-20,1,1
2019-11-30,1,1
2019-12-07,3,3
2019-12-12,1,1
2019-12-16,1,1
2019-12-17,1,1
2020-01-07,2,2
2020-01-10,1,1
2020-01-11,2,2
2020-01-14,1,1
2020-01-15,2,2
2020-01-21,4,4
2020-01-22,1,1
2020-02-11,1,1
2020-02-18,1,1
2020-04-24,1,1
2020-05-13,1,1
2020-05-25,1,1
2020-05-26,1,1
2020-06-20,1,1
2020-06-22,1,1
2020-08-06,1,1
2020-08-12,1,1
2020-08-17,1,1
2020-08-19,1,1
2020-09-05,1,1
2020-09-09,1,1
2020-09-21,1,1
2020-09-22,1,1
2020-09-23,1,1
2020-09-24,1,1
2020-09-26,2,2
2020-10-13,1,1
2020-11-16,1,1
2021-01-09,1,1
2021-01-22,1,1
2021-05-04,1,1
2021-05-18,2,2
2021-05-22,1,1
2021-05-25,1,1
2021-05-28,1,1
2021-06-14,1,1
2021-06-16,1,1
2021-06-26,1,1
2021-07-01,1,1
2021-07-16,1,1
2021-07-23,1,1
2021-08-07,1,1
2021-08-10,1,1
2021-08-18,1,1
2021-09-04,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-18,1,1
2021-09-22,2,2
2021-09-23,1,1
2021-09-25,1,1
2021-10-29,1,1
2021-11-12,1,1
2021-11-27,1,1
2021-12-01,1,1
2022-01-15,1,1
2022-02-15,1,1
2022-02-17,1,1
2022-03-02,1,1
2022-03-29,1,1
2022-04-20,1,1
2022-04-29,1,1
2022-05-28,1,1
2022-08-18,1,1
2022-08-20,2,2
2022-08-27,1,1
2022-08-30,1,1
2022-08-31,2,2
2022-09-14,1,1
2022-09-24,2,2
2022-09-26,1,1
2022-10-14,1,1
2022-10-20,1,1
2022-10-27,1,1
2022-10-28,1,1
2022-11-01,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-08,1,1
2022-11-09,1,1
2022-12-01,1,1
2022-12-27,1,1
