date,hit_count,text_count
2001-02-25,1,1
2006-02-05,1,1
2007-06-08,1,1
2007-06-09,1,1
2007-06-10,1,1
2007-06-27,1,1
2008-01-16,2,2
2008-01-22,1,1
2009-02-20,1,1
2009-04-01,1,1
2009-06-26,1,1
2009-07-10,1,1
2009-08-12,1,1
2009-11-30,1,1
2009-12-19,1,1
2010-01-25,1,1
2010-09-08,1,1
2010-10-10,2,2
2010-12-12,1,1
2011-02-10,1,1
2011-03-09,1,1
2011-06-03,1,1
2011-06-08,1,1
2011-06-15,1,1
2011-08-24,1,1
2012-05-09,1,1
2012-09-06,1,1
2013-03-21,1,1
2014-03-27,1,1
2014-04-12,2,2
2014-04-22,1,1
2014-07-27,1,1
2014-08-02,1,1
2014-08-30,2,2
2014-09-23,1,1
2015-05-21,1,1
2015-09-09,1,1
2015-11-29,1,1
2015-11-30,1,1
2015-12-01,2,2
2015-12-12,2,2
2015-12-13,1,1
2015-12-14,1,1
2016-01-31,1,1
2016-09-05,1,1
2016-09-06,1,1
2016-09-13,2,2
2016-11-18,2,2
2016-12-14,2,2
2017-02-05,1,1
2017-05-26,1,1
2017-06-01,1,1
2017-06-02,2,2
2017-06-09,1,1
2017-06-22,2,2
2017-07-08,1,1
2017-08-05,1,1
2017-08-20,1,1
2017-09-17,1,1
2017-10-12,1,1
2017-10-27,2,2
2017-11-15,2,2
2017-11-27,2,2
2018-01-10,2,2
2018-01-13,1,1
2018-02-05,1,1
2018-03-16,1,1
2018-04-24,2,2
2018-05-13,1,1
2018-06-25,2,2
2018-08-07,2,2
2018-10-02,1,1
2018-10-07,1,1
2018-10-08,1,1
2018-10-09,1,1
2018-12-12,1,1
2018-12-17,1,1
2019-01-22,1,1
2019-01-27,1,1
2019-02-02,1,1
2019-02-20,1,1
2019-02-28,1,1
2019-03-06,1,1
2019-03-27,2,2
2019-04-09,1,1
2019-05-02,1,1
2019-05-15,1,1
2019-05-28,1,1
2019-06-05,1,1
2019-06-11,1,1
2019-06-22,1,1
2019-06-25,1,1
2019-06-29,2,2
2019-07-06,1,1
2019-07-11,2,2
2019-07-13,2,2
2019-08-04,1,1
2019-08-05,1,1
2019-08-09,1,1
2019-08-19,2,2
2019-08-21,1,1
2019-08-25,2,2
2019-09-13,2,2
2019-09-15,2,2
2019-09-20,1,1
2019-09-21,3,3
2019-09-30,1,1
2019-10-01,1,1
2019-10-05,1,1
2019-10-07,1,1
2019-10-08,1,1
2019-10-10,1,1
2019-10-16,1,1
2019-10-26,2,2
2019-10-28,1,1
2019-11-01,2,2
2019-11-13,2,2
2019-11-25,2,2
2019-11-28,1,1
2019-11-30,3,3
2019-12-03,1,1
2019-12-06,1,1
2019-12-10,1,1
2019-12-14,1,1
2019-12-16,1,1
2019-12-29,1,1
2020-01-05,1,1
2020-01-15,1,1
2020-01-16,1,1
2020-01-21,1,1
2020-01-24,1,1
2020-02-15,1,1
2020-03-04,1,1
2020-03-05,1,1
2020-04-28,1,1
2020-08-21,1,1
2020-09-05,1,1
2020-09-12,1,1
2020-09-22,1,1
2020-11-07,1,1
2020-12-12,1,1
2021-01-03,1,1
2021-01-13,1,1
2021-02-02,1,1
2021-02-17,1,1
2021-03-10,1,1
2021-03-12,1,1
2021-03-20,1,1
2021-03-31,1,1
2021-04-17,1,1
2021-04-23,1,1
2021-04-28,1,1
2021-04-30,1,1
2021-05-05,1,1
2021-05-07,1,1
2021-05-11,2,2
2021-05-17,1,1
2021-06-12,1,1
2021-06-19,1,1
2021-06-20,1,1
2021-06-22,1,1
2021-06-28,1,1
2021-07-04,2,2
2021-07-05,1,1
2021-07-13,1,1
2021-07-20,1,1
2021-07-25,1,1
2021-07-26,1,1
2021-08-01,1,1
2021-08-08,1,1
2021-08-10,1,1
2021-08-17,2,2
2021-08-26,1,1
2021-09-01,1,1
2021-09-13,1,1
2021-09-15,1,1
2021-09-18,1,1
2021-09-22,1,1
2021-09-25,1,1
2021-09-26,1,1
2021-09-29,1,1
2021-10-01,1,1
2021-10-02,1,1
2021-10-07,1,1
2021-10-17,1,1
2021-10-22,3,3
2021-11-01,2,2
2021-11-02,1,1
2021-11-05,1,1
2021-11-14,1,1
2021-11-15,1,1
2021-11-20,1,1
2021-12-01,1,1
2021-12-10,1,1
2021-12-18,1,1
2022-01-03,1,1
2022-01-31,1,1
2022-03-02,1,1
2022-03-26,1,1
2022-04-16,1,1
2022-05-04,1,1
2022-05-08,1,1
2022-05-11,1,1
2022-06-10,1,1
2022-06-22,1,1
2022-06-23,1,1
2022-06-26,1,1
2022-07-01,2,2
2022-07-02,1,1
2022-07-06,1,1
2022-07-09,1,1
2022-07-15,1,1
2022-07-16,1,1
2022-07-19,1,1
2022-07-23,1,1
2022-08-11,1,1
2022-09-03,1,1
2022-09-04,1,1
2022-09-07,1,1
2022-10-14,1,1
2022-11-07,1,1
2022-11-10,1,1
2022-11-16,1,1
2022-11-21,2,2
2022-11-30,2,2
2022-12-03,1,1
2022-12-05,1,1
2022-12-14,3,3
2022-12-15,1,1
2022-12-16,1,1
2022-12-24,1,1
