date,hit_count,text_count
2000-07-27,1,1
2000-08-05,1,1
2002-08-26,1,1
2002-09-03,1,1
2005-09-10,2,2
2006-04-05,1,1
2006-11-19,1,1
2006-12-06,1,1
2007-02-04,1,1
2007-02-05,1,1
2007-03-08,1,1
2007-03-12,1,1
2007-07-22,1,1
2007-10-31,1,1
2007-11-25,1,1
2010-01-25,1,1
2014-09-24,1,1
2015-11-29,2,2
2016-07-21,2,2
2017-09-17,1,1
2019-01-19,2,2
2019-01-22,1,1
2019-01-27,1,1
2019-01-29,1,1
2019-02-01,1,1
2019-03-27,2,2
2019-05-12,1,1
2019-12-13,1,1
2019-12-27,2,2
2020-02-14,1,1
2021-06-20,1,1
2021-07-13,1,1
2021-08-01,1,1
2021-08-17,1,1
2021-09-01,1,1
2021-09-13,1,1
2021-09-14,1,1
2021-09-26,1,1
2021-09-30,1,1
2021-10-02,1,1
2021-10-08,1,1
2021-10-17,1,1
2021-10-22,1,1
2021-11-05,1,1
2021-12-10,1,1
2021-12-22,1,1
2022-03-02,1,1
2022-04-05,1,1
2022-05-31,1,1
2022-07-04,1,1
2022-07-06,1,1
2022-07-13,1,1
2022-08-11,1,1
2022-09-03,1,1
2022-09-24,1,1
2022-09-28,1,1
2022-10-11,1,1
2022-10-19,1,1
2022-11-07,1,1
2022-11-16,1,1
2022-11-21,1,1
2022-12-03,1,1
2022-12-05,1,1
