date,hit_count,text_count
2000-05-09,1,1
2000-05-26,1,1
2000-07-29,1,1
2000-08-25,1,1
2000-10-18,9,1
2000-11-29,1,1
2001-01-27,1,1
2001-02-08,1,1
2001-02-22,1,1
2001-03-23,1,1
2001-04-03,1,1
2001-04-05,1,1
2001-04-13,1,1
2001-05-19,1,1
2001-05-29,1,1
2001-06-08,4,1
2001-06-16,1,1
2001-06-29,2,1
2001-06-30,2,1
2001-07-27,2,1
2001-10-30,1,1
2002-05-23,1,1
2002-05-25,1,1
2002-06-01,2,1
2002-07-20,2,1
2002-09-06,1,1
2002-10-05,1,1
2002-11-09,1,1
2002-11-21,1,1
2003-02-12,1,1
2003-03-29,1,1
2003-06-21,8,1
2003-07-19,1,1
2003-09-12,1,1
2003-09-13,9,4
2003-10-02,4,1
2003-10-04,1,1
2003-12-30,2,1
2004-01-20,1,1
2004-02-27,1,1
2004-04-03,3,1
2004-04-29,1,1
2004-06-03,1,1
2004-11-02,1,1
2004-11-06,4,1
2005-01-29,1,1
2005-06-08,1,1
2005-06-17,1,1
2005-06-29,23,6
2005-07-01,3,1
2005-07-05,1,1
2005-07-07,1,1
2005-07-09,4,2
2005-07-23,1,1
2005-09-29,2,1
2005-09-30,1,1
2005-10-14,3,1
2005-10-22,1,1
2006-01-07,1,1
2006-02-14,1,1
2006-03-28,1,1
2006-03-30,3,1
2006-04-01,1,1
2006-05-16,1,1
2006-05-27,1,1
2006-06-21,1,1
2006-06-29,1,1
2006-07-05,1,1
2006-08-23,1,1
2006-08-26,3,2
2006-09-05,1,1
2006-09-06,1,1
2006-09-07,1,1
2006-09-22,2,1
2006-09-27,1,1
2006-10-14,4,2
2006-11-01,9,1
2006-12-13,2,1
2006-12-15,2,1
2006-12-22,2,1
2006-12-28,2,1
2006-12-29,2,1
2007-01-06,1,1
2007-01-10,1,1
2007-01-11,4,2
2007-01-18,2,2
2007-01-23,1,1
2007-01-25,7,2
2007-01-26,1,1
2007-02-01,10,3
2007-02-02,3,1
2007-02-08,2,1
2007-02-10,10,4
2007-02-15,1,1
2007-02-16,1,1
2007-02-23,4,1
2007-02-24,1,1
2007-02-28,5,1
2007-03-02,2,1
2007-03-03,6,2
2007-03-06,8,1
2007-03-07,4,2
2007-03-08,2,2
2007-03-09,4,1
2007-03-10,11,3
2007-03-13,5,2
2007-03-15,5,2
2007-03-16,10,4
2007-03-17,2,1
2007-03-23,1,1
2007-03-27,2,1
2007-03-28,3,2
2007-03-29,2,1
2007-04-06,3,1
2007-04-11,1,1
2007-04-12,1,1
2007-04-13,1,1
2007-04-20,4,1
2007-04-27,4,1
2007-05-01,1,1
2007-05-03,1,1
2007-05-04,14,1
2007-05-09,1,1
2007-05-10,1,1
2007-05-11,1,1
2007-05-12,1,1
2007-05-15,1,1
2007-05-16,1,1
2007-05-23,2,1
2007-05-30,3,1
2007-06-01,2,1
2007-06-02,4,1
2007-06-05,8,2
2007-06-06,3,1
2007-06-08,7,2
2007-06-09,3,2
2007-06-13,1,1
2007-06-20,1,1
2007-06-23,3,1
2007-06-26,2,2
2007-06-27,1,1
2007-06-28,1,1
2007-07-03,2,2
2007-07-04,1,1
2007-07-06,3,2
2007-07-13,5,1
2007-07-14,1,1
2007-07-18,1,1
2007-07-20,1,1
2007-07-25,5,1
2007-07-27,5,1
2007-08-08,2,1
2007-08-22,2,2
2007-08-25,72,14
2007-08-28,1,1
2007-09-01,1,1
2007-09-04,1,1
2007-09-05,4,3
2007-09-07,4,2
2007-09-12,2,1
2007-09-13,1,1
2007-09-14,10,4
2007-09-22,3,1
2007-09-25,4,1
2007-09-28,1,1
2007-09-29,4,3
2007-10-06,4,2
2007-10-09,5,3
2007-10-13,2,2
2007-10-19,2,1
2007-10-20,2,1
2007-10-24,4,1
2007-10-25,1,1
2007-10-27,2,1
2007-10-30,2,1
2007-10-31,1,1
2007-11-01,2,2
2007-11-02,1,1
2007-11-03,1,1
2007-11-10,10,4
2007-11-14,2,2
2007-11-15,3,1
2007-11-20,1,1
2007-11-21,1,1
2007-11-23,1,1
2007-11-27,2,2
2007-11-28,1,1
2007-11-30,1,1
2007-12-01,1,1
2007-12-07,1,1
2007-12-13,3,3
2007-12-14,4,1
2007-12-18,1,1
2007-12-20,1,1
2007-12-21,2,1
2007-12-22,2,1
2007-12-28,4,3
2007-12-29,1,1
2008-01-04,1,1
2008-01-05,1,1
2008-01-10,1,1
2008-01-15,1,1
2008-01-17,2,2
2008-01-18,2,2
2008-01-19,2,1
2008-01-22,2,1
2008-01-23,2,2
2008-01-24,4,1
2008-01-25,1,1
2008-01-26,1,1
2008-01-29,1,1
2008-02-01,1,1
2008-02-06,1,1
2008-02-07,1,1
2008-02-13,1,1
2008-02-15,1,1
2008-02-20,2,1
2008-02-23,28,11
2008-02-29,1,1
2008-03-05,1,1
2008-03-06,1,1
2008-03-07,1,1
2008-03-12,1,1
2008-03-13,2,1
2008-03-15,1,1
2008-03-21,2,1
2008-03-27,2,2
2008-04-04,1,1
2008-04-12,1,1
2008-04-15,1,1
2008-04-19,1,1
2008-04-25,1,1
2008-04-29,1,1
2008-05-06,2,1
2008-05-13,7,2
2008-05-20,1,1
2008-05-30,2,2
2008-05-31,1,1
2008-06-11,1,1
2008-06-12,1,1
2008-06-13,2,2
2008-06-14,1,1
2008-06-17,1,1
2008-06-18,2,2
2008-06-19,4,3
2008-06-20,1,1
2008-06-25,1,1
2008-06-27,1,1
2008-07-04,6,2
2008-07-08,1,1
2008-07-10,2,1
2008-07-12,2,1
2008-07-17,1,1
2008-07-23,2,1
2008-07-24,2,1
2008-07-25,2,2
2008-08-05,1,1
2008-08-08,1,1
2008-08-14,4,1
2008-08-22,1,1
2008-08-23,45,9
2008-08-27,1,1
2008-09-03,1,1
2008-09-04,1,1
2008-09-10,3,2
2008-09-11,3,1
2008-10-02,1,1
2008-10-08,1,1
2008-10-10,2,1
2008-10-14,1,1
2008-10-16,3,1
2008-10-17,2,1
2008-10-18,1,1
2008-10-22,1,1
2008-10-31,6,1
2008-11-06,7,4
2008-11-07,1,1
2008-11-14,4,1
2008-11-15,10,6
2008-11-20,2,1
2008-11-21,1,1
2008-11-26,1,1
2008-11-27,2,2
2008-11-28,1,1
2008-12-03,1,1
2008-12-06,2,1
2008-12-09,6,2
2008-12-11,1,1
2008-12-12,1,1
2008-12-13,4,1
2008-12-20,2,2
2008-12-30,5,1
2008-12-31,1,1
2009-01-06,1,1
2009-01-07,14,2
2009-01-14,1,1
2009-01-22,1,1
2009-01-28,2,2
2009-01-29,1,1
2009-02-07,4,1
2009-02-21,30,7
2009-02-24,1,1
2009-03-06,1,1
2009-03-10,1,1
2009-03-21,2,1
2009-03-26,1,1
2009-03-27,2,1
2009-05-16,1,1
2009-05-20,1,1
2009-05-22,1,1
2009-05-23,2,1
2009-05-28,1,1
2009-06-06,1,1
2009-06-09,1,1
2009-06-10,1,1
2009-06-17,2,2
2009-06-18,1,1
2009-06-19,1,1
2009-06-20,1,1
2009-06-23,1,1
2009-06-24,2,2
2009-06-26,1,1
2009-06-30,1,1
2009-07-03,2,1
2009-07-07,4,2
2009-07-08,1,1
2009-07-09,6,2
2009-07-10,2,2
2009-07-14,2,1
2009-07-18,3,2
2009-07-22,1,1
2009-07-23,1,1
2009-07-28,2,1
2009-07-30,1,1
2009-08-01,1,1
2009-08-22,6,1
2009-08-28,1,1
2009-08-29,13,5
2009-09-01,1,1
2009-09-02,1,1
2009-09-03,1,1
2009-09-04,1,1
2009-09-05,3,3
2009-09-08,4,2
2009-09-10,3,2
2009-09-17,1,1
2009-09-19,2,2
2009-09-23,2,1
2009-09-24,1,1
2009-09-25,1,1
2009-09-26,1,1
2009-10-01,1,1
2009-10-03,3,2
2009-10-08,1,1
2009-10-10,14,4
2009-10-14,1,1
2009-10-20,1,1
2009-10-31,7,4
2009-11-04,5,2
2009-11-06,1,1
2009-11-07,1,1
2009-11-11,4,2
2009-11-18,2,2
2009-11-19,1,1
2009-11-20,3,1
2009-11-24,1,1
2009-11-28,1,1
2009-12-01,4,2
2009-12-04,22,8
2009-12-05,2,2
2009-12-10,2,2
2009-12-12,3,2
2009-12-15,1,1
2009-12-16,1,1
2009-12-22,2,1
2009-12-31,2,2
2010-01-08,2,1
2010-01-15,1,1
2010-01-20,1,1
2010-01-26,6,2
2010-01-28,1,1
2010-02-02,1,1
2010-02-06,5,3
2010-02-19,1,1
2010-02-20,23,4
2010-03-03,3,1
2010-03-04,1,1
2010-03-06,4,3
2010-03-11,1,1
2010-03-13,5,1
2010-03-16,4,1
2010-03-24,1,1
2010-03-26,1,1
2010-03-27,1,1
2010-04-13,16,6
2010-04-20,1,1
2010-04-23,7,1
2010-05-07,2,2
2010-05-14,2,1
2010-05-15,1,1
2010-05-26,1,1
2010-06-05,1,1
2010-06-17,1,1
2010-06-19,1,1
2010-07-03,4,3
2010-07-10,3,2
2010-07-20,2,2
2010-07-21,1,1
2010-07-22,1,1
2010-07-23,4,1
2010-07-28,5,1
2010-08-05,1,1
2010-08-10,1,1
2010-08-13,1,1
2010-08-17,1,1
2010-08-19,1,1
2010-08-28,25,6
2010-09-03,5,1
2010-09-07,2,2
2010-09-08,7,2
2010-09-15,1,1
2010-09-17,2,1
2010-09-22,2,1
2010-09-23,1,1
2010-09-25,3,1
2010-09-29,2,2
2010-10-02,1,1
2010-10-05,1,1
2010-10-08,1,1
2010-10-09,1,1
2010-10-21,2,1
2010-10-22,9,2
2010-10-23,1,1
