date,hit_count,text_count
2005-01-29,1,1
2005-02-16,1,1
2005-12-31,1,1
2006-07-31,1,1
2006-08-15,1,1
2006-10-18,1,1
2006-11-10,1,1
2007-04-28,1,1
2007-05-05,1,1
2007-06-23,1,1
2007-11-19,2,2
2007-12-11,1,1
2008-01-25,1,1
2008-04-04,1,1
2008-06-24,2,2
2008-07-03,1,1
2008-12-06,1,1
2009-04-04,1,1
2009-05-15,1,1
2009-07-18,1,1
2009-10-31,1,1
2009-12-07,1,1
2009-12-12,3,3
2011-11-28,1,1
2015-05-18,1,1
2016-04-30,1,1
2018-12-22,1,1
2019-01-19,1,1
2019-02-25,1,1
2019-03-05,1,1
2019-04-06,1,1
2019-05-28,1,1
2019-05-29,1,1
2019-07-04,1,1
2019-07-26,1,1
2019-09-04,1,1
2019-10-16,1,1
2019-10-21,2,2
2019-10-23,1,1
2019-10-28,1,1
2019-10-29,1,1
2019-10-30,1,1
2019-11-20,1,1
2019-11-22,1,1
2019-11-30,1,1
2019-12-02,1,1
2019-12-07,2,2
2019-12-16,1,1
2019-12-23,1,1
2019-12-24,1,1
2020-01-07,1,1
2020-01-09,1,1
2020-01-10,2,2
2020-01-11,1,1
2020-01-15,1,1
2020-01-16,2,2
2020-01-21,1,1
2020-02-10,1,1
2020-02-19,1,1
2020-02-29,1,1
2020-03-07,1,1
2020-03-10,1,1
2020-03-18,1,1
2020-03-23,1,1
2020-04-24,1,1
2020-04-27,1,1
2020-05-13,1,1
2020-05-18,1,1
2020-05-23,1,1
2020-05-26,1,1
2020-06-05,1,1
2020-06-06,1,1
2020-06-08,1,1
2020-06-22,1,1
2020-08-06,1,1
2020-08-12,1,1
2020-08-17,1,1
2020-08-19,1,1
2020-09-05,1,1
2020-09-17,1,1
2020-09-18,1,1
2020-09-26,1,1
2020-09-29,1,1
2020-10-16,1,1
2020-10-19,1,1
2020-11-12,1,1
2020-11-17,2,2
2020-11-26,1,1
2020-12-02,1,1
2020-12-09,1,1
2021-01-09,1,1
2021-02-17,2,2
2021-03-09,1,1
2021-03-13,2,2
2021-03-15,1,1
2021-04-19,2,2
2021-04-30,1,1
2021-05-05,1,1
2021-05-21,1,1
2021-05-28,2,2
2021-06-14,1,1
2021-06-16,1,1
2021-07-16,1,1
2021-07-23,1,1
2021-08-05,1,1
2021-08-07,2,2
2021-08-10,1,1
2021-08-17,1,1
2021-08-30,1,1
2021-09-10,2,2
2021-09-17,1,1
2021-09-18,1,1
2021-09-22,1,1
2021-09-25,1,1
2021-09-28,1,1
2021-10-05,1,1
2021-10-09,1,1
2021-10-22,1,1
2021-10-29,1,1
2021-11-01,1,1
2021-11-04,1,1
2021-11-10,1,1
2021-11-12,1,1
2021-11-26,1,1
2021-12-01,1,1
2022-01-05,1,1
2022-01-15,1,1
2022-01-17,1,1
2022-01-27,1,1
2022-04-20,1,1
2022-04-29,1,1
2022-05-06,1,1
2022-07-22,1,1
2022-08-05,1,1
2022-08-18,1,1
2022-08-27,1,1
2022-08-30,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-17,2,2
2022-09-24,1,1
2022-10-04,1,1
2022-10-10,1,1
2022-10-14,1,1
2022-10-20,1,1
2022-10-28,1,1
2022-10-31,1,1
2022-11-01,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-08,2,2
2022-11-09,1,1
2022-11-11,1,1
2022-11-17,1,1
2022-11-18,1,1
2022-11-19,1,1
2022-11-21,1,1
2022-12-01,1,1
2022-12-10,1,1
2022-12-13,1,1
2022-12-27,1,1
