date,hit_count,text_count
2013-05-29,1,1
2013-06-06,1,1
2013-07-11,3,1
2013-10-03,1,1
2013-11-28,1,1
2014-04-17,1,1
2014-05-22,1,1
2015-03-26,1,1
2015-11-26,1,1
2016-03-31,1,1
2016-06-30,1,1
2016-10-20,2,2
2017-09-07,1,1
2018-03-01,1,1
2018-07-05,1,1
2018-07-26,1,1
2018-08-09,1,1
2018-10-11,1,1
2018-11-15,2,1
2018-11-29,1,1
2019-05-02,1,1
2019-06-27,1,1
2019-08-08,1,1
2019-09-05,1,1
2019-10-03,1,1
2019-10-24,2,2
2019-12-12,1,1
2019-12-19,1,1
2020-01-09,1,1
2020-01-16,2,1
2020-01-30,1,1
2020-02-06,3,2
2020-02-13,1,1
2020-03-05,1,1
2020-03-12,1,1
2020-10-29,1,1
2020-12-03,1,1
2021-01-28,6,4
2021-04-15,1,1
2021-05-06,1,1
2021-06-02,2,2
2021-06-10,1,1
2021-06-24,4,2
2021-07-08,1,1
2021-08-05,2,1
2021-12-16,1,1
2022-01-20,1,1
2022-02-24,1,1
2022-03-03,2,1
2022-05-05,1,1
2022-05-25,1,1
2022-06-02,8,3
2022-07-07,2,2
2022-07-14,1,1
2022-07-21,2,1
2022-08-18,1,1
2022-09-01,2,1
2022-09-08,1,1
2022-11-10,1,1
2022-11-24,1,1
2022-12-15,1,1
2022-12-22,1,1
