date,hit_count,text_count
2002-05-23,1,1
2005-01-02,1,1
2007-06-07,1,1
2007-06-27,1,1
2007-08-18,1,1
2007-12-02,1,1
2007-12-04,1,1
2007-12-06,1,1
2008-11-21,1,1
2009-01-19,1,1
2009-01-26,1,1
2009-09-04,1,1
2009-12-19,1,1
2010-01-15,1,1
2010-01-28,1,1
2010-06-03,1,1
2010-11-06,1,1
2011-05-14,1,1
2011-06-15,1,1
2011-11-22,1,1
2012-05-09,1,1
2012-07-02,1,1
2012-07-10,1,1
2012-08-19,1,1
2013-01-25,1,1
2013-02-27,1,1
2013-04-03,1,1
2013-12-30,1,1
2014-03-18,1,1
2014-06-08,1,1
2014-07-22,1,1
2014-09-30,1,1
2015-01-18,1,1
2015-02-23,1,1
2015-08-26,1,1
2015-08-27,1,1
2015-10-18,1,1
2015-12-14,1,1
2016-02-26,1,1
2016-03-04,1,1
2016-04-23,1,1
2016-08-07,1,1
2016-09-04,1,1
2016-09-06,1,1
2017-03-26,1,1
2017-04-16,1,1
2017-05-06,1,1
2017-05-28,1,1
2017-05-29,1,1
2017-06-10,1,1
2017-06-19,1,1
2017-07-05,1,1
2017-07-07,1,1
2017-08-07,1,1
2017-09-20,1,1
2017-10-29,1,1
2017-11-05,1,1
2017-11-06,2,2
2018-01-28,1,1
2018-06-21,1,1
2018-08-23,1,1
2018-09-11,1,1
2018-10-01,1,1
2018-10-14,1,1
2018-11-25,2,2
2018-12-02,1,1
2018-12-04,1,1
2018-12-12,1,1
2018-12-17,1,1
2018-12-23,1,1
2019-01-19,1,1
2019-01-26,1,1
2019-01-27,1,1
2019-02-03,1,1
2019-03-16,2,2
2019-03-20,1,1
2019-04-06,1,1
2019-04-14,1,1
2019-05-12,1,1
2019-05-24,1,1
2019-05-25,1,1
2019-06-16,1,1
2019-06-21,1,1
2019-06-30,1,1
2019-07-06,1,1
2019-07-20,1,1
2019-07-21,1,1
2019-08-05,2,2
2019-08-11,1,1
2019-08-16,1,1
2019-08-29,1,1
2019-09-17,1,1
2019-09-20,1,1
2019-09-21,2,2
2019-09-22,1,1
2019-09-24,1,1
2019-09-26,1,1
2019-10-01,1,1
2019-10-18,1,1
2019-10-21,1,1
2019-10-31,1,1
2019-11-11,1,1
2019-11-28,2,2
2019-12-01,1,1
2019-12-02,1,1
2019-12-07,1,1
2019-12-14,1,1
2019-12-16,1,1
2019-12-18,1,1
2019-12-23,1,1
2020-01-03,1,1
2020-01-26,1,1
2020-02-01,1,1
2020-02-06,1,1
2020-02-12,2,2
2020-02-19,1,1
2020-02-20,1,1
2020-02-23,1,1
2020-03-06,1,1
2020-05-20,1,1
2020-05-29,1,1
2020-06-09,1,1
2020-07-05,1,1
2020-07-10,1,1
2020-07-26,1,1
2020-09-13,1,1
2020-09-25,1,1
2020-10-17,1,1
2020-11-12,1,1
2020-12-13,2,2
2020-12-18,1,1
2020-12-20,1,1
2021-02-05,1,1
2021-02-16,1,1
2021-02-28,1,1
2021-03-07,1,1
2021-03-12,1,1
2021-03-18,1,1
2021-03-30,1,1
2021-03-31,1,1
2021-04-18,1,1
2021-04-23,1,1
2021-04-25,1,1
2021-04-27,1,1
2021-04-29,1,1
2021-05-06,1,1
2021-05-12,1,1
2021-05-15,1,1
2021-06-06,1,1
2021-06-15,1,1
2021-06-20,1,1
2021-06-27,1,1
2021-07-04,1,1
2021-07-09,1,1
2021-07-18,1,1
2021-07-27,1,1
2021-08-08,1,1
2021-08-14,1,1
2021-08-20,1,1
2021-08-26,1,1
2021-09-04,1,1
2021-09-07,2,2
2021-09-12,1,1
2021-09-16,1,1
2021-09-18,1,1
2021-09-21,1,1
2021-09-23,1,1
2021-09-24,1,1
2021-09-26,1,1
2021-09-29,1,1
2021-09-30,1,1
2021-10-03,1,1
2021-10-07,1,1
2021-10-19,1,1
2021-10-24,1,1
2021-11-01,1,1
2021-11-05,2,2
2021-11-13,1,1
2021-11-16,1,1
2021-12-03,1,1
2021-12-05,1,1
2021-12-12,1,1
2021-12-17,1,1
2021-12-22,1,1
2022-01-11,1,1
2022-01-12,1,1
2022-01-13,1,1
2022-01-18,1,1
2022-01-20,1,1
2022-01-24,1,1
2022-02-15,1,1
2022-02-16,1,1
2022-02-19,1,1
2022-02-23,1,1
2022-02-25,1,1
2022-02-27,1,1
2022-03-20,1,1
2022-03-24,1,1
2022-04-01,1,1
2022-04-07,1,1
2022-04-12,1,1
2022-05-04,1,1
2022-05-05,1,1
2022-06-01,1,1
2022-06-09,2,2
2022-06-21,1,1
2022-06-22,1,1
2022-06-23,3,3
2022-07-15,1,1
2022-07-16,1,1
2022-07-20,1,1
2022-07-31,1,1
2022-08-19,1,1
2022-08-25,1,1
2022-08-31,1,1
2022-09-08,1,1
2022-09-16,1,1
2022-09-17,1,1
2022-10-01,1,1
2022-10-05,1,1
2022-10-13,1,1
2022-10-18,1,1
2022-10-20,2,2
2022-10-24,1,1
2022-10-30,1,1
2022-11-02,1,1
2022-11-06,1,1
2022-11-08,1,1
2022-11-16,1,1
2022-11-19,1,1
2022-11-20,1,1
2022-11-23,1,1
2022-11-25,1,1
2022-11-29,1,1
2022-11-30,1,1
2022-12-04,1,1
2022-12-06,1,1
2022-12-14,1,1
2022-12-21,1,1
