date,hit_count,text_count
2000-09-01,2,1
2000-09-22,1,1
2000-10-04,1,1
2000-11-13,1,1
2000-11-27,1,1
2001-01-05,2,1
2001-02-12,1,1
2001-02-20,1,1
2001-03-24,1,1
2001-03-30,4,2
2001-03-31,1,1
2001-04-03,2,1
2001-06-06,1,1
2001-06-09,1,1
2001-06-10,2,1
2001-07-20,2,1
2001-07-25,1,1
2001-08-06,1,1
2001-08-31,1,1
2002-04-12,1,1
2002-05-23,1,1
2002-06-22,2,1
2002-08-15,1,1
2002-09-02,1,1
2002-10-19,1,1
2002-10-30,1,1
2002-12-09,1,1
2002-12-19,1,1
2002-12-31,2,1
2003-01-27,1,1
2003-01-28,1,1
2003-05-20,1,1
2003-06-05,2,1
2003-06-29,3,1
2003-08-12,1,1
2003-08-22,1,1
2003-11-18,3,1
2004-03-24,4,2
2004-04-14,1,1
2004-05-23,1,1
2004-06-04,1,1
2004-06-05,1,1
2004-10-21,1,1
2004-11-02,2,2
2004-11-03,1,1
2004-11-06,1,1
2004-12-03,2,1
2004-12-06,1,1
2005-01-02,1,1
2005-01-31,2,1
2005-02-11,1,1
2005-03-12,1,1
2005-04-21,2,1
2005-06-17,1,1
2005-07-05,3,1
2005-07-07,1,1
2005-07-08,1,1
2005-08-31,1,1
2005-09-18,1,1
2005-09-23,1,1
2005-12-02,2,1
2005-12-09,1,1
2006-02-22,1,1
2006-03-03,1,1
2006-03-25,1,1
2006-04-03,1,1
2006-04-26,1,1
2006-05-17,1,1
2006-07-16,3,2
2006-08-12,1,1
2006-08-26,2,1
2006-09-04,1,1
2006-10-12,1,1
2006-11-07,4,1
2006-11-09,3,2
2006-11-15,1,1
2006-11-27,1,1
2006-11-28,1,1
2006-12-04,1,1
2006-12-07,1,1
2006-12-15,2,2
2007-01-04,4,1
2007-01-11,4,2
2007-01-16,1,1
2007-01-21,1,1
2007-01-29,2,1
2007-01-30,1,1
2007-01-31,5,1
2007-02-02,2,2
2007-02-03,1,1
2007-02-04,7,2
2007-02-05,2,2
2007-02-06,6,2
2007-02-10,3,2
2007-02-11,1,1
2007-02-19,1,1
2007-02-20,1,1
2007-02-23,5,2
2007-02-24,6,4
2007-02-25,2,1
2007-02-28,2,2
2007-03-03,2,1
2007-03-04,3,2
2007-03-08,1,1
2007-03-09,6,2
2007-03-11,1,1
2007-03-14,2,2
2007-03-16,2,1
2007-03-18,1,1
2007-03-21,2,1
2007-03-24,1,1
2007-03-25,1,1
2007-03-26,2,2
2007-04-01,1,1
2007-04-07,1,1
2007-04-10,2,1
2007-04-11,1,1
2007-04-13,1,1
2007-04-14,1,1
2007-04-15,1,1
2007-04-16,2,2
2007-04-18,2,2
2007-04-22,1,1
2007-04-24,1,1
2007-05-02,1,1
2007-05-05,5,2
2007-05-07,2,1
2007-05-09,2,2
2007-05-11,3,2
2007-05-13,1,1
2007-05-15,1,1
2007-05-22,2,2
2007-05-27,2,1
2007-05-30,3,1
2007-06-01,1,1
2007-06-02,1,1
2007-06-04,1,1
2007-06-06,3,2
2007-06-07,15,3
2007-06-08,3,2
2007-06-09,4,2
2007-06-27,3,1
2007-06-29,1,1
2007-06-30,3,2
2007-07-04,1,1
2007-07-06,1,1
2007-07-07,2,2
2007-07-08,8,4
2007-07-17,1,1
2007-07-18,1,1
2007-07-19,1,1
2007-07-24,1,1
2007-07-25,3,2
2007-08-05,1,1
2007-08-10,1,1
2007-08-18,3,1
2007-08-20,2,2
2007-08-21,1,1
2007-08-22,1,1
2007-08-27,2,1
2007-08-28,3,1
2007-08-29,1,1
2007-08-30,1,1
2007-08-31,4,2
2007-09-05,1,1
2007-09-06,1,1
2007-09-13,1,1
2007-09-23,1,1
2007-09-25,1,1
2007-09-26,2,1
2007-09-30,2,1
2007-10-09,1,1
2007-10-13,4,2
2007-10-14,1,1
2007-10-19,7,1
2007-10-23,2,2
2007-10-24,1,1
2007-10-25,1,1
2007-10-27,2,2
2007-10-30,1,1
2007-11-04,3,1
2007-11-10,1,1
2007-11-18,3,1
2007-11-20,1,1
2007-11-23,1,1
2007-11-25,2,2
2007-11-29,1,1
2007-12-02,1,1
2007-12-06,2,1
2007-12-07,1,1
2007-12-08,2,2
2007-12-09,3,3
2007-12-10,1,1
2007-12-12,1,1
2007-12-15,3,1
2007-12-17,1,1
2007-12-20,2,2
2007-12-27,1,1
2008-01-04,1,1
2008-01-05,2,2
2008-01-13,1,1
2008-01-15,1,1
2008-01-22,1,1
2008-01-24,2,1
2008-01-29,1,1
2008-02-11,1,1
2008-02-14,1,1
2008-02-16,1,1
2008-02-17,1,1
2008-02-20,1,1
2008-02-22,2,1
2008-02-26,2,1
2008-02-27,1,1
2008-02-29,1,1
2008-03-01,1,1
2008-03-04,1,1
2008-03-05,1,1
2008-03-17,2,2
2008-03-30,1,1
2008-04-04,1,1
2008-04-14,1,1
2008-04-16,3,2
2008-04-21,1,1
2008-05-03,2,1
2008-05-16,1,1
2008-05-18,1,1
2008-05-23,1,1
2008-06-04,3,1
2008-06-05,1,1
2008-06-09,2,1
2008-06-10,1,1
2008-06-14,1,1
2008-06-15,1,1
2008-06-17,2,1
2008-06-18,1,1
2008-06-21,1,1
2008-06-25,3,2
2008-06-28,1,1
2008-06-30,1,1
2008-07-05,3,2
2008-07-08,1,1
2008-07-09,1,1
2008-07-10,1,1
2008-07-11,1,1
2008-07-13,3,1
2008-07-16,1,1
2008-07-25,2,2
2008-07-27,1,1
2008-07-31,1,1
2008-08-19,1,1
2008-09-15,1,1
2008-09-16,1,1
2008-09-19,1,1
2008-09-23,1,1
2008-09-25,1,1
2008-09-28,2,2
2008-09-29,3,1
2008-10-10,1,1
2008-10-15,2,1
2008-10-21,1,1
2008-10-22,1,1
2008-11-06,1,1
2008-11-08,1,1
2008-11-09,1,1
2008-11-11,2,2
2008-11-15,3,2
2008-11-19,1,1
2008-11-21,1,1
2008-12-09,1,1
2008-12-12,1,1
2008-12-16,2,1
2008-12-19,1,1
2008-12-23,1,1
2008-12-27,1,1
2009-01-03,1,1
2009-01-05,1,1
2009-01-06,3,2
2009-01-10,4,2
2009-01-14,2,1
2009-01-19,1,1
2009-01-21,1,1
2009-01-22,3,3
2009-01-26,1,1
2009-01-29,3,1
2009-01-30,2,1
2009-02-16,1,1
2009-02-17,2,2
2009-02-26,1,1
2009-03-01,1,1
2009-03-03,1,1
2009-03-07,2,1
2009-03-13,3,1
2009-03-17,2,2
2009-03-24,1,1
2009-03-25,1,1
2009-03-26,1,1
2009-03-28,1,1
2009-03-30,1,1
2009-03-31,1,1
2009-04-06,2,1
2009-04-07,1,1
2009-04-30,1,1
2009-05-04,1,1
2009-05-23,1,1
2009-06-04,1,1
2009-06-18,2,1
2009-06-21,2,2
2009-06-27,1,1
2009-06-28,1,1
2009-06-29,1,1
2009-07-01,4,1
2009-07-03,1,1
2009-07-09,1,1
2009-07-11,2,1
2009-07-30,3,1
2009-08-11,1,1
2009-08-27,2,2
2009-09-03,1,1
2009-09-04,6,2
2009-09-05,1,1
2009-09-08,1,1
2009-09-09,2,1
2009-09-10,1,1
2009-09-12,2,2
2009-09-15,1,1
2009-09-20,1,1
2009-09-24,1,1
2009-09-27,1,1
2009-10-01,4,2
2009-10-05,1,1
2009-10-07,1,1
2009-10-10,1,1
2009-11-01,2,1
2009-11-04,2,2
2009-11-09,1,1
2009-11-18,1,1
2009-11-25,1,1
2009-11-30,1,1
2009-12-04,2,1
2009-12-06,1,1
2009-12-07,3,2
2009-12-09,1,1
2009-12-10,2,2
2009-12-12,2,1
2009-12-15,1,1
2009-12-16,2,2
2009-12-18,4,2
2009-12-20,1,1
2009-12-22,2,1
2009-12-28,3,1
2010-01-05,4,2
2010-01-11,1,1
2010-01-12,1,1
2010-01-14,1,1
2010-01-15,1,1
2010-01-16,3,3
2010-01-25,1,1
2010-01-28,1,1
2010-02-02,2,1
2010-02-17,1,1
2010-03-01,1,1
2010-03-02,1,1
2010-03-09,1,1
2010-03-21,1,1
2010-03-25,1,1
2010-03-27,1,1
2010-04-07,1,1
2010-04-10,1,1
2010-04-13,1,1
2010-04-15,1,1
2010-04-21,1,1
2010-04-24,2,2
2010-05-03,1,1
2010-05-05,1,1
2010-05-15,1,1
2010-05-16,1,1
2010-05-31,1,1
2010-06-03,1,1
2010-06-10,1,1
2010-06-11,1,1
2010-07-09,2,1
2010-07-13,1,1
2010-07-16,1,1
2010-07-28,1,1
2010-08-03,1,1
2010-08-04,1,1
2010-08-08,1,1
2010-08-10,1,1
2010-08-17,2,1
2010-08-26,1,1
2010-08-31,2,1
2010-09-07,1,1
2010-09-16,1,1
2010-09-17,1,1
2010-09-21,1,1
2010-09-24,1,1
2010-09-26,1,1
2010-09-30,1,1
2010-10-05,1,1
2010-10-19,2,1
2010-10-21,1,1
2010-10-22,1,1
2010-10-25,1,1
2010-10-28,1,1
2010-11-06,5,3
2010-11-16,3,1
2010-11-20,2,1
2010-11-22,1,1
2010-12-06,2,1
2010-12-12,1,1
2010-12-18,3,1
2010-12-26,1,1
2011-01-07,1,1
2011-01-11,3,2
