date,hit_count,text_count
2000-11-26,1,1
2001-03-28,1,1
2001-06-16,1,1
2001-07-18,1,1
2001-07-21,1,1
2002-07-21,1,1
2002-08-03,1,1
2002-09-05,1,1
2003-02-09,1,1
2004-03-31,1,1
2004-11-03,1,1
2004-12-09,1,1
2004-12-31,1,1
2005-01-13,1,1
2005-02-02,1,1
2005-07-06,1,1
2006-09-17,1,1
2007-02-03,1,1
2007-02-10,1,1
2007-03-04,1,1
2007-04-27,1,1
2007-05-05,1,1
2007-05-19,1,1
2007-05-20,2,2
2007-05-26,3,3
2007-05-27,1,1
2007-05-29,1,1
2007-05-30,1,1
2007-06-03,1,1
2007-06-04,1,1
2007-06-06,2,2
2007-06-07,1,1
2007-06-08,1,1
2007-06-11,1,1
2007-08-26,1,1
2007-09-03,1,1
2007-10-14,1,1
2007-11-27,1,1
2007-11-30,1,1
2007-12-04,1,1
2007-12-05,1,1
2007-12-07,1,1
2007-12-11,1,1
2008-01-08,1,1
2008-03-13,1,1
2008-05-19,1,1
2008-05-25,1,1
2008-07-04,1,1
2008-09-04,1,1
2008-11-06,1,1
2009-07-09,1,1
2009-08-31,1,1
2009-09-21,1,1
2009-10-10,1,1
2009-10-25,2,2
2009-11-06,1,1
2009-11-07,1,1
2009-11-09,1,1
2009-12-04,2,2
2009-12-05,1,1
2009-12-09,1,1
2009-12-13,2,2
2009-12-19,1,1
2010-01-14,1,1
2010-01-15,1,1
2010-01-23,1,1
2010-01-31,1,1
2010-02-20,1,1
2010-06-05,1,1
2010-09-01,1,1
2010-11-05,1,1
2010-11-08,1,1
2010-11-30,1,1
2011-03-03,1,1
2011-08-24,1,1
2011-11-22,1,1
2011-12-03,1,1
2011-12-31,1,1
2012-02-26,1,1
2012-11-13,1,1
2013-01-08,1,1
2013-04-26,1,1
2013-05-15,1,1
2013-06-13,1,1
2013-08-24,1,1
2013-10-06,1,1
2014-04-06,1,1
2014-04-20,1,1
2014-05-04,1,1
2014-05-21,1,1
2014-05-27,1,1
2014-06-15,1,1
2014-09-23,1,1
2014-09-25,1,1
2014-11-16,1,1
2015-02-04,1,1
2015-03-01,1,1
2015-04-07,1,1
2015-05-31,1,1
2015-06-02,1,1
2015-06-09,1,1
2015-07-15,1,1
