date,hit_count,text_count
2009-01-03,1,1
2009-01-05,2,1
2009-01-08,2,2
2009-01-09,1,1
2009-01-10,4,3
2009-01-12,1,1
2009-01-14,1,1
2009-01-16,3,2
2009-01-17,7,1
2009-01-19,1,1
2009-01-21,1,1
2009-01-22,1,1
2009-01-26,3,2
2009-01-27,6,2
2009-01-28,3,2
2009-01-30,3,2
2009-01-31,3,1
2009-02-02,2,2
2009-02-06,1,1
2009-02-07,1,1
2009-02-09,1,1
2009-02-10,3,3
2009-02-13,2,2
2009-02-14,1,1
2009-02-16,2,2
2009-02-17,1,1
2009-02-18,3,2
2009-02-19,1,1
2009-02-20,5,1
2009-02-25,2,2
2009-02-26,1,1
2009-02-27,4,1
2009-03-02,1,1
2009-03-04,1,1
2009-03-05,1,1
2009-03-06,2,1
2009-03-07,1,1
2009-03-11,3,3
2009-03-13,1,1
2009-03-18,1,1
2009-03-19,1,1
2009-03-20,2,2
2009-03-21,1,1
2009-03-23,1,1
2009-03-24,1,1
2009-03-30,1,1
2009-03-31,8,2
2009-04-01,4,2
2009-04-03,2,2
2009-04-04,3,2
2009-04-07,1,1
2009-04-09,1,1
2009-04-11,1,1
2009-04-14,3,1
2009-04-15,2,1
2009-04-17,2,2
2009-04-18,2,2
2009-04-21,2,1
2009-04-22,1,1
2009-04-25,4,2
2009-04-29,5,3
2009-04-30,1,1
2009-05-01,3,2
2009-05-05,1,1
2009-05-07,1,1
2009-05-11,1,1
2009-05-12,1,1
2009-05-13,2,2
2009-05-16,1,1
2009-05-20,5,4
2009-05-21,1,1
2009-05-23,3,2
2009-05-25,6,1
2009-05-26,4,2
2009-05-28,2,1
2009-05-29,3,3
2009-05-30,3,1
2009-06-02,6,2
2009-06-04,1,1
2009-06-06,3,3
2009-06-11,1,1
2009-06-17,3,2
2009-06-18,3,1
2009-06-20,1,1
2009-06-22,2,2
2009-06-24,2,1
2009-06-25,3,2
2009-06-27,1,1
2009-06-29,4,2
2009-07-01,3,1
2009-07-02,1,1
2009-07-03,3,2
2009-07-04,1,1
2009-07-07,2,2
2009-07-08,6,4
2009-07-09,2,2
2009-07-11,14,5
2009-07-13,7,3
2009-07-14,1,1
2009-07-16,1,1
2009-07-18,5,2
2009-07-29,1,1
2009-08-07,1,1
2009-08-13,3,2
2009-08-20,3,2
2009-08-22,2,1
2009-08-25,3,1
2009-08-28,1,1
2009-08-29,2,2
2009-09-02,2,1
2009-09-04,1,1
2009-09-05,2,2
2009-09-08,1,1
2009-09-11,1,1
2009-09-12,2,2
2009-09-15,3,2
2009-09-17,4,2
2009-09-18,1,1
2009-09-19,1,1
2009-09-23,6,2
2009-09-25,2,2
2009-09-26,1,1
2009-09-28,2,2
2009-10-02,3,2
2009-10-07,3,1
2009-10-10,1,1
2009-10-13,5,2
2009-10-17,1,1
2009-10-19,2,1
2009-10-21,2,1
2009-10-24,1,1
2009-10-26,3,3
2009-10-28,1,1
2009-10-30,2,1
2009-10-31,5,3
2009-11-03,1,1
2009-11-04,5,4
2009-11-05,3,1
2009-11-06,4,1
2009-11-07,2,1
2009-11-11,2,2
2009-11-12,8,4
2009-11-13,2,1
2009-11-14,3,2
2009-11-17,1,1
2009-11-18,2,2
2009-11-20,9,5
2009-11-21,2,2
2009-11-24,3,2
2009-11-25,1,1
2009-11-26,4,3
2009-11-27,1,1
2009-11-28,8,5
2009-12-02,2,2
2009-12-03,9,3
2009-12-04,1,1
2009-12-05,6,3
2009-12-07,4,2
2009-12-08,5,3
2009-12-09,3,2
2009-12-10,7,5
2009-12-11,5,3
2009-12-12,9,6
2009-12-16,4,3
2009-12-17,6,1
2009-12-18,8,4
2009-12-19,7,5
2009-12-21,4,2
2009-12-22,3,1
2009-12-23,1,1
2009-12-29,1,1
2009-12-30,2,1
2009-12-31,3,3
2010-01-02,1,1
2010-01-06,1,1
2010-01-08,1,1
2010-01-09,1,1
2010-01-12,2,1
2010-01-14,2,2
2010-01-15,2,2
2010-01-16,8,1
2010-01-19,3,2
2010-01-20,4,2
2010-01-22,2,2
2010-01-23,1,1
2010-01-26,1,1
2010-01-27,4,2
2010-01-28,5,2
2010-01-30,4,2
2010-02-01,13,4
2010-02-02,2,2
2010-02-03,3,1
2010-02-05,3,2
2010-02-08,2,1
2010-02-09,1,1
2010-02-10,4,3
2010-02-11,2,2
2010-02-12,1,1
2010-02-13,2,1
2010-02-18,3,1
2010-02-19,1,1
2010-02-22,3,1
2010-02-23,1,1
2010-02-24,1,1
2010-02-26,1,1
2010-02-27,1,1
2010-03-02,1,1
2010-03-05,5,1
2010-03-06,2,1
2010-03-11,2,2
2010-03-15,2,1
2010-03-16,1,1
2010-03-18,6,3
2010-03-19,7,3
2010-03-20,4,3
2010-03-25,3,2
2010-03-26,1,1
2010-03-27,2,2
2010-03-29,3,1
2010-03-31,1,1
2010-04-01,1,1
2010-04-06,2,2
2010-04-12,1,1
2010-04-15,2,2
2010-04-21,3,2
2010-04-22,3,2
2010-04-24,3,2
2010-04-26,1,1
2010-04-28,1,1
2010-04-29,1,1
2010-04-30,1,1
2010-05-03,3,3
2010-05-04,1,1
2010-05-05,1,1
2010-05-06,1,1
2010-05-07,1,1
2010-05-08,1,1
2010-05-10,2,1
2010-05-17,1,1
2010-05-19,1,1
2010-05-20,2,1
2010-05-22,2,1
2010-06-01,2,2
2010-06-05,1,1
2010-06-09,1,1
2010-06-10,1,1
2010-06-15,2,1
2010-06-16,3,2
2010-06-17,1,1
2010-06-18,1,1
2010-06-19,1,1
2010-06-21,1,1
2010-06-22,2,1
2010-06-23,1,1
2010-06-24,1,1
2010-06-25,3,3
2010-06-28,1,1
2010-07-01,1,1
2010-07-03,1,1
2010-07-07,1,1
2010-07-10,2,2
2010-07-14,3,3
2010-07-16,2,2
2010-07-17,1,1
2010-07-19,1,1
2010-07-20,1,1
2010-07-22,1,1
2010-07-24,1,1
2010-07-28,1,1
2010-07-31,3,1
2010-08-04,1,1
2010-08-05,2,2
2010-08-17,3,2
2010-08-18,1,1
2010-08-20,3,1
2010-08-23,1,1
2010-08-26,1,1
2010-08-28,1,1
2010-09-01,5,2
2010-09-02,1,1
2010-09-03,1,1
2010-09-07,3,1
2010-09-09,2,1
2010-09-10,3,2
2010-09-11,4,3
2010-09-14,1,1
2010-09-15,1,1
2010-09-16,1,1
2010-09-17,3,2
2010-09-21,1,1
2010-09-23,6,2
2010-09-24,1,1
2010-09-25,1,1
2010-09-28,3,2
2010-09-30,2,1
2010-10-02,2,1
2010-10-04,2,2
2010-10-05,2,1
2010-10-06,2,1
2010-10-12,1,1
2010-10-14,5,3
2010-10-15,2,2
2010-10-16,1,1
2010-10-20,1,1
2010-10-22,3,2
2010-10-23,1,1
2010-10-26,1,1
2010-10-29,2,1
2010-10-30,1,1
2010-11-05,1,1
2010-11-06,2,2
2010-11-09,1,1
2010-11-10,1,1
2010-11-11,3,1
2010-11-13,2,2
2010-11-15,1,1
2010-11-17,2,1
2010-11-18,1,1
2010-11-19,1,1
2010-11-20,2,2
2010-11-24,2,2
2010-11-25,2,2
2010-11-26,2,1
2010-11-27,4,2
2010-11-29,2,1
2010-11-30,1,1
2010-12-02,1,1
2010-12-03,1,1
2010-12-04,2,1
2010-12-06,2,2
2010-12-08,1,1
2010-12-10,7,3
2010-12-11,14,3
2010-12-13,9,3
2010-12-14,1,1
2010-12-15,2,1
2010-12-16,3,1
2010-12-20,1,1
2010-12-23,1,1
2010-12-27,3,2
2010-12-28,3,2
2010-12-29,2,1
2010-12-31,4,2
2011-01-06,1,1
2011-01-11,1,1
2011-01-14,2,1
2011-01-15,2,2
2011-01-18,1,1
2011-01-19,3,1
2011-01-20,1,1
2011-01-21,1,1
2011-01-22,1,1
2011-01-29,1,1
2011-02-01,1,1
2011-02-05,2,2
2011-02-08,2,1
2011-02-09,2,2
2011-02-10,3,3
2011-02-11,1,1
2011-02-14,1,1
2011-02-15,2,2
2011-02-18,1,1
2011-02-22,2,2
2011-03-01,1,1
2011-03-02,2,2
2011-03-03,1,1
2011-03-04,1,1
2011-03-05,1,1
2011-03-07,1,1
2011-03-08,1,1
2011-03-10,1,1
2011-03-11,1,1
2011-03-21,1,1
2011-03-22,1,1
2011-03-23,1,1
2011-03-26,3,3
2011-04-02,1,1
2011-04-05,5,3
2011-04-06,1,1
2011-04-08,1,1
2011-04-11,1,1
2011-04-12,1,1
2011-04-13,2,2
2011-04-14,1,1
2011-04-15,1,1
2011-04-16,1,1
2011-04-28,1,1
2011-04-30,1,1
2011-05-02,1,1
2011-05-03,3,3
2011-05-06,4,1
2011-05-21,3,2
2011-05-24,3,2
2011-05-25,1,1
2011-05-30,1,1
2011-05-31,1,1
2011-06-01,1,1
2011-06-04,1,1
2011-06-06,1,1
2011-06-07,3,1
2011-06-09,3,2
2011-06-10,1,1
2011-06-11,4,1
2011-06-15,2,1
2011-06-16,1,1
2011-06-17,8,5
2011-06-21,1,1
2011-06-22,2,2
2011-06-23,5,3
2011-06-25,1,1
2011-06-28,2,1
2011-06-29,4,2
2011-07-02,2,1
2011-07-04,10,5
2011-07-05,1,1
2011-07-07,1,1
2011-07-09,2,1
2011-07-13,1,1
2011-07-26,4,3
2011-08-01,1,1
2011-08-02,1,1
2011-08-08,2,2
2011-08-13,4,3
2011-08-15,1,1
2011-08-17,1,1
2011-08-18,1,1
2011-08-19,2,1
2011-08-20,2,1
2011-08-23,1,1
2011-08-24,4,1
2011-08-25,4,2
2011-08-29,2,1
2011-08-31,4,2
2011-09-07,1,1
2011-09-09,1,1
2011-09-12,1,1
2011-09-13,1,1
2011-09-16,2,1
2011-09-17,3,2
2011-09-20,5,3
2011-09-23,3,1
2011-09-29,1,1
2011-09-30,2,2
2011-10-06,1,1
2011-10-07,1,1
2011-10-13,2,2
2011-10-15,1,1
2011-10-20,3,3
2011-10-22,5,1
2011-10-25,2,1
2011-10-31,1,1
2011-11-05,2,1
2011-11-07,1,1
2011-11-09,1,1
2011-11-18,1,1
2011-11-19,4,1
2011-11-25,5,4
2011-11-28,1,1
2011-11-29,8,2
2011-11-30,6,3
