date,hit_count,text_count
2015-06-02,1,1
2015-11-28,1,1
2015-12-12,1,1
2016-01-08,1,1
2016-09-14,1,1
2016-10-05,1,1
2016-12-28,1,1
2017-03-28,1,1
2017-04-08,2,2
2017-05-27,1,1
2017-06-01,1,1
2017-08-19,3,3
2017-08-21,1,1
2017-11-08,1,1
2018-04-30,1,1
2018-07-24,1,1
2018-07-26,1,1
2018-08-03,1,1
2018-08-11,1,1
2018-08-17,1,1
2018-08-24,1,1
2018-09-22,1,1
2018-10-25,1,1
2018-12-17,1,1
2019-01-04,1,1
2019-01-14,1,1
2019-01-17,1,1
2019-02-04,1,1
2019-02-05,1,1
2019-02-21,1,1
2019-02-27,1,1
2019-03-02,1,1
2019-04-02,1,1
2019-04-05,1,1
2019-04-08,1,1
2019-04-12,1,1
2019-05-04,1,1
2019-05-13,1,1
2019-05-16,1,1
2019-05-27,1,1
2019-05-29,1,1
2019-05-31,1,1
2019-06-03,1,1
2019-06-12,1,1
2019-06-15,1,1
2019-06-22,1,1
2019-06-24,2,2
2019-06-26,2,2
2019-06-28,1,1
2019-07-12,1,1
2019-07-13,2,2
2019-07-20,1,1
2019-07-29,2,2
2019-07-30,1,1
2019-08-02,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-13,1,1
2019-08-15,1,1
2019-08-26,1,1
2019-08-27,1,1
2019-09-20,1,1
2019-09-28,1,1
2019-10-04,1,1
2019-10-05,2,2
2019-10-08,1,1
2019-10-15,1,1
2019-10-19,2,2
2019-11-09,1,1
2019-11-28,1,1
2019-11-29,1,1
2019-12-02,1,1
2019-12-05,1,1
2019-12-07,1,1
2019-12-10,1,1
2019-12-13,1,1
2019-12-17,1,1
2019-12-23,1,1
2019-12-28,1,1
2019-12-30,1,1
2020-01-07,1,1
2020-01-11,1,1
2020-01-14,1,1
2020-01-22,1,1
2020-01-28,1,1
2020-02-01,2,2
2020-02-13,1,1
2020-02-19,1,1
2020-03-17,1,1
2020-03-28,1,1
2020-04-24,1,1
2020-04-27,2,2
2020-08-17,3,3
2020-08-19,1,1
2020-08-21,1,1
2020-08-24,1,1
2020-08-27,1,1
2020-08-29,1,1
2020-09-08,1,1
2020-10-01,1,1
2020-11-07,1,1
2020-11-13,1,1
2020-11-20,1,1
2020-11-24,2,2
2020-12-07,1,1
2020-12-11,1,1
2020-12-19,1,1
2020-12-31,1,1
2021-01-02,1,1
2021-02-08,1,1
2021-03-01,1,1
2021-03-03,1,1
2021-03-06,1,1
2021-03-08,1,1
2021-03-11,1,1
2021-03-26,1,1
2021-04-22,1,1
2021-04-23,1,1
2021-04-30,1,1
2021-05-05,1,1
2021-05-22,1,1
2021-06-04,1,1
2021-06-19,1,1
2021-07-01,1,1
2021-07-02,1,1
2021-07-03,1,1
2021-07-09,1,1
2021-07-12,1,1
2021-07-16,1,1
2021-07-17,1,1
2021-07-19,1,1
2021-07-22,1,1
2021-07-24,1,1
2021-07-30,1,1
2021-07-31,1,1
2021-08-03,1,1
2021-08-07,2,2
2021-08-28,1,1
2021-09-06,1,1
2021-09-07,1,1
2021-09-13,1,1
2021-09-14,1,1
2021-09-20,2,2
2021-09-22,2,2
2021-09-24,2,2
2021-09-25,3,3
2021-10-15,1,1
2021-10-18,2,2
2021-10-20,2,2
2021-10-21,1,1
2021-10-22,1,1
2021-10-30,2,2
2021-11-02,1,1
2021-11-06,1,1
2021-11-08,2,2
2021-11-09,1,1
2021-11-15,1,1
2021-11-25,1,1
2021-12-14,1,1
2021-12-29,1,1
2021-12-31,1,1
2022-01-03,1,1
2022-01-17,1,1
2022-02-11,1,1
2022-02-19,1,1
2022-02-21,1,1
2022-02-24,1,1
2022-03-01,1,1
2022-03-05,1,1
2022-04-02,1,1
2022-04-05,1,1
2022-04-07,1,1
2022-05-06,1,1
2022-05-17,1,1
2022-05-24,1,1
2022-05-31,1,1
2022-06-08,1,1
2022-06-10,1,1
2022-06-15,2,2
2022-06-29,1,1
2022-07-02,1,1
2022-07-12,1,1
2022-07-14,1,1
2022-07-16,2,2
2022-07-18,2,2
2022-07-19,1,1
2022-07-21,1,1
2022-07-22,1,1
2022-07-27,1,1
2022-07-30,2,2
2022-08-05,1,1
2022-08-15,1,1
2022-08-31,1,1
2022-09-03,3,3
2022-09-10,2,2
2022-09-12,1,1
2022-09-13,1,1
2022-09-27,1,1
2022-10-17,1,1
2022-10-22,1,1
2022-10-29,1,1
2022-11-02,1,1
2022-11-07,2,2
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,2,2
2022-11-19,1,1
2022-11-21,2,2
2022-12-08,1,1
2022-12-09,1,1
2022-12-10,3,3
2022-12-15,2,2
2022-12-17,1,1
2022-12-20,1,1
