date,hit_count,text_count
2000-07-12,1,1
2000-07-27,1,1
2000-08-30,1,1
2000-10-19,1,1
2000-10-20,1,1
2000-11-24,1,1
2000-11-27,2,2
2000-12-21,1,1
2001-01-13,1,1
2001-03-05,2,2
2001-03-09,1,1
2001-03-12,1,1
2001-03-16,1,1
2001-03-29,1,1
2001-03-31,1,1
2001-04-19,1,1
2001-06-08,1,1
2001-08-10,1,1
2001-08-11,1,1
2001-09-29,1,1
2001-10-11,1,1
2001-11-06,1,1
2001-11-28,1,1
2001-12-28,1,1
2002-11-02,1,1
2003-04-01,1,1
2004-08-25,1,1
2004-10-01,1,1
2004-10-12,1,1
2004-10-18,1,1
2005-02-17,1,1
2005-03-22,1,1
2005-08-10,2,2
2005-09-26,1,1
2006-01-19,1,1
2006-06-06,1,1
2006-10-31,1,1
2007-01-26,1,1
2007-02-02,1,1
2007-02-07,1,1
2007-02-28,1,1
2007-03-02,1,1
2007-03-28,1,1
2007-05-04,1,1
2007-05-12,1,1
2007-05-25,1,1
2007-05-31,1,1
2007-06-02,1,1
2007-06-08,2,2
2007-06-14,3,3
2007-06-16,1,1
2007-07-04,2,2
2007-07-06,1,1
2007-07-10,1,1
2007-07-18,1,1
2007-08-07,1,1
2007-08-23,1,1
2007-08-30,1,1
2007-09-14,1,1
2007-09-25,1,1
2007-09-29,1,1
2007-10-13,1,1
2007-10-30,1,1
2007-10-31,1,1
2007-11-27,1,1
2007-12-06,1,1
2007-12-08,4,4
2007-12-14,1,1
2007-12-15,1,1
2007-12-17,1,1
2008-01-09,1,1
2008-01-17,2,2
2008-02-08,1,1
2008-03-20,1,1
2008-04-05,1,1
2008-05-10,1,1
2008-06-03,1,1
2008-06-19,1,1
2008-07-01,1,1
2008-07-09,1,1
2008-07-31,1,1
2008-08-21,2,2
2008-12-12,1,1
2008-12-13,1,1
2009-01-05,1,1
2009-04-02,1,1
2009-05-11,1,1
2009-05-18,1,1
2009-05-25,1,1
2009-06-03,1,1
2009-06-04,1,1
2009-06-09,1,1
2009-07-06,1,1
2009-07-09,1,1
2009-07-16,1,1
2009-08-14,1,1
2009-08-18,1,1
2009-08-19,1,1
2009-09-07,1,1
2009-09-16,1,1
2009-09-24,1,1
2009-10-01,1,1
2009-10-06,1,1
2009-10-07,1,1
