date,hit_count,text_count
2000-01-06,1,1
2000-01-07,3,3
2000-01-11,1,1
2000-01-12,1,1
2000-01-13,4,4
2000-01-18,1,1
2000-01-19,1,1
2000-01-20,1,1
2000-01-22,3,3
2000-01-25,2,2
2000-01-26,1,1
2000-01-31,1,1
2000-02-01,2,2
2000-02-04,2,2
2000-02-05,1,1
2000-02-09,1,1
2000-02-10,2,2
2000-02-11,2,2
2000-02-14,1,1
2000-02-15,1,1
2000-02-16,1,1
2000-02-21,1,1
2000-02-26,2,2
2000-02-29,2,2
2000-03-02,3,3
2000-03-06,1,1
2000-03-07,2,2
2000-03-08,1,1
2000-03-11,1,1
2000-03-14,3,3
2000-03-16,2,2
2000-03-17,2,2
2000-03-18,1,1
2000-03-20,2,2
2000-03-24,1,1
2000-03-25,2,2
2000-03-27,1,1
2000-03-29,3,3
2000-03-30,2,2
2000-03-31,1,1
2000-04-01,1,1
2000-04-04,1,1
2000-04-08,1,1
2000-04-11,1,1
2000-04-12,1,1
2000-04-13,2,2
2000-04-14,2,2
2000-04-15,1,1
2000-04-17,2,2
2000-04-27,1,1
2000-04-29,2,2
2000-05-02,1,1
2000-05-04,1,1
2000-05-09,1,1
2000-05-17,1,1
2000-05-18,1,1
2000-05-20,1,1
2000-05-23,1,1
2000-05-24,1,1
2000-05-25,2,2
2000-05-26,2,2
2000-05-29,1,1
2000-06-03,1,1
2000-06-05,1,1
2000-06-07,1,1
2000-06-08,1,1
2000-06-09,1,1
2000-06-17,1,1
2000-06-21,1,1
2000-06-24,2,2
2000-06-27,1,1
2000-06-30,1,1
2000-07-01,1,1
2000-07-05,2,2
2000-07-19,1,1
2000-07-21,1,1
2000-07-24,1,1
2000-07-27,1,1
2000-07-31,1,1
2000-08-02,1,1
2000-08-09,1,1
2000-08-10,2,2
2000-08-18,1,1
2000-08-21,2,2
2000-08-23,2,2
2000-08-24,1,1
2000-08-25,2,2
2000-08-29,1,1
2000-09-04,1,1
2000-09-05,1,1
2000-09-06,2,2
2000-09-07,1,1
2000-09-09,2,2
2000-09-14,4,4
2000-09-15,1,1
2000-09-16,1,1
2000-09-18,1,1
2000-09-20,1,1
2000-09-21,2,2
2000-09-27,2,2
2000-10-02,1,1
2000-10-04,1,1
2000-10-06,1,1
2000-10-12,1,1
2000-10-16,1,1
2000-10-18,1,1
2000-10-19,1,1
2000-10-21,1,1
2000-10-24,1,1
2000-10-25,1,1
2000-10-27,3,3
2000-11-01,1,1
2000-11-08,5,5
2000-11-10,2,2
2000-11-14,1,1
2000-11-15,2,2
2000-11-17,1,1
2000-11-22,1,1
2000-11-24,1,1
2000-11-25,1,1
2000-11-27,2,2
2000-11-29,2,2
2000-12-01,1,1
2000-12-05,1,1
2000-12-06,2,2
2000-12-13,2,2
2000-12-14,1,1
2000-12-15,1,1
2000-12-18,4,4
2000-12-19,1,1
2000-12-27,1,1
2000-12-28,1,1
2000-12-30,1,1
2001-01-04,1,1
2001-01-05,1,1
2001-01-11,1,1
2001-01-12,1,1
2001-01-13,2,2
2001-01-16,2,2
2001-01-17,1,1
2001-01-18,1,1
2001-01-19,1,1
2001-01-24,1,1
2001-01-27,2,2
2001-01-31,1,1
2001-02-01,1,1
2001-02-02,2,2
2001-02-03,1,1
2001-02-07,1,1
2001-02-09,1,1
2001-02-10,1,1
2001-02-12,1,1
2001-02-13,1,1
2001-02-14,2,2
