date,hit_count,text_count
2011-02-08,1,1
2011-03-17,1,1
2011-05-25,1,1
2011-06-15,1,1
2011-06-16,1,1
2011-07-26,1,1
2011-09-30,1,1
2011-12-08,1,1
2012-03-14,1,1
2012-04-21,1,1
2012-07-21,1,1
2012-07-25,1,1
2012-07-28,1,1
2012-08-25,1,1
2012-10-25,1,1
2012-12-04,1,1
2012-12-10,1,1
2012-12-20,1,1
2013-01-19,1,1
2013-03-14,1,1
2013-04-02,1,1
2013-04-09,1,1
2013-04-13,1,1
2013-05-09,1,1
2013-06-07,1,1
2013-08-13,1,1
2013-08-21,1,1
2013-09-12,1,1
2013-10-10,1,1
2013-11-12,1,1
2013-12-05,1,1
2013-12-07,1,1
2014-01-15,1,1
2014-01-17,1,1
2014-02-18,1,1
2014-02-24,1,1
2014-04-07,1,1
2014-04-14,1,1
2014-04-15,1,1
2014-06-04,1,1
2014-06-11,1,1
2014-07-01,1,1
2014-07-09,1,1
2014-09-17,1,1
2014-09-24,1,1
2014-10-22,1,1
2014-10-24,1,1
2014-12-31,1,1
2015-02-09,1,1
2015-02-12,1,1
2015-03-25,1,1
2015-04-11,1,1
2015-07-03,1,1
2015-07-27,1,1
2015-07-30,1,1
2015-08-05,1,1
2015-11-27,1,1
2015-12-02,1,1
2015-12-05,1,1
2016-03-04,1,1
2016-03-12,1,1
2016-03-14,1,1
2016-04-15,1,1
2016-04-19,1,1
2016-05-03,1,1
2016-05-10,1,1
2016-06-11,1,1
2016-06-28,1,1
2016-11-03,1,1
2016-11-25,1,1
2016-12-13,1,1
2016-12-23,1,1
2017-02-10,1,1
2017-03-07,1,1
2017-03-14,1,1
2017-03-31,1,1
2017-06-03,2,2
2017-07-11,1,1
2017-07-27,1,1
2017-09-01,1,1
2017-09-04,1,1
2017-10-24,1,1
2018-01-23,1,1
2018-05-29,1,1
2018-07-14,1,1
2018-08-08,1,1
2018-09-04,1,1
2018-09-20,1,1
2018-09-29,2,2
2018-12-19,1,1
2018-12-22,1,1
2019-01-05,1,1
2019-01-09,1,1
2019-01-10,1,1
2019-01-12,1,1
2019-01-19,1,1
2019-01-21,1,1
2019-01-22,1,1
2019-01-29,1,1
2019-02-02,2,2
2019-02-04,1,1
2019-03-30,1,1
2019-04-12,1,1
2019-04-13,1,1
2019-05-15,1,1
2019-06-24,1,1
2019-07-15,1,1
2019-07-17,1,1
2019-08-10,1,1
2019-08-29,1,1
2019-09-06,1,1
2019-09-07,1,1
2019-10-05,1,1
2019-10-18,1,1
2019-10-24,1,1
2019-11-13,1,1
2019-11-14,1,1
2019-11-15,1,1
2019-11-20,1,1
2019-11-21,1,1
2019-12-02,1,1
2019-12-06,1,1
2019-12-13,1,1
2019-12-23,1,1
2019-12-27,2,2
2019-12-31,1,1
2020-01-03,1,1
2020-01-21,1,1
2020-01-22,1,1
2020-01-24,1,1
2020-01-25,1,1
2020-02-08,1,1
2020-02-15,1,1
2020-02-19,1,1
2020-02-29,1,1
2020-05-26,1,1
2020-06-02,1,1
2020-06-05,1,1
2020-06-30,1,1
2020-07-15,1,1
2020-07-22,1,1
2020-07-25,1,1
2020-09-16,1,1
2020-10-06,1,1
2020-10-14,1,1
2020-11-16,1,1
2021-01-30,1,1
2021-02-15,1,1
2021-02-22,1,1
2021-02-25,1,1
2021-03-02,2,2
2021-03-04,1,1
2021-03-17,1,1
2021-04-27,1,1
2021-04-30,1,1
2021-05-14,1,1
2021-05-17,1,1
2021-05-20,1,1
2021-06-02,1,1
2021-06-19,1,1
2021-07-13,2,2
2021-07-24,1,1
2021-08-13,1,1
2021-08-19,1,1
2021-09-02,1,1
2021-09-03,1,1
2021-09-18,1,1
2021-09-25,1,1
2021-09-28,1,1
2021-10-02,1,1
2021-10-05,1,1
2021-10-16,1,1
2021-10-29,1,1
2021-11-05,1,1
2021-11-10,2,2
2021-11-13,1,1
2021-11-22,1,1
2021-11-25,1,1
2021-12-09,1,1
2021-12-21,1,1
2022-01-12,2,2
2022-02-03,1,1
2022-02-12,1,1
2022-02-16,1,1
2022-02-18,1,1
2022-03-05,1,1
2022-03-08,1,1
2022-03-17,1,1
2022-03-22,2,2
2022-03-29,1,1
2022-04-02,1,1
2022-04-06,1,1
2022-04-14,1,1
2022-04-21,1,1
2022-04-29,1,1
2022-05-10,2,2
2022-05-14,1,1
2022-05-17,1,1
2022-05-18,1,1
2022-05-23,1,1
2022-06-10,1,1
2022-06-30,1,1
2022-07-05,2,2
2022-07-06,1,1
2022-07-18,1,1
2022-07-20,1,1
2022-07-30,1,1
2022-08-06,1,1
2022-08-20,1,1
2022-08-29,1,1
2022-09-07,1,1
2022-09-12,1,1
2022-10-11,1,1
2022-10-14,1,1
2022-11-03,1,1
2022-11-12,1,1
2022-11-21,1,1
2022-12-05,1,1
2022-12-06,1,1
2022-12-21,2,2
2022-12-24,1,1
2022-12-31,1,1
