date,hit_count,text_count
2013-05-15,1,1
2013-05-16,1,1
2013-05-17,1,1
2013-05-18,6,4
2013-05-21,4,1
2013-05-22,2,2
2013-05-23,1,1
2013-05-24,7,2
2013-05-29,1,1
2013-06-07,2,1
2013-06-10,2,1
2013-06-15,1,1
2013-06-20,1,1
2013-06-22,1,1
2013-06-29,2,2
2013-07-15,1,1
2013-07-16,1,1
2013-08-10,1,1
2013-08-12,1,1
2013-08-15,1,1
2013-08-29,3,3
2013-08-31,1,1
2013-09-09,4,2
2013-09-11,1,1
2013-09-14,4,2
2013-09-18,1,1
2013-09-21,6,1
2013-09-24,2,1
2013-09-28,10,3
2013-09-30,1,1
2013-10-05,1,1
2013-10-14,1,1
2013-10-15,2,1
2013-10-16,4,2
2013-10-29,1,1
2013-10-30,1,1
2013-11-06,1,1
2013-11-07,6,3
2013-11-08,4,1
2013-11-11,7,2
2013-11-15,3,1
2013-11-19,1,1
2013-11-21,6,2
2013-11-25,3,1
2013-11-30,2,2
2013-12-02,1,1
2013-12-06,1,1
2013-12-11,2,2
2013-12-14,2,2
2013-12-16,1,1
2013-12-18,1,1
2014-01-02,1,1
2014-01-08,1,1
2014-01-09,1,1
2014-01-10,1,1
2014-01-13,1,1
2014-01-14,2,1
2014-01-24,1,1
2014-01-28,1,1
2014-01-31,2,2
2014-02-07,4,1
2014-02-21,2,1
2014-02-27,5,2
2014-03-01,5,3
2014-03-05,1,1
2014-03-08,1,1
2014-03-14,1,1
2014-03-22,2,1
2014-03-25,2,1
2014-03-26,1,1
2014-03-27,1,1
2014-03-28,2,1
2014-03-31,1,1
2014-04-01,13,5
2014-04-02,8,2
2014-04-03,2,2
2014-04-08,1,1
2014-04-12,3,2
2014-04-14,6,2
2014-04-15,6,1
2014-04-19,4,1
2014-04-22,2,2
2014-04-26,5,1
2014-05-02,1,1
2014-05-06,1,1
2014-05-17,4,1
2014-05-21,1,1
2014-05-23,1,1
2014-05-24,2,2
2014-05-31,11,1
2014-06-03,1,1
2014-06-06,1,1
2014-06-14,1,1
2014-06-16,1,1
2014-06-28,2,2
2014-07-15,4,2
2014-07-16,1,1
2014-07-19,1,1
2014-08-06,2,1
2014-08-22,2,1
2014-09-08,1,1
2014-10-04,1,1
2014-10-11,1,1
2014-10-15,1,1
2014-10-17,1,1
2014-10-25,1,1
2014-11-03,1,1
2014-11-05,2,2
2014-11-08,1,1
2014-11-11,2,1
2014-11-20,4,1
2014-11-27,1,1
2014-12-04,3,2
2014-12-15,2,2
2015-01-10,1,1
2015-01-13,1,1
2015-01-30,1,1
2015-02-05,2,2
2015-02-16,1,1
2015-02-24,1,1
2015-02-25,1,1
2015-02-28,1,1
2015-03-19,1,1
2015-03-25,1,1
2015-03-28,1,1
2015-04-10,2,2
2015-04-11,1,1
2015-04-15,1,1
2015-04-20,4,1
2015-04-24,2,1
2015-04-25,2,1
2015-05-12,1,1
2015-05-28,1,1
2015-06-06,1,1
2015-06-09,3,1
2015-06-19,2,2
2015-06-24,2,2
2015-07-02,1,1
2015-07-07,1,1
2015-07-09,1,1
2015-07-18,6,2
2015-07-25,4,2
2015-08-01,1,1
2015-08-04,2,2
2015-08-06,2,1
2015-08-07,2,1
2015-08-13,1,1
2015-08-15,2,1
2015-08-18,3,1
2015-08-21,4,1
2015-08-29,1,1
2015-11-03,1,1
2015-11-07,1,1
2015-11-14,1,1
2015-11-17,2,2
2015-11-20,2,1
2015-11-24,3,1
2015-11-25,2,1
2015-11-26,2,2
2015-11-27,2,1
2015-11-28,11,3
2015-11-30,3,1
2015-12-01,9,3
2015-12-04,1,1
2015-12-05,4,3
2015-12-07,5,2
2015-12-08,6,6
2015-12-09,3,2
2015-12-11,2,1
2015-12-12,4,3
2015-12-14,14,5
2015-12-18,3,3
2015-12-24,1,1
2015-12-31,3,1
2016-01-02,6,3
2016-01-05,2,1
2016-01-06,1,1
2016-01-14,3,3
2016-01-16,2,2
2016-01-27,1,1
2016-01-29,2,1
2016-02-10,1,1
2016-02-11,1,1
2016-02-13,1,1
2016-02-15,1,1
2016-02-17,1,1
2016-02-18,2,2
2016-02-20,1,1
2016-02-26,1,1
2016-03-02,2,1
2016-03-04,3,1
2016-03-05,1,1
2016-03-15,1,1
2016-03-16,1,1
2016-03-19,1,1
2016-03-21,2,2
2016-03-24,2,1
2016-03-29,1,1
2016-03-31,2,2
2016-04-04,1,1
2016-04-06,1,1
2016-04-15,5,2
2016-04-16,1,1
2016-04-23,1,1
2016-04-26,1,1
2016-04-30,1,1
2016-05-02,1,1
2016-05-09,2,1
2016-05-11,4,2
2016-05-12,1,1
2016-05-17,1,1
2016-05-19,1,1
2016-05-20,2,1
2016-05-21,1,1
2016-06-02,1,1
2016-06-03,1,1
2016-06-06,2,2
2016-06-13,1,1
2016-06-21,2,1
2016-06-22,1,1
2016-06-24,1,1
2016-06-25,1,1
2016-06-30,2,1
2016-07-05,1,1
2016-07-07,1,1
2016-07-09,1,1
2016-07-16,2,1
2016-07-18,1,1
2016-07-20,1,1
2016-07-21,1,1
2016-07-28,1,1
2016-07-29,1,1
2016-07-30,1,1
2016-08-02,1,1
2016-08-03,1,1
2016-08-13,4,1
2016-08-17,1,1
2016-08-18,1,1
2016-08-20,3,3
2016-08-27,4,2
2016-08-30,1,1
2016-08-31,1,1
