date,hit_count,text_count
2013-05-24,2,2
2013-06-14,1,1
2013-06-25,1,1
2013-06-29,1,1
2013-07-02,1,1
2013-07-17,1,1
2013-08-15,1,1
2013-08-29,1,1
2013-10-18,1,1
2013-11-11,1,1
2013-11-12,1,1
2013-11-16,1,1
2013-11-19,1,1
2013-11-22,1,1
2013-11-23,2,2
2014-02-08,1,1
2014-02-10,1,1
2014-03-26,1,1
2014-03-29,2,2
2014-04-01,2,2
2014-05-19,1,1
2014-05-24,1,1
2014-06-17,1,1
2014-07-14,1,1
2014-07-15,1,1
2014-08-01,1,1
2014-12-09,1,1
2014-12-17,1,1
2015-01-22,1,1
2015-03-10,1,1
2015-03-25,1,1
2015-04-20,1,1
2015-04-25,2,2
2015-05-21,1,1
2015-05-30,1,1
2015-07-24,1,1
2015-11-24,1,1
2015-11-25,1,1
2015-11-30,3,3
2015-12-07,1,1
2015-12-11,1,1
2015-12-18,1,1
2015-12-19,1,1
2015-12-31,1,1
2016-01-07,1,1
2016-01-29,1,1
2016-02-01,1,1
2016-02-06,1,1
2016-02-20,1,1
2016-03-01,1,1
2016-03-26,1,1
2016-04-02,1,1
2016-07-15,2,2
2016-09-09,1,1
2016-09-27,1,1
2016-10-20,1,1
2016-10-29,1,1
2016-11-02,3,3
2016-11-03,1,1
2016-11-05,1,1
2016-11-09,1,1
2016-11-10,1,1
2016-11-26,1,1
2016-12-02,2,2
2016-12-09,1,1
2017-01-30,1,1
2017-03-11,1,1
2017-04-05,1,1
2017-04-15,1,1
2017-05-29,1,1
2017-06-02,1,1
2017-06-03,1,1
2017-06-07,1,1
2017-06-20,1,1
2017-06-22,1,1
2017-06-24,1,1
2017-06-26,1,1
2017-06-30,1,1
2017-07-03,1,1
2017-07-07,2,2
2017-07-08,4,4
2017-07-10,1,1
2017-07-15,1,1
2017-07-19,1,1
2017-08-11,1,1
2017-08-19,2,2
2017-08-25,1,1
2017-08-26,2,2
2017-08-29,1,1
2017-08-31,1,1
2017-09-15,1,1
2017-10-14,2,2
2017-10-18,1,1
2017-10-25,1,1
2017-11-02,1,1
2017-11-03,1,1
2017-11-04,1,1
2017-11-06,1,1
2017-11-13,2,2
2017-11-14,1,1
2017-11-16,1,1
2017-11-17,1,1
2017-11-18,3,3
2017-11-20,1,1
2017-12-02,1,1
2017-12-13,1,1
2017-12-21,1,1
2017-12-23,1,1
2018-01-08,1,1
2018-01-29,1,1
2018-02-23,1,1
2018-03-06,1,1
2018-03-10,2,2
2018-03-12,1,1
2018-03-17,2,2
2018-03-31,1,1
2018-04-14,1,1
2018-04-18,1,1
2018-04-27,1,1
2018-05-03,1,1
2018-05-07,1,1
2018-05-08,1,1
2018-05-16,1,1
2018-05-19,1,1
2018-06-07,1,1
2018-06-15,1,1
2018-06-23,1,1
2018-06-30,1,1
2018-07-12,1,1
2018-07-13,1,1
2018-07-21,2,2
2018-07-30,2,2
2018-08-04,1,1
2018-08-14,1,1
2018-08-16,1,1
2018-08-25,1,1
2018-08-28,1,1
2018-09-08,1,1
2018-09-14,2,2
2018-09-19,2,2
2018-09-20,1,1
2018-09-22,1,1
2018-09-25,1,1
2018-09-29,2,2
2018-10-06,1,1
2018-10-09,1,1
2018-10-11,1,1
2018-10-19,1,1
2018-10-20,1,1
2018-11-03,1,1
2018-11-07,1,1
2018-11-19,1,1
2018-11-24,1,1
2018-12-01,1,1
2018-12-03,1,1
2018-12-06,1,1
2018-12-10,1,1
2018-12-15,2,2
2018-12-17,1,1
2018-12-21,1,1
2018-12-24,1,1
2018-12-29,2,2
2019-01-04,1,1
2019-01-08,1,1
2019-01-09,2,2
2019-01-12,2,2
2019-01-14,1,1
2019-01-15,1,1
2019-01-22,1,1
2019-01-23,1,1
2019-01-26,3,3
2019-01-28,3,3
2019-02-02,1,1
2019-02-05,1,1
2019-02-07,1,1
2019-02-09,1,1
2019-02-14,1,1
2019-02-15,1,1
2019-02-16,1,1
2019-02-19,1,1
2019-02-22,1,1
2019-02-25,1,1
2019-02-27,1,1
2019-03-01,1,1
2019-03-02,4,4
2019-03-04,1,1
2019-03-07,1,1
2019-03-09,1,1
2019-03-11,1,1
2019-03-12,1,1
2019-03-13,1,1
2019-03-14,3,3
2019-03-16,2,2
2019-03-18,1,1
2019-03-19,1,1
2019-03-20,2,2
2019-03-21,2,2
2019-03-23,2,2
2019-03-26,1,1
2019-03-27,3,3
2019-03-28,1,1
2019-03-29,3,3
2019-03-30,4,4
2019-04-01,1,1
2019-04-02,1,1
