date,hit_count,text_count
2000-11-26,1,1
2001-03-06,1,1
2001-03-30,1,1
2001-06-16,1,1
2001-07-17,1,1
2001-07-23,1,1
2001-07-24,1,1
2002-01-21,1,1
2002-05-17,1,1
2002-07-12,1,1
2002-07-20,1,1
2002-09-01,1,1
2003-01-26,1,1
2003-11-16,1,1
2004-04-08,1,1
2004-05-21,1,1
2004-05-27,1,1
2004-07-14,1,1
2004-12-18,1,1
2004-12-20,1,1
2005-02-17,1,1
2005-02-24,1,1
2005-07-08,1,1
2005-12-10,1,1
2005-12-11,1,1
2006-01-15,1,1
2007-04-24,1,1
2007-09-12,1,1
2007-09-15,1,1
2008-01-23,1,1
2008-02-02,1,1
2008-03-01,1,1
2008-09-20,1,1
2009-06-23,1,1
2009-06-27,1,1
2009-07-01,1,1
2009-07-09,1,1
2009-07-10,1,1
2009-09-22,1,1
2009-09-23,1,1
2009-09-26,1,1
2009-10-08,1,1
2009-10-14,1,1
2009-10-21,1,1
2009-10-26,1,1
2009-11-03,1,1
2009-11-16,1,1
2009-11-18,1,1
2009-11-19,1,1
2009-12-05,1,1
2009-12-07,1,1
2009-12-14,1,1
2009-12-16,1,1
2009-12-17,1,1
2010-01-13,1,1
2010-01-15,1,1
2010-01-20,1,1
2010-03-05,1,1
2010-05-28,1,1
2010-10-06,1,1
2010-10-19,1,1
2010-11-05,1,1
2010-12-09,1,1
2010-12-11,1,1
2011-02-17,1,1
2011-02-25,1,1
2011-03-08,1,1
2011-05-13,1,1
2011-05-28,1,1
2011-08-25,1,1
2011-10-03,1,1
2011-11-28,1,1
2011-12-15,1,1
2012-06-01,1,1
2012-10-30,1,1
2013-02-19,1,1
2013-07-25,1,1
2013-09-26,1,1
2013-11-29,1,1
2014-05-13,1,1
2014-08-06,1,1
2014-08-23,1,1
2014-08-30,1,1
2014-09-24,1,1
2015-02-23,1,1
2015-02-24,1,1
2015-04-17,1,1
2015-04-28,1,1
2015-05-04,1,1
2015-06-05,1,1
2015-06-06,1,1
2015-06-08,1,1
2015-07-22,1,1
2015-09-19,1,1
2015-09-24,1,1
2015-11-30,1,1
2015-12-01,1,1
2015-12-14,1,1
2016-03-01,1,1
2016-03-11,1,1
2016-03-12,1,1
2016-03-22,1,1
2016-05-28,1,1
2016-07-04,1,1
2016-07-22,1,1
2016-08-08,1,1
2016-09-20,1,1
2016-11-08,1,1
2016-11-09,1,1
2016-11-10,2,2
2016-11-23,1,1
2016-12-03,1,1
2016-12-17,1,1
2017-01-09,1,1
2017-02-02,1,1
2017-03-23,1,1
2017-04-24,1,1
2017-05-18,1,1
2017-05-27,1,1
2017-06-14,1,1
2017-06-19,1,1
2017-06-27,1,1
2017-06-30,1,1
2017-07-01,1,1
2017-07-15,1,1
2017-11-08,1,1
2018-06-08,1,1
2018-09-14,1,1
2018-09-21,1,1
2018-09-26,1,1
2018-10-08,1,1
2018-10-27,1,1
2018-11-03,1,1
2018-11-06,1,1
2018-11-10,1,1
2018-11-12,1,1
2018-11-30,1,1
2018-12-01,1,1
2018-12-15,1,1
2018-12-22,1,1
2019-01-19,2,2
2019-01-25,1,1
2019-02-14,1,1
2019-02-16,4,4
2019-02-19,2,2
2019-02-21,1,1
2019-02-22,1,1
2019-02-27,2,2
2019-03-02,1,1
2019-03-09,1,1
2019-03-12,1,1
2019-03-14,1,1
2019-03-15,1,1
2019-03-16,6,6
2019-03-19,1,1
2019-03-20,1,1
2019-03-22,1,1
2019-03-26,1,1
2019-03-29,2,2
2019-03-30,2,2
2019-04-01,1,1
2019-04-05,2,2
2019-04-09,2,2
2019-04-10,1,1
2019-04-11,1,1
2019-04-12,2,2
2019-04-13,1,1
2019-04-18,3,3
2019-04-19,1,1
2019-04-26,1,1
2019-05-16,1,1
2019-05-23,1,1
2019-05-24,2,2
2019-05-27,2,2
2019-05-28,1,1
2019-05-29,2,2
2019-06-04,1,1
2019-06-20,1,1
2019-06-21,2,2
2019-06-22,1,1
2019-07-09,1,1
2019-07-12,1,1
2019-07-17,1,1
2019-07-25,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-17,1,1
2019-08-23,1,1
2019-08-31,1,1
2019-09-05,1,1
2019-09-10,2,2
2019-09-11,1,1
2019-09-14,1,1
2019-09-21,6,6
2019-09-24,2,2
2019-09-25,1,1
2019-09-26,3,3
2019-09-27,2,2
2019-09-28,3,3
2019-10-01,3,3
2019-10-02,4,4
2019-10-05,1,1
2019-10-08,1,1
2019-10-12,1,1
2019-10-18,1,1
2019-10-22,1,1
2019-10-23,2,2
2019-10-26,1,1
2019-11-05,1,1
2019-11-08,1,1
2019-11-09,1,1
2019-11-11,1,1
2019-11-13,1,1
2019-11-22,1,1
2019-11-28,1,1
2019-11-29,1,1
2019-11-30,4,4
2019-12-02,1,1
2019-12-03,1,1
2019-12-04,1,1
2019-12-06,3,3
2019-12-07,1,1
2019-12-09,1,1
2019-12-10,1,1
2019-12-11,1,1
2019-12-12,1,1
2019-12-13,1,1
2019-12-14,2,2
2019-12-20,1,1
2019-12-21,1,1
2019-12-24,2,2
2020-01-03,3,3
2020-01-10,1,1
2020-01-11,1,1
2020-01-13,1,1
2020-01-15,1,1
2020-01-17,1,1
2020-01-18,1,1
2020-01-22,1,1
2020-01-23,3,3
2020-01-25,1,1
2020-01-29,3,3
2020-01-30,1,1
2020-02-01,1,1
2020-02-05,1,1
2020-02-06,1,1
2020-02-10,1,1
2020-02-12,1,1
2020-02-14,1,1
2020-02-27,1,1
2020-02-29,1,1
2020-03-05,1,1
2020-03-07,1,1
2020-03-30,1,1
2020-04-15,1,1
2020-06-12,2,2
2020-06-20,1,1
2020-07-21,1,1
2020-08-18,1,1
2020-08-25,1,1
2020-09-17,1,1
2020-09-25,1,1
2020-09-26,2,2
2020-09-29,1,1
2020-11-06,1,1
2020-12-11,1,1
2020-12-12,2,2
2020-12-14,1,1
2020-12-23,1,1
2021-01-19,1,1
2021-01-20,2,2
2021-02-04,1,1
2021-02-05,1,1
2021-03-03,1,1
2021-03-16,1,1
2021-03-24,1,1
2021-03-31,1,1
2021-04-08,1,1
2021-04-17,1,1
2021-04-24,2,2
2021-04-29,1,1
2021-04-30,1,1
2021-05-03,1,1
2021-05-04,2,2
2021-05-12,1,1
2021-05-15,1,1
2021-05-27,1,1
2021-06-04,1,1
2021-06-10,1,1
2021-06-14,1,1
2021-06-15,1,1
2021-06-25,1,1
2021-07-15,1,1
2021-07-20,1,1
2021-07-23,1,1
2021-07-24,1,1
2021-07-27,1,1
2021-07-28,1,1
2021-07-29,1,1
2021-07-30,2,2
2021-08-03,1,1
2021-08-05,1,1
2021-08-18,1,1
2021-08-23,1,1
2021-08-31,1,1
2021-09-15,2,2
2021-09-18,1,1
2021-09-22,1,1
2021-09-25,4,4
2021-09-29,1,1
2021-10-02,1,1
2021-10-05,1,1
2021-10-11,1,1
2021-10-14,1,1
2021-10-21,1,1
2021-10-23,1,1
2021-10-28,1,1
2021-10-30,4,4
2021-11-05,1,1
2021-11-08,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-16,1,1
2021-11-17,1,1
2021-11-22,1,1
2021-11-25,1,1
2021-12-10,1,1
2021-12-24,3,3
2021-12-29,1,1
2021-12-30,1,1
2022-01-11,2,2
2022-01-26,1,1
2022-02-02,1,1
2022-02-04,1,1
2022-02-09,1,1
2022-02-10,1,1
2022-02-16,1,1
2022-02-21,1,1
2022-02-26,1,1
2022-03-10,1,1
2022-03-17,1,1
2022-03-22,1,1
2022-03-23,1,1
2022-03-25,1,1
2022-03-31,1,1
2022-04-06,1,1
2022-04-11,1,1
2022-04-12,1,1
2022-04-14,1,1
2022-04-20,1,1
2022-04-29,1,1
2022-05-03,1,1
2022-05-06,1,1
2022-05-07,1,1
2022-05-12,1,1
2022-05-18,2,2
2022-05-21,1,1
2022-05-23,1,1
2022-05-24,1,1
2022-05-25,1,1
2022-05-26,1,1
2022-05-27,1,1
2022-06-01,1,1
2022-06-03,1,1
2022-06-09,1,1
2022-06-10,1,1
2022-06-13,1,1
2022-06-21,1,1
2022-06-23,1,1
2022-07-07,2,2
2022-07-16,1,1
2022-08-01,1,1
2022-08-05,1,1
2022-08-06,1,1
2022-08-20,1,1
2022-08-25,1,1
2022-09-06,1,1
2022-09-07,1,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,1,1
2022-09-17,2,2
2022-09-22,1,1
2022-09-27,1,1
2022-09-30,2,2
2022-10-01,1,1
2022-10-05,2,2
2022-10-08,1,1
2022-10-20,1,1
2022-10-22,1,1
2022-10-29,1,1
2022-11-02,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-07,1,1
2022-11-09,2,2
2022-11-11,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-12-03,1,1
2022-12-09,1,1
2022-12-13,1,1
2022-12-23,2,2
2022-12-29,1,1
