date,hit_count,text_count
2015-10-21,1,1
2016-04-09,1,1
2016-05-06,1,1
2016-08-02,1,1
2016-10-13,1,1
2016-11-16,1,1
2017-05-05,1,1
2017-08-14,1,1
2017-08-30,1,1
2017-11-14,1,1
2018-12-18,1,1
2018-12-19,1,1
2018-12-20,1,1
2018-12-21,1,1
2019-04-18,1,1
2019-05-14,1,1
2019-05-18,1,1
2019-05-25,1,1
2019-07-16,1,1
2019-08-22,1,1
2019-09-04,2,2
2019-09-20,1,1
2019-11-16,1,1
2019-12-27,1,1
2020-02-15,3,3
2020-06-27,1,1
2020-09-26,1,1
2020-10-01,1,1
2020-11-20,1,1
2021-02-12,1,1
2021-03-23,1,1
2021-03-25,1,1
2021-03-26,1,1
2021-05-22,1,1
2021-07-08,2,2
2021-07-16,1,1
2021-07-28,1,1
2021-08-03,1,1
2021-08-14,1,1
2021-09-18,1,1
2021-10-06,1,1
2021-11-01,1,1
2022-01-05,1,1
2022-04-08,1,1
2022-05-02,1,1
2022-05-21,1,1
2022-06-16,1,1
2022-06-28,1,1
2022-07-05,2,2
2022-08-05,1,1
2022-08-12,1,1
2022-08-25,1,1
2022-08-31,1,1
2022-09-22,1,1
2022-09-28,1,1
2022-10-01,2,2
2022-10-04,1,1
2022-10-11,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-12-17,1,1
2022-12-19,1,1
