date,hit_count,text_count
2000-01-10,1,1
2000-01-13,6,3
2000-01-14,1,1
2000-01-18,1,1
2000-01-20,1,1
2000-01-25,1,1
2000-01-28,1,1
2000-02-02,1,1
2000-02-05,2,1
2000-02-17,1,1
2000-02-19,3,1
2000-02-29,1,1
2000-03-04,1,1
2000-03-13,1,1
2000-03-14,1,1
2000-03-23,1,1
2000-03-24,1,1
2000-03-30,1,1
2000-04-03,3,1
2000-04-04,3,1
2000-04-05,2,2
2000-04-07,1,1
2000-04-08,1,1
2000-04-10,2,1
2000-04-13,1,1
2000-04-15,1,1
2000-04-17,1,1
2000-04-20,3,3
2000-04-25,2,2
2000-04-27,1,1
2000-04-28,2,2
2000-04-29,1,1
2000-05-04,1,1
2000-05-06,1,1
2000-05-09,1,1
2000-05-11,1,1
2000-05-12,1,1
2000-05-17,1,1
2000-05-29,2,2
2000-06-14,1,1
2000-06-15,1,1
2000-06-16,2,2
2000-06-24,1,1
2000-07-14,1,1
2000-07-18,1,1
2000-07-20,2,1
2000-07-21,1,1
2000-07-22,2,1
2000-08-09,1,1
2000-08-12,2,1
2000-08-19,1,1
2000-08-21,1,1
2000-08-24,1,1
2000-08-26,1,1
2000-08-28,1,1
2000-08-29,2,2
2000-09-04,2,1
2000-09-06,2,1
2000-09-11,1,1
2000-10-04,2,1
2000-10-11,1,1
2000-10-12,2,2
2000-10-19,1,1
2000-10-20,2,1
2000-10-23,1,1
2000-10-27,1,1
2000-11-03,1,1
2000-11-06,4,2
2000-11-09,2,1
2000-11-14,8,5
2000-11-18,1,1
2000-11-23,2,2
2000-11-24,1,1
2000-11-25,1,1
2000-11-27,3,1
2000-11-30,3,3
2000-12-07,1,1
2000-12-14,1,1
2000-12-16,3,1
2000-12-21,1,1
2000-12-22,1,1
2001-01-20,1,1
2001-01-23,2,1
2001-01-27,1,1
2001-02-10,2,1
2001-02-23,3,1
2001-02-24,1,1
2001-02-26,1,1
2001-02-27,1,1
2001-03-02,1,1
2001-03-03,1,1
2001-03-06,1,1
2001-03-19,1,1
2001-03-21,2,2
2001-03-23,3,2
2001-03-28,1,1
2001-03-29,1,1
2001-03-30,1,1
2001-03-31,11,4
2001-04-02,2,1
2001-04-03,1,1
2001-04-05,1,1
2001-04-07,1,1
2001-04-17,1,1
2001-04-23,1,1
2001-04-24,4,1
2001-04-25,2,2
2001-04-27,1,1
2001-04-28,1,1
2001-05-09,2,1
2001-05-30,1,1
2001-05-31,1,1
2001-06-01,1,1
2001-06-02,3,1
2001-06-05,1,1
2001-06-06,2,2
2001-06-07,1,1
2001-06-08,1,1
2001-06-13,2,2
2001-06-16,4,2
2001-06-18,1,1
2001-06-20,1,1
2001-06-28,1,1
2001-07-02,1,1
2001-07-06,1,1
2001-07-14,1,1
2001-07-16,1,1
2001-07-17,1,1
2001-07-19,4,2
2001-07-20,1,1
2001-07-23,7,3
2001-07-24,7,5
2001-07-25,1,1
2001-07-26,4,2
2001-08-01,1,1
2001-08-02,1,1
2001-08-16,1,1
2001-08-17,1,1
2001-08-18,5,1
2001-08-21,1,1
2001-08-28,1,1
2001-08-30,1,1
2001-09-11,1,1
2001-09-18,1,1
2001-09-19,1,1
2001-09-24,1,1
2001-09-28,1,1
2001-10-06,1,1
2001-10-08,2,1
2001-10-10,6,1
2001-10-16,1,1
2001-10-20,1,1
2001-10-26,2,1
2001-10-27,1,1
2001-11-05,2,2
2001-11-06,1,1
2001-11-07,1,1
2001-11-12,2,2
2001-11-17,1,1
2001-11-24,2,1
2001-11-26,1,1
2001-11-27,3,1
2001-11-28,2,1
2001-11-29,1,1
2001-12-14,1,1
2001-12-28,1,1
2002-01-03,1,1
2002-01-04,1,1
2002-01-15,1,1
2002-01-18,4,2
2002-01-21,1,1
2002-02-08,2,1
2002-02-09,1,1
2002-02-11,1,1
2002-02-12,1,1
2002-02-14,3,2
2002-02-15,1,1
2002-02-18,3,2
2002-02-25,1,1
2002-02-28,1,1
2002-03-02,1,1
2002-03-05,2,1
2002-03-07,1,1
2002-03-08,1,1
2002-03-09,3,2
2002-03-11,1,1
2002-03-25,1,1
2002-03-26,2,1
2002-03-27,2,2
2002-03-28,1,1
2002-04-16,1,1
2002-04-17,2,2
2002-04-20,1,1
2002-04-22,2,1
2002-04-27,1,1
2002-05-06,1,1
2002-05-07,1,1
2002-05-11,3,2
2002-05-16,3,3
2002-05-17,1,1
2002-05-24,1,1
2002-05-28,1,1
2002-05-31,1,1
2002-06-03,1,1
2002-06-17,1,1
2002-06-26,1,1
2002-07-03,1,1
2002-07-09,2,2
2002-07-15,6,1
2002-07-17,3,3
2002-07-23,1,1
2002-08-02,2,1
2002-08-10,2,1
2002-08-12,1,1
2002-08-13,3,1
2002-08-15,7,3
2002-08-17,1,1
2002-08-21,1,1
2002-08-23,3,3
2002-08-26,1,1
2002-08-27,1,1
2002-08-28,5,3
2002-08-29,2,1
2002-08-30,3,3
2002-08-31,1,1
2002-09-02,2,2
2002-09-03,2,2
2002-09-07,1,1
2002-09-13,3,1
2002-09-14,1,1
2002-09-16,1,1
2002-09-18,2,1
2002-09-20,2,1
2002-09-21,3,1
2002-09-23,1,1
2002-09-27,1,1
2002-09-28,1,1
2002-10-04,2,2
2002-10-09,2,1
2002-10-10,1,1
2002-10-11,1,1
2002-10-12,1,1
2002-10-15,1,1
2002-10-17,1,1
2002-10-21,1,1
2002-10-28,1,1
2002-10-30,1,1
2002-11-05,1,1
2002-11-16,2,2
2002-11-19,1,1
2002-11-21,1,1
2002-11-22,1,1
2002-12-03,1,1
2002-12-07,1,1
2002-12-10,3,3
2002-12-19,1,1
2002-12-30,1,1
2003-01-02,1,1
2003-01-10,1,1
2003-01-15,1,1
2003-01-20,1,1
2003-01-21,2,1
2003-01-24,5,3
2003-01-31,2,1
2003-02-01,1,1
2003-02-08,1,1
2003-02-18,1,1
2003-02-28,2,2
2003-03-05,1,1
2003-03-07,1,1
2003-03-13,1,1
2003-03-14,1,1
2003-03-17,1,1
2003-03-21,2,1
2003-03-22,1,1
2003-03-29,1,1
2003-04-01,2,1
2003-04-08,1,1
2003-04-14,1,1
2003-04-15,1,1
2003-04-16,1,1
2003-04-19,1,1
2003-04-28,1,1
2003-05-12,1,1
2003-05-13,1,1
2003-05-16,1,1
2003-05-22,2,1
2003-05-28,1,1
2003-06-02,3,1
2003-06-04,1,1
2003-06-06,1,1
2003-06-16,1,1
2003-06-27,2,1
2003-07-21,1,1
2003-07-26,3,2
2003-07-31,1,1
2003-08-06,1,1
2003-08-12,1,1
2003-08-13,1,1
2003-08-14,1,1
2003-08-18,1,1
2003-08-19,2,1
2003-08-20,2,2
2003-08-21,1,1
2003-08-26,1,1
2003-09-05,3,1
2003-09-16,1,1
2003-09-19,1,1
2003-09-20,1,1
2003-09-24,1,1
2003-09-27,2,1
2003-09-29,1,1
2003-10-07,1,1
2003-10-11,1,1
2003-10-14,1,1
2003-10-16,1,1
2003-10-20,2,1
2003-10-21,2,2
2003-10-22,3,2
2003-10-30,1,1
2003-11-19,1,1
2003-11-26,5,2
2003-12-01,3,1
2003-12-02,3,1
2003-12-04,2,1
2003-12-09,3,1
2004-01-02,1,1
2004-01-03,1,1
2004-01-15,1,1
2004-01-28,2,2
2004-01-29,1,1
2004-02-11,1,1
2004-02-21,1,1
2004-02-24,1,1
2004-02-26,1,1
2004-02-27,2,2
2004-03-01,1,1
2004-03-04,1,1
2004-03-10,1,1
2004-03-12,1,1
2004-03-18,3,2
2004-03-19,6,3
2004-03-20,2,1
2004-03-22,3,1
2004-03-23,3,1
2004-03-24,1,1
2004-03-26,1,1
2004-03-27,1,1
2004-03-29,3,1
2004-03-31,7,3
2004-04-01,1,1
2004-04-20,1,1
2004-04-23,1,1
2004-05-06,2,2
2004-05-08,1,1
2004-05-18,1,1
2004-05-22,3,2
2004-05-25,3,1
2004-05-26,5,2
2004-05-28,3,1
2004-05-29,3,1
2004-06-01,1,1
2004-06-03,2,2
2004-06-05,2,1
2004-06-07,1,1
2004-06-11,1,1
2004-06-18,1,1
2004-07-07,2,1
2004-07-12,1,1
2004-07-19,1,1
2004-07-20,1,1
2004-07-27,1,1
2004-07-28,3,1
2004-07-31,1,1
2004-08-11,2,2
2004-08-20,2,1
2004-08-27,2,2
2004-09-02,1,1
2004-09-04,1,1
2004-10-01,2,1
2004-10-07,1,1
2004-10-11,1,1
2004-10-12,1,1
2004-10-14,1,1
2004-10-15,3,3
2004-10-19,1,1
2004-10-21,1,1
2004-10-22,1,1
2004-10-23,2,1
2004-11-03,2,2
2004-11-05,2,2
2004-11-06,1,1
2004-11-08,1,1
2004-11-10,1,1
2004-11-12,1,1
2004-11-13,5,1
2004-11-19,1,1
2004-11-22,2,1
2004-11-23,4,1
2004-11-27,3,2
2004-12-01,2,2
2004-12-03,1,1
2004-12-04,2,2
2004-12-06,7,3
2004-12-15,6,1
2004-12-18,6,1
2004-12-22,1,1
2005-01-03,1,1
2005-01-06,1,1
2005-01-22,1,1
2005-01-27,3,1
2005-02-02,1,1
2005-02-03,3,2
2005-02-05,2,2
2005-02-10,1,1
2005-02-16,4,3
2005-02-17,1,1
2005-02-18,6,4
2005-02-24,3,3
2005-03-03,1,1
2005-03-04,1,1
2005-03-08,1,1
2005-03-29,1,1
2005-04-01,1,1
2005-04-08,3,1
2005-04-19,1,1
2005-04-21,2,1
2005-04-27,1,1
2005-04-29,2,1
2005-05-03,1,1
2005-05-11,2,1
2005-05-14,1,1
2005-05-27,1,1
2005-05-31,1,1
2005-06-02,1,1
2005-06-15,1,1
2005-06-18,1,1
2005-06-23,1,1
2005-06-24,2,1
2005-06-27,1,1
2005-06-28,3,3
2005-07-02,1,1
2005-07-05,2,1
2005-07-08,3,2
2005-07-09,1,1
2005-07-13,2,2
2005-07-14,3,2
2005-07-15,2,1
2005-08-03,1,1
2005-08-05,2,1
2005-08-06,1,1
2005-08-13,1,1
2005-08-20,4,2
2005-08-25,3,1
2005-08-26,2,1
2005-08-29,1,1
2005-08-30,1,1
2005-09-02,3,1
2005-09-03,1,1
2005-09-07,1,1
2005-09-09,3,1
2005-09-14,2,2
2005-09-17,1,1
2005-09-26,1,1
2005-09-29,1,1
2005-10-04,2,2
2005-10-08,1,1
2005-10-11,3,3
2005-10-17,4,2
2005-10-21,3,1
2005-10-22,4,4
2005-10-27,1,1
2005-10-28,3,3
2005-10-29,2,2
2005-10-31,3,2
2005-11-02,1,1
2005-11-05,1,1
2005-11-11,1,1
2005-11-14,1,1
2005-11-18,1,1
2005-11-28,3,2
2005-11-29,3,1
2005-12-01,7,3
2005-12-02,4,3
2005-12-05,1,1
2005-12-09,2,1
2005-12-10,1,1
2005-12-12,6,1
2005-12-15,1,1
2005-12-21,1,1
2005-12-23,1,1
2005-12-27,1,1
