date,hit_count,text_count
2000-04-13,1,1
2000-07-21,1,1
2000-07-27,1,1
2000-10-18,1,1
2000-10-19,1,1
2000-11-27,1,1
2000-12-29,1,1
2001-02-10,1,1
2001-03-31,1,1
2001-06-26,1,1
2001-07-16,1,1
2001-07-19,1,1
2001-11-28,1,1
2001-12-22,1,1
2002-08-21,1,1
2002-08-29,1,1
2003-02-20,1,1
2003-10-21,1,1
2004-06-02,1,1
2004-10-01,1,1
2005-02-16,1,1
2005-03-22,1,1
2005-05-12,1,1
2005-11-09,1,1
2005-11-18,1,1
2005-12-13,1,1
2006-01-06,1,1
2006-03-04,1,1
2006-03-11,1,1
2006-05-13,1,1
2006-10-10,1,1
2007-01-19,1,1
2007-02-08,1,1
2007-02-13,1,1
2007-02-19,1,1
2007-02-22,1,1
2007-02-24,1,1
2007-02-26,1,1
2007-03-02,1,1
2007-03-06,2,2
2007-03-10,1,1
2007-03-13,1,1
2007-04-13,2,2
2007-04-18,1,1
2007-04-21,1,1
2007-04-27,1,1
2007-05-05,1,1
2007-05-19,1,1
2007-05-23,1,1
2007-05-25,1,1
2007-05-31,1,1
2007-06-01,1,1
2007-06-05,1,1
2007-06-07,2,2
2007-06-11,1,1
2007-06-15,1,1
2007-07-04,2,2
2007-07-06,1,1
2007-08-18,1,1
2007-08-27,1,1
2007-08-31,1,1
2007-09-01,2,2
2007-10-30,1,1
2007-11-19,3,3
2007-12-03,1,1
2007-12-04,1,1
2007-12-06,1,1
2008-01-16,1,1
2008-01-18,1,1
2008-03-11,1,1
2008-03-26,1,1
2008-05-01,1,1
2008-05-15,2,2
2008-05-24,1,1
2008-06-03,1,1
2008-06-18,1,1
2008-07-17,1,1
2008-11-29,1,1
2008-12-01,1,1
2008-12-12,1,1
2008-12-13,1,1
2009-01-24,1,1
2009-03-03,1,1
2009-03-05,1,1
2009-04-09,1,1
2009-06-10,1,1
2009-06-29,2,2
2009-07-10,1,1
2009-07-27,1,1
2009-08-14,1,1
2009-09-16,1,1
2009-09-24,1,1
2009-10-22,1,1
2009-11-21,1,1
2009-12-18,1,1
2009-12-21,1,1
2010-01-06,1,1
2010-01-13,1,1
2010-01-15,1,1
2010-02-05,1,1
2010-02-13,1,1
2010-02-18,1,1
2010-02-19,1,1
2010-02-20,1,1
2010-04-16,1,1
2010-04-26,2,2
2010-04-30,1,1
2010-05-05,1,1
2010-07-24,1,1
2010-11-04,1,1
2010-11-20,1,1
2010-11-30,1,1
2010-12-10,1,1
2010-12-13,1,1
2010-12-21,1,1
2010-12-29,2,2
2011-01-19,2,2
2011-01-26,1,1
2011-01-27,1,1
2011-02-22,1,1
2011-02-28,1,1
2011-03-04,1,1
2011-03-07,1,1
2011-04-01,1,1
2011-04-08,1,1
2011-05-17,1,1
2011-05-31,1,1
2011-06-02,1,1
2011-06-04,1,1
2011-06-07,2,2
2011-06-17,1,1
2011-06-23,1,1
2011-07-04,1,1
2011-07-05,1,1
2011-07-07,1,1
2011-07-08,1,1
2011-07-09,1,1
2011-08-01,1,1
2011-09-30,1,1
2011-12-02,1,1
2011-12-07,1,1
2011-12-12,2,2
2011-12-19,1,1
2011-12-24,1,1
2012-02-01,1,1
