date,hit_count,text_count
2000-01-18,1,1
2000-03-11,1,1
2000-03-18,2,1
2000-03-24,1,1
2000-04-11,1,1
2000-04-13,2,1
2000-04-20,1,1
2000-04-22,1,1
2000-06-06,1,1
2000-06-13,3,1
2000-06-14,1,1
2000-07-21,1,1
2000-07-27,2,1
2000-08-14,1,1
2000-08-21,1,1
2000-08-25,1,1
2000-08-26,4,1
2000-08-31,1,1
2000-09-06,2,1
2000-09-12,1,1
2000-09-15,1,1
2000-10-13,1,1
2000-10-17,4,1
2000-10-18,1,1
2000-10-19,4,2
2000-10-27,3,1
2000-11-10,7,1
2000-11-14,3,1
2000-11-16,3,1
2000-11-17,2,1
2000-11-18,2,1
2000-11-21,1,1
2000-11-24,1,1
2000-11-25,1,1
2000-12-04,2,2
2000-12-12,4,3
2000-12-19,2,1
2000-12-29,1,1
2000-12-30,2,2
2001-01-02,1,1
2001-01-10,1,1
2001-01-13,2,1
2001-01-20,1,1
2001-01-23,7,1
2001-01-27,1,1
2001-02-10,1,1
2001-02-20,2,1
2001-02-24,1,1
2001-03-16,2,2
2001-03-21,1,1
2001-03-23,1,1
2001-03-29,1,1
2001-03-30,2,1
2001-03-31,7,1
2001-04-02,1,1
2001-04-03,6,2
2001-04-10,1,1
2001-04-19,2,1
2001-04-27,1,1
2001-05-03,1,1
2001-05-08,1,1
2001-05-09,2,1
2001-05-26,1,1
2001-06-05,2,1
2001-06-06,3,1
2001-06-09,1,1
2001-06-11,3,1
2001-06-13,1,1
2001-06-16,2,2
2001-06-19,6,2
2001-06-20,2,1
2001-06-25,1,1
2001-06-26,2,2
2001-06-27,2,1
2001-06-29,2,1
2001-07-03,1,1
2001-07-04,1,1
2001-07-06,1,1
2001-07-07,1,1
2001-07-12,3,3
2001-07-14,5,2
2001-07-16,3,2
2001-07-17,10,3
2001-07-18,12,3
2001-07-19,4,3
2001-07-20,7,1
2001-07-21,5,2
2001-07-23,1,1
2001-07-24,5,3
2001-07-25,2,1
2001-07-26,2,2
2001-07-27,3,2
2001-07-28,2,1
2001-07-30,4,2
2001-08-01,1,1
2001-08-07,1,1
2001-08-14,1,1
2001-10-01,3,2
2001-10-08,3,1
2001-10-23,3,2
2001-10-30,1,1
2001-11-12,3,1
2001-11-14,1,1
2001-11-16,2,2
2001-11-27,4,1
2001-11-28,3,2
2001-11-29,1,1
2001-12-06,2,1
2001-12-11,1,1
2001-12-22,2,1
2002-01-18,1,1
2002-02-15,1,1
2002-02-18,1,1
2002-02-26,1,1
2002-03-05,1,1
2002-03-07,1,1
2002-03-12,1,1
2002-03-23,5,2
2002-03-28,1,1
2002-04-16,1,1
2002-04-27,1,1
2002-05-15,1,1
2002-05-17,2,1
2002-05-18,5,1
2002-05-22,1,1
2002-05-23,6,1
2002-05-24,1,1
2002-06-05,4,1
2002-06-13,2,1
2002-06-14,1,1
2002-07-20,2,1
2002-07-26,1,1
2002-08-10,1,1
2002-08-14,3,1
2002-08-15,3,2
2002-08-16,2,2
2002-08-17,5,3
2002-08-21,3,3
2002-08-22,1,1
2002-08-24,2,1
2002-08-27,2,2
2002-08-29,4,2
2002-09-02,8,3
2002-09-10,1,1
2002-09-16,1,1
2002-09-17,2,2
2002-09-19,2,2
2002-10-07,1,1
2002-10-08,1,1
2002-10-17,1,1
2002-10-23,4,1
2002-10-24,5,1
2002-10-29,6,1
2002-10-30,2,1
2002-11-02,5,1
2002-11-08,1,1
2002-11-15,1,1
2002-11-21,1,1
2002-11-28,1,1
2002-12-03,1,1
2002-12-10,4,2
2002-12-11,1,1
2003-01-15,1,1
2003-01-27,3,1
2003-02-06,2,1
2003-02-11,1,1
2003-02-20,1,1
2003-03-01,1,1
2003-03-05,1,1
2003-05-16,1,1
2003-06-14,1,1
2003-06-16,1,1
2003-07-04,3,1
2003-07-19,1,1
2003-07-26,1,1
2003-07-31,2,1
2003-08-07,1,1
2003-08-12,3,1
2003-08-14,6,1
2003-08-15,1,1
2003-09-17,1,1
2003-09-19,1,1
2003-09-20,1,1
2003-09-29,2,1
2003-10-04,1,1
2003-10-09,1,1
2003-10-11,1,1
2003-10-17,1,1
2003-10-21,1,1
2003-10-27,1,1
2003-10-30,2,1
2003-12-04,3,1
2003-12-11,2,1
2003-12-12,1,1
2003-12-13,3,1
2004-01-05,4,1
2004-01-06,1,1
2004-01-16,3,1
2004-01-24,1,1
2004-02-03,1,1
2004-02-13,1,1
2004-02-20,7,1
2004-02-25,1,1
2004-03-04,2,1
2004-03-05,1,1
2004-03-16,2,2
2004-03-18,2,2
2004-03-20,1,1
2004-03-25,3,1
2004-03-29,2,2
2004-03-31,1,1
2004-04-05,2,1
2004-05-10,2,1
2004-05-20,3,1
2004-05-25,3,1
2004-05-28,3,1
2004-05-29,4,2
2004-06-01,5,2
2004-06-02,4,1
2004-06-03,1,1
2004-06-04,3,3
2004-06-05,2,2
2004-06-14,1,1
2004-06-21,5,1
2004-07-08,2,1
2004-07-19,1,1
2004-08-24,3,1
2004-08-27,2,1
2004-09-04,1,1
2004-09-07,3,1
2004-09-13,1,1
2004-09-25,2,1
2004-10-01,1,1
2004-10-14,3,1
2004-10-23,1,1
2004-10-25,1,1
2004-11-01,2,1
2004-11-03,1,1
2004-11-04,1,1
2004-11-06,2,1
2004-11-11,5,1
2004-11-19,1,1
2004-11-30,1,1
2004-12-03,2,1
2004-12-06,3,2
2004-12-07,1,1
2004-12-08,1,1
2004-12-11,1,1
2004-12-20,3,1
2005-01-17,1,1
2005-01-29,1,1
2005-02-02,1,1
2005-02-11,3,1
2005-02-16,2,1
2005-02-17,4,2
2005-02-18,3,2
2005-02-22,1,1
