date,hit_count,text_count
2000-05-20,1,1
2000-11-21,1,1
2000-11-27,2,2
2000-11-28,1,1
2000-12-08,1,1
2000-12-09,1,1
2000-12-22,1,1
2000-12-23,1,1
2001-03-31,1,1
2001-04-04,1,1
2001-04-09,2,2
2001-06-02,1,1
2001-06-15,1,1
2001-06-27,1,1
2001-06-29,1,1
2001-07-11,1,1
2001-07-16,2,2
2001-07-17,1,1
2001-07-18,1,1
2001-07-19,1,1
2001-07-20,2,2
2001-07-21,1,1
2001-07-23,3,3
2001-07-24,2,2
2001-07-25,1,1
2001-07-28,2,2
2001-07-30,1,1
2001-08-30,1,1
2001-09-25,1,1
2001-10-02,1,1
2001-12-04,1,1
2002-02-16,1,1
2002-03-05,1,1
2002-04-12,1,1
2002-04-13,1,1
2002-05-04,1,1
2002-05-23,1,1
2002-05-24,1,1
2002-06-03,1,1
2002-06-18,1,1
2002-06-22,1,1
2002-06-28,1,1
2002-07-05,1,1
2002-07-12,1,1
2002-08-24,1,1
2002-09-02,1,1
2002-09-04,1,1
2002-09-20,1,1
2002-10-12,1,1
2002-12-28,1,1
2003-05-31,1,1
2003-07-29,1,1
2003-09-04,1,1
2003-11-01,1,1
2004-03-27,1,1
2004-03-30,1,1
2004-06-01,1,1
2004-06-02,1,1
2004-09-06,1,1
2004-09-13,1,1
2004-11-29,1,1
2004-12-09,1,1
2004-12-16,1,1
2004-12-20,1,1
2005-01-22,2,2
2005-01-29,1,1
2005-02-17,1,1
2005-02-24,2,2
2005-03-07,1,1
2005-03-22,1,1
2005-05-14,1,1
2005-05-17,1,1
2005-05-28,1,1
2005-06-11,1,1
2005-07-07,2,2
2005-08-24,1,1
2005-12-01,1,1
2006-01-23,1,1
2006-02-22,1,1
2006-03-17,1,1
2006-03-21,1,1
2006-05-01,1,1
2006-05-10,1,1
2006-05-13,1,1
2006-05-15,1,1
2006-05-16,1,1
2006-05-22,1,1
2006-06-15,1,1
2006-07-14,1,1
2006-08-05,1,1
2006-08-19,1,1
2006-09-25,1,1
2006-09-26,1,1
2006-09-27,1,1
2006-10-11,1,1
2006-10-16,3,3
2006-11-06,1,1
2006-11-28,1,1
2006-12-01,1,1
2006-12-04,1,1
2006-12-05,1,1
2006-12-11,1,1
2006-12-15,1,1
2007-01-18,1,1
2007-01-26,1,1
2007-01-27,1,1
2007-01-31,1,1
2007-02-03,1,1
2007-02-08,1,1
2007-02-10,1,1
2007-02-12,2,2
2007-02-16,1,1
2007-02-19,1,1
2007-02-22,2,2
2007-02-24,1,1
2007-03-02,2,2
2007-03-03,1,1
2007-03-09,1,1
2007-03-10,1,1
2007-03-14,1,1
2007-03-16,1,1
2007-03-19,3,3
2007-03-21,1,1
2007-03-22,2,2
2007-03-23,1,1
2007-03-26,2,2
2007-04-07,2,2
2007-04-13,1,1
2007-04-16,1,1
2007-04-17,1,1
2007-04-20,1,1
2007-04-21,6,6
2007-05-01,2,2
2007-05-05,2,2
2007-05-07,1,1
2007-05-11,1,1
2007-05-14,2,2
2007-05-17,2,2
2007-05-21,1,1
2007-05-23,2,2
2007-05-24,1,1
2007-05-25,1,1
2007-05-29,3,3
2007-05-31,1,1
2007-06-01,1,1
2007-06-02,1,1
2007-06-04,4,4
2007-06-05,2,2
2007-06-07,2,2
2007-06-09,7,7
2007-06-11,3,3
2007-06-13,1,1
2007-06-27,1,1
2007-07-07,1,1
2007-07-14,1,1
2007-07-16,1,1
2007-07-17,2,2
2007-08-04,1,1
2007-08-11,1,1
2007-08-16,1,1
2007-08-20,3,3
2007-08-25,1,1
2007-08-27,1,1
2007-08-28,2,2
2007-08-29,2,2
2007-08-30,2,2
2007-09-05,1,1
2007-09-07,1,1
2007-09-08,1,1
2007-09-12,1,1
2007-09-17,2,2
2007-10-06,1,1
2007-10-08,1,1
2007-10-10,1,1
2007-10-11,1,1
2007-10-13,1,1
2007-10-20,1,1
2007-10-22,1,1
2007-11-05,1,1
2007-11-06,1,1
2007-11-12,3,3
2007-11-16,1,1
2007-11-17,1,1
2007-11-19,3,3
2007-11-24,1,1
2007-11-28,1,1
2007-11-30,1,1
2007-12-01,1,1
2007-12-03,2,2
2007-12-04,1,1
2007-12-06,1,1
2007-12-10,1,1
2007-12-20,1,1
2008-01-05,1,1
2008-01-10,1,1
2008-03-11,1,1
2008-03-26,1,1
2008-04-01,1,1
2008-04-09,2,2
2008-04-18,1,1
2008-05-09,1,1
2008-05-26,2,2
2008-06-13,1,1
2008-06-25,1,1
2008-07-08,1,1
2008-07-21,1,1
2008-08-18,1,1
2008-09-01,1,1
2008-09-06,1,1
2008-09-16,1,1
2008-10-04,1,1
2008-11-08,2,2
2008-11-14,1,1
2008-12-02,1,1
2008-12-06,2,2
2008-12-12,1,1
2008-12-20,1,1
2009-02-03,1,1
2009-02-18,1,1
2009-03-23,1,1
2009-03-25,1,1
2009-03-30,1,1
2009-04-06,1,1
2009-04-15,2,2
2009-04-23,1,1
2009-04-30,1,1
2009-05-12,1,1
2009-05-18,1,1
2009-06-02,1,1
2009-06-04,1,1
2009-06-09,1,1
2009-06-11,1,1
2009-06-23,1,1
2009-06-27,1,1
2009-06-29,1,1
2009-07-04,1,1
2009-07-10,1,1
2009-08-03,1,1
2009-08-04,1,1
2009-08-06,1,1
2009-08-15,1,1
2009-09-19,1,1
2009-09-24,1,1
2009-10-26,1,1
2009-10-30,1,1
2009-11-04,1,1
2009-11-05,1,1
2009-11-20,1,1
2009-12-02,1,1
2009-12-07,2,2
2009-12-12,2,2
2009-12-14,1,1
2009-12-19,1,1
2009-12-21,1,1
2009-12-29,1,1
2010-01-07,1,1
2010-01-18,1,1
2010-01-19,1,1
2010-02-06,1,1
2010-02-18,1,1
2010-03-23,1,1
2010-04-12,1,1
2010-04-30,2,2
2010-05-01,1,1
2010-05-04,2,2
2010-05-05,1,1
2010-05-12,1,1
2010-06-05,1,1
2010-06-07,1,1
2010-06-12,1,1
2010-06-21,1,1
2010-07-09,1,1
2010-07-16,1,1
2010-08-04,1,1
2010-08-19,1,1
2010-09-04,1,1
2010-09-13,1,1
2010-10-11,1,1
2010-10-13,1,1
2010-10-26,1,1
2010-11-03,1,1
2010-11-04,1,1
2010-11-10,1,1
2010-11-11,1,1
2010-11-27,1,1
2010-11-30,1,1
2010-12-09,1,1
2010-12-21,1,1
2011-02-04,2,2
2011-02-19,2,2
2011-02-25,2,2
2011-03-04,1,1
2011-03-26,1,1
2011-04-01,1,1
2011-04-02,1,1
2011-04-05,1,1
2011-04-12,1,1
2011-04-14,1,1
2011-05-05,1,1
2011-05-07,1,1
2011-05-21,2,2
2011-05-24,1,1
2011-05-26,1,1
2011-05-28,1,1
2011-06-06,2,2
2011-06-11,1,1
2011-06-14,1,1
2011-06-15,1,1
2011-06-27,1,1
2011-07-01,1,1
2011-07-04,1,1
2011-07-05,1,1
2011-07-07,1,1
2011-07-08,1,1
2011-07-09,3,3
2011-07-11,1,1
2011-07-16,1,1
2011-07-21,1,1
2011-08-03,4,4
2011-08-13,2,2
2011-08-30,1,1
2011-09-05,1,1
2011-09-12,1,1
2011-09-19,1,1
2011-09-23,1,1
2011-09-24,1,1
2011-09-26,1,1
2011-10-03,1,1
2011-10-22,1,1
2011-10-28,1,1
2011-11-19,2,2
2011-12-03,1,1
2011-12-08,1,1
2011-12-10,1,1
2011-12-12,1,1
2011-12-13,1,1
2012-01-24,1,1
2012-01-25,1,1
2012-01-27,1,1
2012-04-10,1,1
2012-04-17,2,2
2012-04-20,1,1
2012-05-10,1,1
2012-05-14,1,1
2012-05-17,1,1
2012-05-19,1,1
2012-05-26,1,1
2012-05-31,2,2
2012-06-01,1,1
2012-06-02,1,1
2012-06-16,2,2
2012-06-21,1,1
2012-06-23,1,1
2012-07-19,1,1
2012-07-23,1,1
2012-07-31,1,1
2012-08-17,1,1
2012-08-23,1,1
2012-09-01,2,2
2012-09-03,1,1
2012-09-07,1,1
2012-09-11,3,3
2012-09-22,1,1
2012-10-06,1,1
2012-10-13,3,3
2012-10-22,1,1
2012-10-27,1,1
2012-11-03,2,2
2012-11-12,1,1
2012-11-16,1,1
2012-11-17,1,1
2012-11-19,1,1
2012-11-23,1,1
2012-11-27,1,1
2012-12-04,1,1
2013-01-22,1,1
2013-01-23,1,1
2013-01-24,1,1
2013-01-30,1,1
2013-02-04,1,1
2013-02-09,1,1
2013-03-05,1,1
2013-03-08,1,1
2013-03-15,1,1
2013-03-20,2,2
2013-03-22,1,1
2013-04-10,1,1
2013-05-07,1,1
2013-05-11,1,1
2013-05-14,2,2
2013-05-22,1,1
2013-05-27,1,1
2013-06-04,1,1
2013-06-17,1,1
2013-06-20,1,1
2013-06-21,1,1
2013-06-25,1,1
2013-06-26,1,1
2013-07-06,2,2
2013-07-13,1,1
2013-07-17,2,2
2013-08-13,1,1
2013-08-17,1,1
2013-09-21,1,1
2013-09-23,1,1
2013-09-28,2,2
2013-10-16,1,1
2013-10-22,1,1
2013-10-28,1,1
2013-11-09,1,1
2013-11-11,1,1
2013-11-16,1,1
2013-11-18,1,1
2013-11-19,1,1
2013-11-22,1,1
2013-11-23,2,2
2013-12-17,1,1
2013-12-18,1,1
2013-12-21,1,1
2014-01-03,1,1
2014-01-11,1,1
2014-01-13,1,1
2014-01-17,1,1
2014-01-23,1,1
2014-02-14,1,1
2014-02-15,1,1
2014-02-22,1,1
2014-03-01,1,1
2014-03-20,1,1
2014-03-22,1,1
2014-03-24,1,1
2014-03-28,1,1
2014-03-29,1,1
2014-04-01,1,1
2014-04-02,1,1
2014-04-07,1,1
2014-05-09,1,1
2014-05-26,1,1
2014-06-13,1,1
2014-06-16,1,1
2014-06-17,1,1
2014-06-23,1,1
2014-06-25,1,1
2014-07-24,1,1
2014-08-05,1,1
2014-08-14,1,1
2014-08-15,1,1
2014-08-19,1,1
2014-08-23,2,2
2014-08-27,1,1
2014-09-01,1,1
2014-09-04,1,1
2014-09-11,1,1
2014-09-22,1,1
2014-09-23,2,2
2014-09-24,1,1
2014-10-16,1,1
2014-10-21,1,1
2014-11-01,1,1
2014-11-08,1,1
2014-11-11,1,1
2014-12-01,1,1
2014-12-02,1,1
2014-12-04,1,1
2014-12-06,2,2
2014-12-15,1,1
2014-12-31,1,1
2015-01-05,1,1
2015-02-23,1,1
2015-02-27,1,1
2015-03-14,1,1
2015-03-20,1,1
2015-04-02,1,1
2015-04-07,1,1
2015-04-16,1,1
2015-04-20,2,2
2015-04-21,1,1
2015-04-22,1,1
2015-04-27,1,1
2015-04-28,1,1
2015-05-06,1,1
2015-05-19,1,1
2015-05-20,1,1
2015-06-01,2,2
2015-06-02,1,1
2015-06-04,1,1
2015-06-06,1,1
2015-06-09,1,1
2015-06-13,1,1
2015-07-01,1,1
2015-07-02,1,1
2015-07-07,1,1
2015-07-29,1,1
2015-08-01,1,1
2015-08-18,1,1
2015-09-05,1,1
2015-09-08,1,1
2015-09-10,1,1
2015-09-17,2,2
2015-10-06,1,1
2015-10-20,1,1
2015-10-31,1,1
2015-11-07,1,1
2015-11-19,1,1
2015-11-23,1,1
2015-11-26,1,1
2015-11-30,2,2
2015-12-01,1,1
2015-12-03,1,1
2015-12-05,2,2
2015-12-07,1,1
2015-12-10,1,1
2015-12-12,1,1
2015-12-14,1,1
2015-12-19,1,1
2015-12-31,2,2
2016-01-09,1,1
2016-01-22,1,1
2016-01-25,2,2
2016-01-26,1,1
2016-02-06,1,1
2016-02-10,1,1
2016-03-03,1,1
2016-03-07,4,4
2016-03-11,4,4
2016-03-14,1,1
2016-03-18,1,1
2016-03-22,1,1
2016-04-01,1,1
2016-04-06,1,1
2016-04-07,2,2
2016-04-19,1,1
2016-04-22,1,1
2016-04-23,1,1
2016-04-26,1,1
2016-05-11,1,1
2016-05-17,1,1
2016-05-21,1,1
2016-05-31,1,1
2016-06-04,1,1
2016-06-06,1,1
2016-06-07,1,1
2016-06-11,1,1
2016-06-20,2,2
2016-06-22,2,2
2016-06-27,1,1
2016-06-28,1,1
2016-07-21,1,1
2016-07-29,1,1
2016-08-25,1,1
2016-09-20,1,1
2016-09-22,1,1
