date,hit_count,text_count
2000-04-13,1,1
2000-08-14,1,1
2000-10-19,1,1
2001-03-31,1,1
2001-05-08,1,1
2001-07-03,1,1
2001-07-19,1,1
2001-07-20,1,1
2001-07-21,1,1
2001-07-30,1,1
2001-10-02,1,1
2002-08-14,1,1
2002-09-04,1,1
2002-09-10,1,1
2002-09-17,1,1
2002-12-28,1,1
2003-03-01,1,1
2003-06-16,1,1
2003-07-29,1,1
2003-08-15,1,1
2003-09-20,1,1
2003-09-29,1,1
2004-01-16,1,1
2004-02-20,1,1
2004-06-01,2,2
2004-06-02,2,2
2004-06-03,1,1
2004-06-04,3,3
2004-06-05,2,2
2004-09-13,1,1
2004-12-03,1,1
2004-12-08,1,1
2005-03-07,1,1
2005-04-23,1,1
2005-06-08,1,1
2005-07-20,1,1
2005-09-08,1,1
2005-09-21,1,1
2005-11-03,1,1
2005-11-09,1,1
2005-11-28,1,1
2006-01-03,1,1
2006-01-06,1,1
2006-02-22,1,1
2006-03-11,1,1
2006-04-18,1,1
2006-07-14,1,1
2006-07-26,1,1
2006-08-24,2,2
2006-09-19,1,1
2006-11-15,1,1
2006-12-04,2,2
2006-12-29,1,1
2007-01-11,1,1
2007-01-15,1,1
2007-01-23,1,1
2007-02-07,1,1
2007-02-13,1,1
2007-02-19,1,1
2007-02-26,2,2
2007-02-28,1,1
2007-03-05,2,2
2007-03-12,1,1
2007-03-13,2,2
2007-03-16,1,1
2007-03-23,1,1
2007-03-26,1,1
2007-04-10,2,2
2007-04-17,1,1
2007-04-18,1,1
2007-04-19,1,1
2007-04-21,4,4
2007-04-25,1,1
2007-04-27,2,2
2007-04-28,1,1
2007-05-01,1,1
2007-05-05,1,1
2007-05-08,1,1
2007-05-17,1,1
2007-06-12,1,1
2007-06-18,1,1
2007-06-30,1,1
2007-07-04,1,1
2007-07-10,1,1
2007-07-14,1,1
2007-07-28,1,1
2007-08-28,1,1
2007-09-01,1,1
2007-09-10,1,1
2007-10-10,1,1
2007-10-25,1,1
2007-10-30,1,1
2007-11-10,1,1
2007-11-16,1,1
2007-11-19,2,2
2007-12-06,1,1
2007-12-10,1,1
2008-03-18,1,1
2008-03-25,1,1
2008-04-04,2,2
2008-05-14,1,1
2008-06-18,1,1
2008-06-24,1,1
2008-07-05,1,1
2008-07-21,1,1
2008-10-17,1,1
2009-01-27,1,1
2009-01-28,1,1
2009-03-19,1,1
2009-03-25,1,1
2009-04-02,2,2
2009-04-23,1,1
2009-05-05,1,1
2009-05-27,1,1
2009-06-04,1,1
2009-06-29,1,1
2009-08-07,2,2
2009-09-22,1,1
2009-10-10,1,1
2009-10-17,1,1
2009-10-30,1,1
2010-02-05,1,1
2010-02-19,1,1
2010-04-12,1,1
2010-04-20,1,1
2010-05-04,2,2
2010-05-05,1,1
2010-05-12,1,1
2010-05-22,1,1
2010-06-17,1,1
2010-07-31,1,1
2010-10-26,1,1
2010-11-12,4,4
2010-11-19,1,1
2010-11-23,1,1
2010-11-27,2,2
2010-11-30,1,1
2011-01-19,2,2
2011-01-27,1,1
2011-02-04,1,1
2011-03-09,1,1
2011-03-14,1,1
2011-03-15,1,1
2011-03-26,1,1
2011-03-31,2,2
2011-04-02,1,1
2011-04-05,1,1
2011-04-12,2,2
2011-05-02,1,1
2011-05-10,1,1
2011-05-20,1,1
2011-05-31,1,1
2011-06-06,1,1
2011-06-08,2,2
2011-06-09,1,1
2011-06-14,1,1
2011-06-15,2,2
2011-06-16,4,4
2011-07-09,1,1
2011-07-11,1,1
2011-07-14,1,1
2011-07-15,1,1
2011-08-03,6,6
2011-08-06,3,3
2011-08-08,2,2
2011-08-09,1,1
2011-08-13,1,1
2011-08-31,1,1
2011-09-30,1,1
2011-10-07,2,2
2011-10-11,3,3
2011-10-12,1,1
2011-10-14,1,1
2011-10-25,1,1
2011-11-17,1,1
2011-11-18,1,1
2011-11-19,3,3
2011-12-08,1,1
2011-12-09,1,1
2011-12-10,1,1
2011-12-17,1,1
2012-01-30,1,1
2012-02-25,2,2
2012-03-02,1,1
2012-03-10,1,1
2012-03-24,1,1
2012-04-05,1,1
2012-04-11,1,1
2012-04-14,1,1
2012-04-20,1,1
2012-06-16,1,1
2012-07-17,1,1
2012-08-08,2,2
2012-08-15,1,1
2012-08-25,1,1
2012-08-31,1,1
2012-09-05,1,1
2012-09-25,1,1
2012-09-27,1,1
2012-10-05,1,1
2012-10-06,1,1
2012-10-11,2,2
2012-10-12,1,1
2012-10-22,1,1
2012-11-14,1,1
2012-12-04,1,1
2012-12-11,1,1
2012-12-22,2,2
2013-01-31,1,1
2013-03-12,1,1
2013-04-18,1,1
2013-05-13,1,1
2013-05-14,2,2
2013-05-15,1,1
2013-05-16,1,1
2013-05-18,1,1
2013-06-03,2,2
2013-06-05,1,1
2013-07-25,1,1
2013-08-05,1,1
2013-08-16,1,1
2013-09-04,1,1
2013-09-18,1,1
2013-09-19,1,1
2013-09-26,1,1
2013-10-11,1,1
2013-10-16,1,1
2013-10-31,1,1
2013-11-02,1,1
2013-11-11,2,2
2013-11-12,1,1
2013-11-13,1,1
2013-11-14,1,1
2013-11-15,1,1
2013-11-16,1,1
2013-11-28,1,1
2013-11-29,2,2
2014-01-03,2,2
2014-01-11,1,1
2014-01-17,1,1
2014-02-05,1,1
2014-03-13,1,1
2014-03-31,1,1
2014-04-05,1,1
2014-04-14,1,1
2014-05-03,1,1
2014-05-31,1,1
2014-06-04,1,1
2014-06-10,1,1
2014-06-24,1,1
2014-07-02,1,1
2014-07-24,1,1
2014-07-25,1,1
2014-08-11,1,1
2014-08-25,1,1
2014-08-27,1,1
2014-10-18,1,1
2014-10-24,1,1
2014-11-03,1,1
2014-11-05,1,1
2014-11-10,1,1
2014-11-28,1,1
2014-12-20,1,1
2014-12-22,1,1
2015-01-24,2,2
2015-02-02,1,1
2015-02-12,1,1
2015-02-18,1,1
2015-04-25,1,1
2015-05-06,1,1
2015-05-16,1,1
2015-05-19,1,1
2015-05-22,1,1
2015-05-28,1,1
2015-06-01,1,1
2015-06-06,1,1
2015-06-24,1,1
2015-07-11,1,1
2015-08-03,1,1
2015-08-05,1,1
2015-08-25,1,1
2015-09-12,1,1
2015-09-17,1,1
2015-10-16,1,1
2015-11-05,1,1
2015-11-06,1,1
2015-11-18,1,1
2015-12-03,1,1
2015-12-09,1,1
2015-12-31,1,1
2016-01-02,1,1
2016-02-06,1,1
2016-04-28,1,1
2016-05-05,2,2
2016-05-07,1,1
2016-05-11,1,1
2016-05-26,1,1
2016-05-28,1,1
2016-06-03,2,2
2016-06-09,1,1
2016-06-10,1,1
2016-06-11,1,1
2016-06-13,1,1
2016-07-05,1,1
2016-08-24,1,1
2016-09-03,2,2
2016-09-09,1,1
2016-09-20,1,1
2016-09-21,1,1
2016-11-03,3,3
2016-11-04,3,3
2016-11-19,1,1
2016-11-30,1,1
2016-12-20,1,1
2017-02-04,1,1
2017-02-11,1,1
2017-02-17,2,2
2017-03-03,1,1
2017-05-04,1,1
2017-05-11,1,1
2017-06-02,1,1
2017-06-12,1,1
2017-06-13,1,1
2017-07-04,1,1
2017-07-15,1,1
2017-09-01,1,1
2017-09-08,1,1
2017-09-21,3,3
2017-09-25,1,1
2017-10-06,1,1
2017-10-21,1,1
2017-10-26,1,1
2017-10-27,1,1
2017-11-03,2,2
2017-11-04,2,2
2017-11-06,1,1
2017-11-11,2,2
2017-11-13,3,3
2017-11-15,2,2
2017-11-16,1,1
2017-11-17,1,1
2017-11-18,2,2
2017-11-30,1,1
2017-12-14,1,1
2017-12-20,1,1
2017-12-23,1,1
2018-02-27,1,1
2018-03-02,1,1
2018-04-17,1,1
2018-05-01,1,1
2018-05-05,1,1
2018-05-29,1,1
2018-06-07,1,1
2018-08-13,1,1
2018-08-27,1,1
2018-08-29,1,1
2018-09-19,1,1
2018-09-22,1,1
2018-09-26,1,1
2018-10-09,1,1
2018-10-19,1,1
2018-11-17,1,1
2018-11-19,1,1
2018-11-23,1,1
2018-12-11,1,1
2018-12-17,1,1
2018-12-18,1,1
2018-12-19,2,2
2018-12-22,1,1
2018-12-28,1,1
2019-01-19,2,2
2019-01-21,2,2
2019-01-22,4,4
2019-01-23,2,2
2019-01-25,1,1
2019-01-26,1,1
2019-01-29,2,2
2019-01-31,2,2
2019-02-04,2,2
2019-02-05,1,1
2019-02-11,1,1
2019-02-22,1,1
2019-02-27,1,1
2019-03-09,1,1
2019-03-11,1,1
2019-03-23,1,1
2019-03-25,2,2
2019-03-26,1,1
2019-03-27,3,3
2019-03-29,1,1
2019-04-01,1,1
2019-04-09,1,1
2019-05-08,1,1
2019-05-09,1,1
2019-05-17,1,1
2019-05-18,1,1
2019-05-22,1,1
2019-05-28,1,1
2019-05-30,1,1
2019-06-04,1,1
2019-06-05,1,1
2019-06-14,1,1
2019-06-22,1,1
2019-06-26,2,2
2019-06-29,1,1
2019-07-04,2,2
2019-07-05,1,1
2019-07-11,1,1
2019-07-17,1,1
2019-07-19,1,1
2019-07-22,1,1
2019-07-24,2,2
2019-07-26,1,1
2019-07-27,2,2
2019-07-29,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-09,1,1
2019-08-17,2,2
2019-08-21,1,1
2019-08-22,1,1
2019-08-31,1,1
2019-09-04,1,1
2019-09-05,1,1
2019-09-06,1,1
2019-09-11,1,1
2019-09-13,1,1
2019-09-14,1,1
2019-09-16,2,2
2019-09-19,1,1
2019-09-21,1,1
2019-09-24,1,1
2019-09-28,1,1
2019-09-30,1,1
2019-10-05,1,1
2019-10-07,1,1
2019-10-10,1,1
2019-10-15,1,1
2019-11-09,1,1
2019-11-12,1,1
2019-11-13,2,2
2019-11-14,2,2
2019-11-18,2,2
2019-11-20,1,1
2019-11-21,1,1
2019-11-29,1,1
2019-12-06,1,1
2019-12-07,1,1
2019-12-09,1,1
2019-12-10,1,1
2019-12-13,1,1
2019-12-17,1,1
2019-12-18,1,1
2019-12-24,1,1
2019-12-27,1,1
2019-12-31,1,1
2020-01-10,1,1
2020-01-25,1,1
2020-02-04,1,1
2020-02-07,2,2
2020-02-10,1,1
2020-02-15,2,2
2020-02-28,1,1
2020-03-10,1,1
2020-03-17,1,1
2020-04-07,1,1
2020-04-20,1,1
2020-04-27,1,1
2020-05-06,1,1
2020-05-09,1,1
2020-05-29,1,1
2020-05-30,1,1
2020-06-05,1,1
2020-06-15,1,1
2020-06-17,1,1
2020-06-25,1,1
2020-07-15,2,2
2020-07-18,1,1
2020-07-23,1,1
2020-07-25,1,1
2020-07-28,1,1
2020-08-04,2,2
2020-08-27,1,1
2020-09-04,1,1
2020-09-05,2,2
2020-09-07,1,1
2020-09-12,2,2
2020-09-14,1,1
2020-09-24,1,1
2020-09-26,1,1
2020-10-13,1,1
2020-10-15,1,1
2020-10-26,1,1
2020-11-07,1,1
2020-11-16,1,1
2020-11-21,1,1
2020-11-23,1,1
2020-12-10,1,1
2020-12-14,1,1
2021-01-06,1,1
2021-01-11,1,1
2021-01-20,1,1
2021-02-04,1,1
2021-02-13,1,1
2021-03-02,1,1
2021-03-15,1,1
2021-03-20,2,2
2021-04-03,1,1
2021-04-08,1,1
2021-04-22,2,2
2021-04-30,2,2
2021-05-06,1,1
2021-05-07,1,1
2021-05-08,1,1
2021-05-12,1,1
2021-05-19,1,1
2021-05-22,1,1
2021-06-02,1,1
2021-06-08,1,1
2021-06-12,1,1
2021-06-14,2,2
2021-06-24,1,1
2021-07-14,2,2
2021-07-16,1,1
2021-07-19,1,1
2021-07-22,1,1
2021-07-30,2,2
2021-08-02,1,1
2021-08-03,1,1
2021-08-10,1,1
2021-08-12,1,1
2021-08-28,2,2
2021-08-30,1,1
2021-09-02,1,1
2021-09-03,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-22,1,1
2021-09-24,2,2
2021-09-25,1,1
2021-10-01,2,2
2021-10-02,1,1
2021-10-05,2,2
2021-10-08,1,1
2021-10-16,1,1
2021-10-18,1,1
2021-10-19,1,1
2021-10-20,1,1
2021-10-23,1,1
2021-10-28,1,1
2021-11-01,1,1
2021-11-05,1,1
2021-11-08,2,2
2021-11-10,1,1
2021-11-11,1,1
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-16,2,2
2021-12-09,1,1
2021-12-10,1,1
2021-12-14,1,1
2021-12-15,1,1
2021-12-28,1,1
2021-12-31,2,2
2022-01-05,1,1
2022-01-10,1,1
2022-01-12,4,4
2022-01-14,2,2
2022-01-22,1,1
2022-01-26,1,1
2022-02-03,1,1
2022-02-09,1,1
2022-02-22,1,1
2022-03-01,1,1
2022-03-08,1,1
2022-03-10,1,1
2022-03-17,1,1
2022-04-02,1,1
2022-04-09,1,1
2022-04-13,3,3
2022-04-14,1,1
2022-04-16,1,1
2022-04-30,2,2
2022-05-04,1,1
2022-05-07,2,2
2022-05-11,1,1
2022-05-14,1,1
2022-05-20,3,3
2022-06-01,1,1
2022-06-03,1,1
2022-06-04,4,4
2022-06-11,1,1
2022-06-13,4,4
2022-06-14,1,1
2022-06-16,1,1
2022-06-20,1,1
2022-06-22,1,1
2022-06-25,1,1
2022-06-28,1,1
2022-06-29,1,1
2022-06-30,1,1
2022-07-02,2,2
2022-07-07,1,1
2022-07-09,1,1
2022-07-14,2,2
2022-07-19,2,2
2022-07-20,2,2
2022-07-23,3,3
2022-07-25,1,1
2022-08-01,1,1
2022-08-03,1,1
2022-08-09,1,1
2022-08-12,1,1
2022-08-18,2,2
2022-08-20,3,3
2022-08-25,1,1
2022-08-27,2,2
2022-08-31,3,3
2022-09-01,1,1
2022-09-03,1,1
2022-09-07,1,1
2022-09-12,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,1,1
2022-10-14,1,1
2022-10-17,1,1
2022-10-20,1,1
2022-10-22,3,3
2022-10-24,2,2
2022-10-25,2,2
2022-10-26,1,1
2022-10-29,2,2
2022-10-31,1,1
2022-11-14,1,1
2022-11-16,1,1
2022-11-19,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-11-29,1,1
2022-11-30,1,1
2022-12-02,1,1
