date,hit_count,text_count
2003-05-13,1,1
2003-06-13,1,1
2003-08-01,2,1
2003-08-22,1,1
2003-09-19,2,1
2004-02-10,1,1
2004-02-27,1,1
2004-03-05,1,1
2004-04-08,1,1
2004-06-08,3,2
2004-07-23,1,1
2004-07-30,1,1
2004-08-24,5,1
2004-09-17,1,1
2004-10-05,1,1
2005-01-04,4,1
2005-01-21,1,1
2005-01-25,1,1
2005-07-12,2,1
2005-07-15,3,1
2005-08-12,1,1
2005-08-23,1,1
2006-02-21,1,1
2006-02-28,1,1
2006-06-07,1,1
2006-06-23,1,1
2006-09-22,1,1
2006-12-08,1,1
2007-01-16,3,2
2007-02-02,2,1
2007-02-23,1,1
2007-03-02,4,2
2007-03-09,1,1
2007-03-16,1,1
2007-03-20,1,1
2007-03-27,1,1
2007-03-30,1,1
2007-04-05,1,1
2007-04-13,1,1
2007-04-17,1,1
2007-04-20,2,2
2007-05-02,1,1
2007-05-18,4,1
2007-07-24,1,1
2007-11-06,1,1
2007-11-16,1,1
2007-12-21,2,2
2007-12-28,2,2
2008-01-18,2,1
2008-02-05,1,1
2008-02-15,1,1
2008-02-19,3,1
2008-03-07,3,1
2008-03-18,1,1
2008-04-18,1,1
2008-05-02,1,1
2008-06-20,1,1
2008-07-18,1,1
2008-10-02,1,1
2008-10-07,2,1
2008-11-14,2,1
2008-12-05,3,1
2009-02-20,2,1
2009-02-24,2,1
2009-03-10,1,1
2009-06-26,1,1
2009-07-10,1,1
2009-08-07,1,1
2009-08-28,1,1
2009-09-29,1,1
2009-11-03,1,1
2010-02-16,1,1
2010-02-23,5,1
2010-02-26,1,1
2010-03-05,2,1
2010-03-12,8,2
2010-04-20,1,1
2010-05-26,1,1
2010-06-11,1,1
2010-08-20,2,1
2010-10-01,1,1
2010-11-02,1,1
2010-11-23,1,1
2010-11-26,1,1
2011-01-04,1,1
2011-02-15,1,1
2011-03-15,2,2
2011-03-18,1,1
2011-03-25,1,1
2011-06-21,2,1
2011-08-26,1,1
2011-09-23,1,1
2011-12-20,1,1
2012-01-06,1,1
2012-01-10,1,1
2012-01-17,1,1
2012-01-24,1,1
2012-02-28,3,1
2012-03-09,2,1
2012-04-05,4,2
2012-05-11,1,1
2012-06-01,1,1
2012-06-08,1,1
2012-07-13,1,1
2012-08-10,1,1
2012-10-26,1,1
2012-11-09,3,1
2012-12-28,1,1
2013-02-12,1,1
2013-02-19,2,1
2013-03-01,3,1
2013-03-08,4,2
2013-05-07,1,1
2013-07-12,4,1
2013-10-01,1,1
2013-11-08,1,1
2013-12-13,1,1
2013-12-20,1,1
2014-02-28,1,1
2014-03-11,1,1
2014-03-14,6,2
2014-04-17,1,1
2014-05-20,3,1
2014-05-30,5,1
2014-07-15,1,1
2014-07-29,3,1
2014-09-09,1,1
2014-10-17,1,1
2015-01-16,1,1
2015-01-27,1,1
2015-03-13,3,1
2015-03-17,2,1
2015-04-08,1,1
2015-05-27,4,2
2015-07-10,2,2
2015-08-28,5,2
2015-10-20,1,1
2015-12-11,2,1
2016-02-09,2,1
2016-03-18,2,1
2016-04-01,1,1
2016-06-10,2,1
2016-07-05,3,1
2016-07-22,1,1
2016-08-02,1,1
2016-08-09,1,1
2016-08-19,6,2
2016-08-30,1,1
2016-10-07,1,1
2016-10-21,1,1
2016-11-04,1,1
2016-11-08,1,1
2016-11-18,1,1
2016-12-02,1,1
2016-12-16,1,1
2016-12-23,2,2
2017-01-10,1,1
2017-01-27,1,1
2017-02-10,1,1
2017-03-03,2,1
2017-03-10,1,1
2017-06-16,1,1
2017-06-27,1,1
2017-06-30,1,1
2017-07-07,1,1
2017-07-18,5,1
2017-07-21,2,1
2017-08-01,1,1
2017-08-11,2,1
2017-08-15,1,1
2017-08-22,1,1
2017-08-25,1,1
2017-08-29,1,1
2017-11-07,1,1
2017-11-14,1,1
2017-11-17,1,1
2017-12-05,1,1
2018-01-09,1,1
2018-01-23,1,1
2018-02-02,4,2
2018-02-16,1,1
2018-02-20,3,2
2018-02-27,4,1
2018-03-02,1,1
2018-03-16,1,1
2018-04-13,3,1
2018-04-20,3,1
2018-05-29,2,1
2018-06-05,7,1
2018-06-19,2,2
2018-06-22,1,1
2018-06-29,1,1
2018-07-06,1,1
2018-07-27,1,1
2018-08-07,1,1
2018-08-21,1,1
2018-08-24,1,1
2018-09-07,1,1
2018-09-11,1,1
2018-09-21,5,2
2018-09-28,2,1
2018-10-02,1,1
2018-10-09,2,2
2018-10-16,1,1
2018-10-26,1,1
2018-10-30,1,1
2018-11-09,1,1
2018-12-04,3,2
2018-12-14,2,1
2019-01-18,1,1
2019-01-22,2,1
2019-01-25,2,2
2019-01-29,1,1
2019-02-08,1,1
2019-02-22,1,1
2019-03-15,2,1
2019-03-22,4,2
2019-03-29,1,1
2019-04-02,1,1
2019-04-05,1,1
2019-04-12,2,2
2019-04-26,2,1
2019-05-10,1,1
2019-05-24,2,2
2019-05-28,1,1
2019-05-31,4,1
2019-06-28,2,1
2019-07-23,1,1
2019-07-26,1,1
2019-08-20,1,1
2019-08-30,1,1
2019-09-13,1,1
2019-10-01,2,1
2019-10-11,1,1
2019-10-29,2,1
2019-11-05,1,1
2019-11-19,1,1
2019-11-22,2,1
2019-11-29,1,1
2019-12-06,2,2
2019-12-13,5,3
2019-12-20,1,1
2019-12-24,1,1
2019-12-31,1,1
2020-01-17,2,2
2020-01-21,2,1
2020-02-07,2,2
2020-02-18,2,2
2020-03-06,1,1
2020-03-10,2,1
2020-03-27,3,1
2020-04-21,1,1
2020-04-30,7,1
2020-05-05,1,1
2020-05-08,3,1
2020-05-22,7,2
2020-06-05,2,1
2020-06-09,1,1
2020-06-26,2,1
2020-07-03,3,1
2020-07-17,1,1
2020-07-21,2,2
2020-07-28,3,1
2020-07-31,1,1
2020-08-18,4,2
2020-08-25,1,1
2020-09-15,2,1
2020-09-18,1,1
2020-10-02,2,2
2020-10-20,1,1
2020-10-30,5,1
