date,hit_count,text_count
2004-09-24,1,1
2004-10-22,1,1
2005-11-25,1,1
2006-02-24,2,1
2006-03-03,2,2
2007-01-12,1,1
2007-03-23,1,1
2007-04-13,1,1
2007-04-27,1,1
2007-05-04,3,1
2007-12-28,1,1
2008-04-18,2,2
2008-11-21,1,1
2008-11-28,1,1
2008-12-12,1,1
2008-12-19,1,1
2009-04-24,1,1
2009-08-14,4,1
2009-08-21,1,1
2010-05-21,2,2
2010-07-16,1,1
2010-09-17,1,1
2011-01-28,1,1
2011-05-27,4,1
2011-09-09,1,1
2012-01-13,1,1
2012-08-10,1,1
2012-11-09,1,1
2012-11-16,1,1
2013-03-08,1,1
2013-06-28,1,1
2013-11-01,2,1
2014-01-24,2,1
2014-03-14,4,1
2014-04-11,1,1
2014-10-17,1,1
2015-02-06,1,1
2015-03-13,1,1
2015-03-20,2,1
2015-10-30,1,1
2015-12-11,1,1
2016-01-15,2,2
2016-04-15,1,1
2016-08-05,1,1
2016-08-19,3,1
2016-09-30,1,1
2016-10-07,1,1
2016-10-14,1,1
2016-10-21,1,1
2016-11-04,1,1
2016-11-18,1,1
2017-01-06,1,1
2017-01-13,1,1
2017-02-17,1,1
2017-03-03,1,1
2017-03-31,1,1
2017-05-12,1,1
2017-06-23,4,1
2017-07-07,1,1
2017-07-21,5,1
2017-08-11,2,1
2017-09-15,1,1
2017-09-22,1,1
2017-10-06,1,1
2017-10-13,1,1
2017-11-24,1,1
2018-02-02,3,1
2018-02-23,2,1
2018-03-02,1,1
2018-04-06,1,1
2018-04-13,3,1
2018-06-01,8,2
2018-06-15,1,1
2018-08-03,2,2
2018-08-10,2,2
2018-08-31,5,3
2018-09-14,7,1
2018-09-21,8,2
2018-10-12,1,1
2018-10-19,1,1
2018-10-26,1,1
2018-11-02,1,1
2018-11-09,2,2
2019-01-11,1,1
2019-01-25,3,2
2019-02-01,1,1
2019-02-22,2,1
2019-03-01,1,1
2019-05-10,1,1
2019-05-17,1,1
2019-06-07,2,2
2019-06-28,3,1
2019-08-23,2,1
2019-08-30,1,1
2019-09-20,7,2
2019-09-27,2,1
2019-10-25,1,1
2019-11-01,1,1
2019-11-15,1,1
2019-11-29,2,1
2019-12-13,3,1
2019-12-20,1,1
2020-01-17,3,3
2020-02-07,1,1
2020-02-21,1,1
2020-03-06,1,1
2020-04-09,1,1
2020-05-15,1,1
2020-05-22,2,1
2020-05-29,4,2
2020-06-12,1,1
2020-07-10,1,1
2020-07-31,3,1
2020-08-07,2,1
2020-08-21,1,1
2020-09-04,3,1
2020-09-11,2,2
2020-10-09,1,1
2020-10-30,1,1
2020-11-13,1,1
2020-11-27,1,1
2020-12-18,1,1
2020-12-24,1,1
2021-01-29,1,1
2021-02-05,10,5
2021-02-12,7,4
2021-02-26,1,1
2021-03-12,2,1
2021-03-26,2,1
2021-04-01,1,1
2021-04-09,5,1
2021-04-23,5,2
2021-05-07,1,1
2021-05-28,1,1
2021-06-04,6,5
2021-06-25,2,1
2021-07-02,1,1
2021-07-09,1,1
2021-07-30,4,1
2021-08-06,1,1
2021-08-27,2,1
2021-09-17,6,3
2021-09-24,2,1
2021-10-08,4,2
2021-10-22,1,1
2021-11-05,1,1
2021-11-12,1,1
2021-11-19,1,1
2021-11-26,1,1
2021-12-10,1,1
2021-12-17,1,1
2022-01-14,4,3
2022-01-21,5,2
2022-02-11,8,1
2022-02-25,2,2
2022-03-04,5,2
2022-03-11,9,3
2022-03-18,10,2
2022-04-01,7,3
2022-04-14,1,1
2022-05-06,1,1
2022-05-13,2,2
2022-05-20,1,1
2022-05-27,3,2
2022-06-10,4,2
2022-07-01,2,1
2022-07-22,2,2
2022-08-05,1,1
2022-08-26,1,1
2022-09-09,1,1
2022-09-16,4,4
2022-09-30,3,2
2022-10-14,2,2
2022-10-21,3,2
2022-10-28,3,2
2022-11-04,2,1
2022-11-11,1,1
2022-11-25,1,1
2022-12-02,1,1
2022-12-16,1,1
2022-12-23,9,3
